标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
这次我们来到了南京很著名的景点中山陵风景区，这里需要提前预约，凭身份证入景区，1米2以下的小朋友需要家长抱着一起进入，来这里的游客很多，大家纷纷在中山陵前合影留念，这里有好多节台阶，走到顶上时感觉很吃力，我们还参观了***先生的雕像，不虚此行！,https://gs.ctrip.com/html5/you/comment/detail/1655/11/165914767.html,https://dimg04.c-ctrip.com/images/Z80p0k000000bvzkq0FC8_C_180_180.jpg,187****7883,5分,2021-03-08
"每次来南京，造访频率最高的地方，当数秦淮河畔的夫子庙景区了。可这里却是我既熟悉又不喜欢的地方……
 或许是天气抑或是疫情影响的原因，来到这里时，游人超出寻常的少，往日喧嚣的夫子庙好像安静了……虽然此时的客观条件不错，但这个已商业同质化的旅游景点却一点也提不起我的兴致……我是骑行去中华书局旧址途中经过这儿的，那么既来之就打个招呼吧—- hi ,“南京文脉！”",https://gs.ctrip.com/html5/you/comment/detail/1655/11/165417054.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,胭脂2021,5分,2020-12-29
中山陵景区位于江苏省南京市玄武区紫金山南麓钟山风景区内 整个建筑群依山势而建 由南往北沿中轴线逐渐升高 主要建筑有博爱坊 墓道 陵门 石阶 碑亭 祭堂 墓室等 排列在一条中轴线上 体现了中国传统建筑的风格,https://gs.ctrip.com/html5/you/comment/detail/1655/11/165566584.html,https://dimg04.c-ctrip.com/images/t1/headphoto/982/089/752/f8c7b21182c94524ac4df328fdc7b3dc_C_180_180.jpg,ncyygo,5分,2021-01-18
"巍巍紫金山，悠悠中山情
 “时事造就英雄，民国需要先生，于是先生成全了民国。起共和而终帝制，没有先生就没有民国，民国自先生开始，中国的现代历史也从先生开始。”这是我喜欢的著名南京作家，叶兆言先生笔下的一段文字。一座中山陵，半部近代史。1929年孙中山逝世奉安在南京后，中山陵成为了中华民族的精神象徽之一……
 上次拜谒中山陵已经是三十年前的事了，那是一个落雪的冬季。时间过的真快啊！一眨眼三十年过去了……然而三十年后，我所看到的中山陵依旧是郁郁葱葱，气势恢宏。斗转星移，孙中山先生虽长眠地下，但他的博爱为怀的人格魅力，却始终留芳于世，为天下所景仰。",https://gs.ctrip.com/html5/you/comment/detail/1655/11/165595824.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,胭脂2021,5分,2021-01-23
"免费景点，免费免费免费，重要的事说三遍，
景色不错，11月19号去的，进去之前要扫二维码预约才能进的，不然就白排队了，梧桐已经快掉光了，枫叶也开始变红了，银杏铺满人行道，很适合拍照，就是人多了点，天气不错，还能晒晒太阳，和其他景点都是联通的，一路上都是路引，喜欢拍照的朋友要赶快咯！
唯一不太喜欢的就是商业化太严重，正常卖点吃的用的或者旅游纪念品都很正常，最看不上的免费领取小礼品的套路，对着石阶上的人忽悠:每人都可以免费领取钥匙扣一枚，里面可以放照片做纪念，然后就让人站在刻有中山陵字样的牌子边凹造型留纪念，拍照的时候没事，等你去领照片就要掏钱了，钥匙扣是免费送的，照片要钱，真心反感。",https://gs.ctrip.com/html5/you/comment/detail/1655/11/165117575.html,https://dimg04.c-ctrip.com/images/Z80c15000000ymkr0E994_C_180_180.jpg,镌刻心头,5分,2020-11-20
这里是伟大国父孙先生的陵墓所在地，周一不对外开放。去的话需要用微信预约一下。去这里很方便 地铁坐到下马坊站就可以下来了，可以骑共享单车到中山陵入口处。路两边都是梧桐树，生机勃勃。到中山陵入口的时候，就不能再骑车了。步行到中山陵。拾级而上，可以观赏到近代著名的建筑群，上有孙中山先生的各种手书已经思想理念。登顶而上，来到孙中山墓碑前，上有谭延闿手书。孙中山先生就默默沉睡在这里。参观完毕，站在紫金山山上，往下俯视，顿觉神清气爽。,https://gs.ctrip.com/html5/you/comment/detail/1655/11/164549718.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,M51****100,5分,2020-09-27
前年的暑假之行，南京大屠杀纪念馆—中山陵—明孝陵，一天就能把市内这三个地方都逛完，南京的夏天是真的热啊，需要不断的补水才能保证自己不晕倒,https://gs.ctrip.com/html5/you/comment/detail/1655/11/165916200.html,https://dimg04.c-ctrip.com/images/0Z84g120008g8xocb3221_C_180_180.jpg,M19****008,4分,2021-03-08
中山陵位于江苏省南京市玄武区紫金山南麓钟山风景区内，前临平川，背拥青嶂，东毗灵谷寺，西邻明孝陵，整个建筑群依山势而建，由南往北沿中轴线逐渐升高，主要建筑有博爱坊、墓道、陵门、石阶、碑亭、祭堂和墓室等，排列在一条中轴线上，体现了中国传统建筑的风格，从空中往下看，像一座平卧在绿绒毯上的“自由钟”。,https://gs.ctrip.com/html5/you/comment/detail/1655/11/164727411.html,https://dimg04.c-ctrip.com/images/0Z86912000821xpnp981A_C_180_180.jpg,卜一样的旅行,5分,2020-10-09
中山陵位于南京市玄武区紫金山南麓钟山风景名胜区内，是中国近代伟大的民主革命先行者孙中山先生的陵寝及其附属纪念建筑群，陵寝面积8万余平方米，于1926年春动工，至1929年夏建成。,https://gs.ctrip.com/html5/you/comment/detail/1655/11/165971611.html,https://dimg04.c-ctrip.com/images/Z80i0c00000062f831AB3_C_180_180.jpg,D23****498,4分,2021-03-15
中山陵领取坐落于钟山风景名胜区内，是孙中山先生的陵墓，中山陵景区里苍松翠柏，建筑雄伟壮观，气势磅礴，而且对外免费开放，非常的人性化！,https://gs.ctrip.com/html5/you/comment/detail/1655/11/165831496.html,https://dimg04.c-ctrip.com/images/Z8031700000134ut9BA47_C_180_180.jpg,帅哥博然,5分,2021-02-25
庄严肃穆，气势磅礴，天下为公，施政与民，一代伟人。在铜鼎上还有当年留下的弹孔。提前预约门票，门票免费，392级台阶，从下往上看成一体，从上往下看却有一段平台呈现出来。,https://gs.ctrip.com/html5/you/comment/detail/1655/11/165956393.html,https://dimg04.c-ctrip.com/images/t1/headphoto/258/512/704/6bce7506eecc48f8a4a6d3177e0acf24_C_180_180.jpg,M42****232,5分,2021-03-14
中山陵在钟山风景区内，整个风景区很大，逛一天很累，建议体力不是很好的朋友，花50元买个全程观光车票，里面景点太多，坐车可以到所有景点，中山陵是免费预约地址，明孝陵，美龄宫和音乐台，灵谷寺都要门票，可以买联票，也可以有需要再购买。,https://gs.ctrip.com/html5/you/comment/detail/1655/11/165958480.html,https://dimg04.c-ctrip.com/images/Z80p1h000001hjnh5145F_C_180_180.jpg,jial****110,4分,2021-03-14
"中山陵，算是红色旅行基地吧，各位注意要提前预约。淡季好像是不需要的。

秋天的南京，真的美得不像话。而中山陵就像似公园似的陵园，尤其在去返的路上，地上满是树叶，阳光沐浴在你身上，静静地走着 看着。真的很舒服了。

中山陵里边台阶很多很高，故不建议带特别小的小朋友来这边。中山陵参观时间大概也就不到一个小时。

大家如果说是从明孝陵转到中山陵这边的话不建议坐观光车了，上次我去坐了以为有很长一段路要走所以就坐了，结果两三分钟就到中山陵了。步行也就十分钟不到，而且还可以欣赏落叶美景。或者还可以扫个单车把整个都转一圈，走走停停想去的地方，那风景真的很治愈。",https://gs.ctrip.com/html5/you/comment/detail/1655/11/165389898.html,https://dimg04.c-ctrip.com/images/0Z851120003eawmwa50CF_C_180_180.jpg,徐徐霞客Rr,5分,2020-12-26
中山陵是伟大的***先行者***先生的陵墓，灵柩于***29年6月1日奉安于此。中山陵坐北朝南，面积共8万余平方米。,https://gs.ctrip.com/html5/you/comment/detail/1655/11/165966007.html,https://dimg04.c-ctrip.com/images/0Z83f120008aty8cbF48D_C_180_180.jpg,Joey-Xie,5分,2021-03-15
这个景区无疑是非常好的，一方面这样的自然风光和环境质量都非常好，同时这边也有厚重的历史底蕴，一边参观一边能够感受很多历史知识，同时建筑也很有特色。,https://gs.ctrip.com/html5/you/comment/detail/1655/11/165483117.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,享受生活2013,5分,2021-01-06
"我俩同所有的游客一样，慢慢往景区走。当我们通过“博爱”牌坊，爬上392级台阶，来到祭堂大门的时候还不到8点半。原来我们总担心爬不上去，没想到居然没有费太大的力气就爬上来了。当看到“天下为公”、“天地正气”、以及孙总理石碑时，心情甚是激动，也不由得想去三十年前自己来这里时的情景。8点半大门打开了，游客蜂拥而至。然后顺着栅栏排成一队，围着孙中山的坐像环绕一圈。祭堂后面的墓穴没有开放，据说一般情况下是不开放的。
真感谢老天爷，薄阴的天气非常凉快，要不然早就一身大汗了。我们坐在石凳上歇了一会儿，9点多开始往下走。为节省体力，我俩坐摆渡车到期汽车站，每人10元。",https://gs.ctrip.com/html5/you/comment/detail/1655/11/165815395.html,https://dimg04.c-ctrip.com/images/Z80u0v000000jk6beA359_C_180_180.jpg,M27****3169,5分,2021-02-23
