标题,标题链接,头像,user-detail__name,resource_date
南京总统府，是标志性建筑，去南京一定要去看看。门口扫码携程网买的门票价格便宜，不用排队直接进入景点。里面保留了历史痕迹，有孙中山先生工作，休息的地方。景观也挺不错，有个小湖，绿荫掩映其中。来这里学习历史文化吧,https://gs.ctrip.com/html5/you/comment/detail/1681/11/165918087.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g1/M06/44/07/CghzflW-FriAEZTRAAAnXkhwIYA035_C_180_180.jpg,行走的旅途,2021-03-09
站在总统府门前看着“天下为公”几个字还是蛮感动的，南京著名的街区叫1912，开始还不知道为什么是1912，后来在总统府才想起是中华民国成立的年份不禁热泪；图三是进去主楼后抬眼就可以看到的钟，已经停了，停下的时间就是共产党解放南京的时间，图四图五是百年历史的老电梯；总统府连着太平天国的府邸，图七天王的后宫准则十该打实在搞笑，哈哈哈,https://gs.ctrip.com/html5/you/comment/detail/1681/11/164978685.html,https://dimg04.c-ctrip.com/images/Z8081f000001gsdpdEEBF_C_180_180.jpg,陈大王派你去巡山,2020-11-03
到了总统府，远远望去，庄重的大门上面镶嵌着“总统府”三个金光闪闪大字，显得格外耀眼。往里走，鲜花、绿树、装点着古朴、幽静、充满民国风格的建筑。顺着印满历史痕迹的青砖路向前走，会看到四根红柱子，上面有一块匾额，写着“天下为公”四个大字，“这就是孙中山的题词，也是他一生追求的理想。”老师一边走一边向我们介绍。走过精致的长廊，我们来到了子超楼，这是总统府的主要建筑。孙中山先生曾在这里担任了93天的临时大总统。楼里面有很多办公室，最重要的是总统办公室，是孙中山先生办公的地方，蒋介石也曾在这里办公。总统办公室陈设虽然简单，但显得很优雅。子超楼内的电梯上方有一个像闹钟一样的显示楼层的机器，这个在现在的电梯从没有见过，同学们都觉得很有趣。大家一边走一边还在谈论着这个电梯，不知不觉就来到了孙中山纪念馆，这里陈列着许多有纪念价值的图片和资料。让我们对孙中山一生的事迹有了大概的了解。我们看到了中国革命的进程是如此的艰难不易，新中国的诞生更是无数仁人志士的鲜血和不懈努力换来的。出了纪念馆，我们来到煦园休息，这是总统府的“后花园”，煦园虽说不是很大，但里面的风景很优雅。亭台沿着湖泊而建，小桥曲曲折折别有一番风味。,https://gs.ctrip.com/html5/you/comment/detail/1681/11/164778832.html,https://dimg04.c-ctrip.com/images/Z80a1g000001gxwvv7D51_C_180_180.jpg,陆小陆NO1,2020-10-14
南京总统府位于南京市玄武区长江路292号 是中国近代建筑遗存中规模最大 保存最完整的建筑群 也是南京民国建筑的主要代表之一 中国近代历史的重要遗址 多次成为中国政治军事的中枢重大事件的策源地 中国一系列重大事件或在这里发生 或与这里密切相关,https://gs.ctrip.com/html5/you/comment/detail/1681/11/165682291.html,https://dimg04.c-ctrip.com/images/t1/headphoto/982/089/752/f8c7b21182c94524ac4df328fdc7b3dc_C_180_180.jpg,ncyygo,2021-02-06
值得去，价格不贵，只是自己留的时间不够，有机会应该好好参观一下，比想象的空间大多了。有古迹，有教育意义，可以长知识，拍美景。,https://gs.ctrip.com/html5/you/comment/detail/1681/11/165933087.html,https://dimg04.c-ctrip.com/images/headphoto/912/291/435/4d004dd36e9d442caea7fee39b39fe32_C_180_180.jpg,ICEICE1125,2021-03-11
"和东花园等。其中分布着总统府文物史料、孙中山与南京临时政府、太平天国、清两江总督署等十多个文物史料和复原陈列。[1]

1982年2月，总统府内“太平天国天王府遗址”被国务院公布为全国重点文物保护单位[2]；1998年，辟为中国近代史博物馆；2001年，总统府内“孙中山临时大总统府及南京国民政府建筑遗存”被国务院公布为全国重点文物保护单位[3]；2004年，被列为国家AAAA级旅游景区[4]；2016年9月，入选“首批中国20世纪建筑遗产”名录。[5]

地址
南京和东花园等。其中分布着总统府文物史料、孙中山与南京临时政府、太平天国、清两江总督署等十多个文物史料和复原陈列。[1]

1982年2月，总统府内“太平天国天王府遗址”被国务院公布为全国重点文物保护单位[2]；1998年，辟为中国近代史博物馆；2001年，总统府内“孙中山临时大总统府及南京国民政府建筑遗存”被国务院公布为全国重点文物保护单位[3]；2004年，被列为国家AAAA级旅游景区[4]；2016年9月，入选“首批中国20世纪建筑遗产”名录。[5]

地址
南京近近景近景姐姐微信找您有事吗哦哦哦哦哦哦哦。姐姐姐姐",https://gs.ctrip.com/html5/you/comment/detail/1681/11/165962573.html,https://dimg04.c-ctrip.com/images/t1/headphoto/272/077/772/76b262d0cc24492abc5c6784c903c2ab_C_180_180.jpg,M22****1405,2021-03-14
下雨天，景色一般吧，都是一些伟人历史事迹，不感兴趣的可以忽略。。方便快捷，现场散二维码购票，直接刷身份证进馆，排队人不多，应该是下雨缘故吧。闲着也是闲着，逛逛还不错，也可以蹭蹭讲解，里面没有正规人工讲解，都是租电子，不太人性化，导游带团的可以蹭蹭。,https://gs.ctrip.com/html5/you/comment/detail/1681/11/165953308.html,https://dimg04.c-ctrip.com/images/Z80w1d000001ep6vf5A63_C_180_180.jpg,凡人修仙了,2021-03-13
性价比高，景色不错，非常有历史纪念意义和学习教育意义的景点，里面面积不大，但是里面的建筑设施参观后总体感觉以前的国服办公条件环境都挺简朴的，不像现在那么奢侈，可能那个时代的国家比较贫困一些。总体超赞，,https://gs.ctrip.com/html5/you/comment/detail/1681/11/165876779.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,M45****967,2021-03-03
"南京总统府位于南京市玄武区长江路292号，是中国近代建筑遗存中规模最大、保存最完整的建筑群，也是南京民国建筑的主要代表之一，中国近代历史的重要遗址，南京总统府自近代以来，多次成为中国政治军事的中枢、重大事件的策源地，中国一系列重大事件或在这里发生，或与这里密切相关，许多重要人物都在此活动过。
南京总统府至今已有600多年的历史，可追溯到明初的归德侯府和汉王府，清代被辟为江宁织造署、两江总督署等，康熙、乾隆南巡均以此为行宫，太平天国定都天京后，在此兴建规模宏大的天王府，1912年1月1日，孙中山在此宣誓就职中华民国临时大总统，辟为大总统府，后为南京国民政府总统府。
南京总统府建筑群既有中国古代传统的江南园林，也有近代西风东渐的建筑遗存，分三个区域：中区主要有国民政府、总统府及所属机构，西区有孙中山临时大总统办公室、秘书处、西花园、孙中山起居室及参谋本部等，东区主要有行政院、陶林二公祠、马厩和东花园等，其中分布着总统府文物史料、孙中山与南京临时政府、太平天国、清两江总督署等十多个文物史料和复原陈列。",https://gs.ctrip.com/html5/you/comment/detail/1681/11/165692056.html,https://dimg04.c-ctrip.com/images/0Z81s120008bxvhfxEE34_C_180_180.jpg,王阿东Kevin,2021-02-08
南京总统府现在为中国近代史遗址博物馆，主要展示两江总督署、太平天国天王府遗址和中华民国国民政府旧址，包括了晚清与民国史料陈列、洪秀全历史文物陈列、原国民政府五院文物史料陈列、总统府文物史料陈列和孙中山先生生平事迹展。博物馆总占地面积为9万平方米，建筑面积五万平方米，内馆建筑汇集了清末、太平天国、中华民国时期的不同风格，搭配和谐，独具韵味。目前总统府分为中、西、东3个参观区域，中区（中轴线）主要以原国民政府、总统府原址及所属机构为主线；西区以孙中山的临时大总统办公室、秘书处和西花园为主线，以及参谋本部等；东区以清代两江总督署、太平天国天朝宫殿和国民政府行政院旧址、马厩、东花园为主线。门楼是总统府的标志性建筑，气势雄伟，庄重的大门上面镶嵌着“总统府”三个金光闪闪大字，显得格外耀眼。往里走，鲜花、绿树、装点着古朴、幽静、充满民国风格的建筑。顺着印满历史痕迹的青砖路向前走，会看到四根红柱子，上面有一块匾额，写着“天下为公”四个大字,https://gs.ctrip.com/html5/you/comment/detail/1681/11/165350394.html,https://dimg04.c-ctrip.com/images/Z8030z000000mko2x2E95_C_180_180.jpg,晚霞风车,2020-12-20
真是个文明古迹之地，门票便宜，里面很有价值，书院外面还有假山桃花，既能欣赏美景，又能回顾历史，是个好地方！有趣好玩，总体超赞，景色不错，,https://gs.ctrip.com/html5/you/comment/detail/1681/11/165963541.html,https://dimg04.c-ctrip.com/images/t1/headphoto/757/757/889/3b86691007a54fe684f07e198432d09b_C_180_180.jpg,M23****2342,2021-03-14
"挺好的，方便简单快捷性价比高，景色不错，有趣好玩，总体超赞，
人太多疫情期间有些地方没开或者装修没办法就这样吧哈啊哈五个字？",https://gs.ctrip.com/html5/you/comment/detail/1681/11/165829646.html,https://dimg04.c-ctrip.com/images/t1/headphoto/685/724/771/3cd584c18f744104b47d3f3d075d10e3_C_180_180.jpg,林一夕i,2021-02-24
"【景色】有仿苏州园林的景色，虽然场地比较小，但是绿植覆盖率超高！无论是别致的房屋，还是空场的留白，搭配起来十分赏心悦目。
【趣味】侧重点是历史文化，如果不喜欢历史类就有些枯燥啦。但是文化描述的非常详细，认真阅读就能了解到相关的知识，赞！
【性价比】去这一个地方就可以了解到非常多的历史文化，在独立的园林里代入感也很强。总统府是很著名的景点，值得一去！",https://gs.ctrip.com/html5/you/comment/detail/1681/11/165621997.html,https://dimg04.c-ctrip.com/images/t1/headphoto/982/089/752/f8c7b21182c94524ac4df328fdc7b3dc_C_180_180.jpg,M58****630,2021-01-27
"南京总统府，位于中国南京市今长江路292号，是明代汉王府、清代两江总督署和太平天国天王府遗址，1912年为中华民国临时大总统府，孙中山在此宣誓就职中华民国临时大总统。
      1927年至1937年及1946年至1948年间为中华民国国民政府办公地，1948年5月至1949年4月为中华民国总统府，中华人民共和国成立后成为江苏省人民政府等单位机关办公地。",https://gs.ctrip.com/html5/you/comment/detail/1681/11/165424840.html,https://dimg04.c-ctrip.com/images/Z80815000000xr1wy2778_C_180_180.jpg,蕙质兰心蕙质兰心,2020-12-30
为了一个电话机而来，因为女儿想看看以前的老电话机，想半天记得这边有，就带着小朋友苏州跑过来，但是最近有好几处都在装修没有开放，我们幸好是在放假前一天参观，人不是特别的多，感觉还行，为了给小朋友有个深入的了解，还请了一个导游讲解,https://gs.ctrip.com/html5/you/comment/detail/1681/11/164595530.html,https://dimg04.c-ctrip.com/images/Z80m0x000000laszpB7A0_C_180_180.jpg,墨图图592,2020-10-02
虎踞龙盘的金陵城，沧海桑田的王朝更迭，民国象征的总统府承载者半部近代史，很有趣。,https://gs.ctrip.com/html5/you/comment/detail/1681/11/165890920.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g2/M05/F8/A6/CghzgFVVsEGAH0XxAAC94Rex4y4349_C_180_180.jpg,江远若洋,2021-03-05
"学生党，第一次主动给酒店好评！是真的很不错！
1️⃣酒店的位置很好，在南京夫子庙入口附近，离地铁站也不远，旁边是金陵状元楼大酒店，找不到酒店可以定位状元楼酒店。酒店门口有很多商业广场，吃喝都很方便，女生喜欢的一点点茶百道乐乐茶都有
2️⃣在同等价位的便捷酒店中，我认为这是我住过最舒适最满意的，酒店风格设计温馨，房间干净，工作人员服务态度好，会给同学朋友家人推荐！",https://gs.ctrip.com/html5/you/comment/detail/1681/11/165879007.html,https://dimg04.c-ctrip.com/images/t1/headphoto/136/299/437/649eb217e3e54746b7a53b8665e14b00_C_180_180.jpg,M39****521,2021-03-03
"算起来这是我第7次来南京了，但却是我第一次来总统府，这次市一个人出游，就找了个带讲解的，像这些有历史底蕴的地方，一定要找一个好的讲解，不然就是走马观花，光大门的样式都有很多讲法，门口的油画，可能就是一笔带过了，但是在讲解老师的介绍下，才知道这后面有这么多故事
了解到，总统府每个人只能每两个月来一次，市政府并不是靠这个还赚钱，并不希望人太多，能把景区里的人数控制下来，让来自五湖四海的游客能有更好的游玩环境
强烈推荐找一个讲解景色不错，",https://gs.ctrip.com/html5/you/comment/detail/1681/11/165560967.html,https://dimg04.c-ctrip.com/images/t1/headphoto/177/080/529/285e9abeede347d9a7c1cc5e1b4c9287_C_180_180.jpg,_WeCh****04403,2021-01-17
南京总统府是自近代以来，多次中国政治军事的中枢、重大事件的策源地，中国近代历史的重要遗址。总统府位于南京市玄武区长江路292号，是中国近代建筑遗存中规模最大、保存最完整的建筑群，也是南京民国建筑的主要代表之一。,https://gs.ctrip.com/html5/you/comment/detail/1681/11/165544320.html,https://dimg04.c-ctrip.com/images/Z803160000010g2bq615E_C_180_180.jpg,M22****5222,2021-01-15
南京总统府位于南京市玄武区长江路292号，至今已有600多年的历史，可追溯到明初的归德侯府和汉王府，是中国近代建筑遗存中规模最大、保存最完整的建筑群，也是南京民国建筑的主要代表之一，中国近代历史的重要遗址。,https://gs.ctrip.com/html5/you/comment/detail/1681/11/165543381.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g3/M02/95/E9/CggYGlZdJCuAJyQRAADkY4Wvzug356_C_180_180.jpg,格格,2021-01-15
