标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
栖霞山位于南京市栖霞区，又名摄山，被誉为“金陵第一明秀山”，南朝时山中建有“栖霞精舍”，因此得名，是国家AAAA级旅游景区、中国四大赏枫胜地之一。 栖霞山素有“六朝胜迹”之称，在明代被列为“金陵四十八景”之一，有“一座栖霞山，半部金陵史”的美誉。历史上曾有五王十四帝登临栖霞山，历史古迹遗址80多处，荟萃了宗教文化、帝王文化、绿色文化、名人明俗文化、地质文化、石刻文化、茶文化。,https://gs.ctrip.com/html5/you/comment/detail/1671/11/165836345.html,https://dimg04.c-ctrip.com/images/t1/headphoto/207/494/838/fa687736cf3f484480526cfc0eb6c073_C_180_180.jpg,M22****4422,5分,2021-02-25
"栖霞山还是很大的，如果能免费就好了，十一去的枫叶还没红很可惜，山里蝴蝶很多，春蹦蹦，小昆虫很多，孩子还抓到了一只土灰色的螳螂。有一片有很多小红果树，虽然不能吃，不过孩子摘了一些体验了一把采摘乐趣。
桃花涧可以踩石头过小溪，主要是爬山，中间一些小插曲也很有意思",https://gs.ctrip.com/html5/you/comment/detail/1671/11/164788687.html,https://dimg04.c-ctrip.com/images/t1/headphoto/295/828/780/6e6c2151ed65497c850945d5d2b702ae_C_180_180.jpg,陪伴成长2019,5分,2020-10-15
栖霞山的枫叶红似火，美如画，值得去。红枫中的千年古刹格外庄严、神圣！栖霞寺前的百年银杏树，满身尽带黄金甲。年轻人也挺多的，区别于其他热门景区中老年妇女居多。,https://gs.ctrip.com/html5/you/comment/detail/1671/11/165831343.html,https://dimg04.c-ctrip.com/images/t1/headphoto/272/077/772/76b262d0cc24492abc5c6784c903c2ab_C_180_180.jpg,qtrqqcl,5分,2021-02-25
"交通：
在南京栖霞区，感觉地位有点像香山在北京的感觉。
tips：
明镜湖，千佛洞，栖霞寺都是栖霞山风景区重要景点。栖霞山起初名不见经传，自南朝时起，栖霞山因寺而出名，成为我国佛教圣地。
特色体验：
还有就是登上山顶可以俯瞰长江
推荐理由：
离市区很近，可以锻炼身影，呼吸新鲜空气",https://gs.ctrip.com/html5/you/comment/detail/1671/11/165806212.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g6/M01/1B/02/CggYtFcMRYKAc-lEAAEA2k_9xjc964_C_180_180.jpg,artistfx1118,4分,2021-02-21
这个月第二次去，每次都是被微博热搜＃栖霞山枫叶红了＃“忽悠”过去的。叶子还没红透，这次去的时候正好赶上下雨，但是游人还是络绎不绝，雨后的栖霞山也别有一番风味。赶在十二月中旬过去景色应该更美。,https://gs.ctrip.com/html5/you/comment/detail/1671/11/165162724.html,https://dimg04.c-ctrip.com/images/t1/headphoto/062/938/215/f5f05c77006946428867e3c0dae6f4eb_C_180_180.jpg,_WeCh****941863,5分,2020-11-26
南京栖霞山，我个人第一次去，秋天的景色真的是太迷人！唐碑隋塔，千年古刹，一定要走到山顶，那条路太美了！有条件的话带上无人机，航拍的效果最好！,https://gs.ctrip.com/html5/you/comment/detail/1671/11/165072695.html,https://dimg04.c-ctrip.com/images/t1/headphoto/857/872/237/edc9e981b00e436a8dcee595001d62fa_C_180_180.jpg,wengweng1978,5分,2020-11-20
栖霞山，又名摄山，位于南京城东北22公里处的栖霞镇，因南朝时山中建有“栖霞精舍”而得名。栖霞山有三峰，主峰三茅峰，又名凤翔峰，海拔313米；东北有龙山；西北有虎山。栖霞山北临长江，南望钟山；虽不似紫金山之宏伟，却有“金陵第一明秀山”之誉，是中国四大赏枫胜地之一，自明代以来就有“春牛首，秋栖霞”之说。景点有栖霞寺、千佛岩、舍利塔以及明镜湖、青锋剑、天开岩、一线天等自然奇观。其中“隋塔、唐碑、千佛岩”名扬天下，是为栖霞寺三绝。,https://gs.ctrip.com/html5/you/comment/detail/1671/11/165452885.html,https://dimg04.c-ctrip.com/images/Z8030z000000mko2x2E95_C_180_180.jpg,晚霞风车,5分,2021-01-02
晚秋那段时间去的。枫叶都落了，但感觉还是很美。我是从后山那块上的，起初坡很多，爬着有点累，但风景是绝对值得一看的。一路上都可见落叶，再加上午后的暖阳，在里边里散步是很美好很浪漫的一件事。下次来南京玩儿一定要趁着秋天早点来！,https://gs.ctrip.com/html5/you/comment/detail/1671/11/165378683.html,https://dimg04.c-ctrip.com/images/0Z851120003eawmwa50CF_C_180_180.jpg,徐徐霞客Rr,5分,2020-12-24
每到深秋，栖霞山中漫山红遍，犹如晚霞栖落，蔚为壮观。栖霞山和北京香山、湖南岳麓山、苏州天平山并称为我国四大红叶观赏风景区。栖霞山素有“六朝胜迹”之称，在明代被列为“金陵四十八景”之一，有“一座栖霞山，半部金陵史”的美誉,https://gs.ctrip.com/html5/you/comment/detail/1671/11/165145558.html,https://dimg04.c-ctrip.com/images/t1/headphoto/295/828/780/6e6c2151ed65497c850945d5d2b702ae_C_180_180.jpg,红色利物浦1985,5分,2020-11-23
南京人都知道，春牛首，秋栖霞！秋天必须要来栖霞山看枫叶啊！不过我们是十一期间去的，还没有枫叶，所以人没有那么多！但是秋天去爬爬山是真舒服啊！停车场也很大！自驾过去也方便的！,https://gs.ctrip.com/html5/you/comment/detail/1671/11/165827956.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g5/M0A/0E/B0/CggYsFcx6A2AUWfcAAAZD071ldY385_C_180_180.jpg,神秘淘,4分,2021-02-24
