标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
"个园
～ 植竹万株，竹半为“个”，故名“个园”；笋石、湖石、黄石、宣石叠成的春夏秋冬四季假山，独一无二；“抱山楼”怀抱四山，气势恢宏。“宜雨轩”置身中心位置，四面厅格局不凡。
个园地处东关街西首，一路游来，此园景色最佳。",https://gs.ctrip.com/html5/you/comment/detail/1896/11/165854434.html,https://dimg04.c-ctrip.com/images/0Z82g120008gy153mE9FC_C_180_180.jpg,走遍天下XZ,5分,2021-02-28
"个园乃中国四大名园之一。要门票，可网上订票。个园是一个不规则的园林，从正大门进去就会看到一个湖，湖边有亭，然后穿过假山拱门就可以看到一个坐落有致的二层小楼，那就是会客楼。穿过古朴的会客楼就会有个人最著名的四季假山春夏秋冬，以各种不同的石头表达不同的季节，并且有不同的功效。穿过假山就可以来到居住民房，民居就是仿北京四合院，很规整的民居里面，其中有读书的地方，有聚会的地方，灰墙灰瓦质朴中透着传世之美。
由两淮盐业商总黄至筠于清嘉庆23年（公元1818年）在原明代“寿芝园”的基础上拓建为住宅园林。个园以叠石艺术著名，笋石、湖石、黄石、宣石叠成的春夏秋冬四季假山，融造园法则与山水画理于一体，被园林泰斗陈从周先生誉为“国内孤例”。",https://gs.ctrip.com/html5/you/comment/detail/1896/11/165784069.html,https://dimg04.c-ctrip.com/images/Z80c060000001g4632785_C_180_180.jpg,小菊花108,4分,2021-02-19
"到扬州一定要来这打卡。美，精致，有历史，更有设计者的灵魂设计。

竹叶每三片就形成一个个字，所以叫个园。

个园里的慈孝竹一簇一簇的，像一个竹家庭一样，最有意思的是龟甲竹，它的外形像乌龟的壳一样

著名的四季假山，有四季景。
春景，墙上有一个月洞门，上面刻着个园两个大字翠绿的竹子直插云霄。
外面花坛的石头，看起来像许多小动物，有勤恳耕地的牛，神气活现的猴子，威风的老虎，帅气的骏马等等，栩栩如生，组成了一幅十二生肖闹春图。

夏景，正中央是一个大池塘，周围全都是高大的玉兰树，庞大的枝干遮挡着太阳，在树荫下格外凉爽，池塘上有一块鱼骨石，有人说像丑字，有人说像月字。上有两块石头，像一个大乌龟在背小青蛙过河，池边都是一些叠石，多而不乱

秋景，假山形态各异，山上有许多枫树，远看像一团团火焰在燃烧着，山上还有一个小凉亭，看起来愈发令人心旷神怡。

冬景，这里的石头非常有特色，白白的像雪一样，南墙上有24个风洞，表示24个节气，风吹过的时候呼呼的，像狮子在咆哮",https://gs.ctrip.com/html5/you/comment/detail/1896/11/165719901.html,https://dimg04.c-ctrip.com/images/0Z816120008dyrcyz6689_C_180_180.jpg,小熊穷游攻略,5分,2021-02-12
"提前一天在携程上预定只要43，现场买票45,3月初去有些尴尬，梅花玉兰花谢了，樱花海棠花未开，疫情期间部分不开放，部分在维护，遇上阴沉沉的阴天，游览的心情大打折扣。刚游览一圈返回走时又发现一个又一个不曾走过的通道，进去后发现别有洞天，最初的个园是有五个大门并列一排，可想原先的面积会有多大。低落的心情随着慢慢地逛慢慢地了解有了缓解，还是值得一去的。",https://gs.ctrip.com/html5/you/comment/detail/1896/11/165951287.html,https://dimg04.c-ctrip.com/images/0Z831120008h84vr92596_C_180_180.jpg,E11****77,5分,2021-03-13
个园是扬州私家园林中的压轴之作，全国四大名园之一，是以竹石取胜，以假山堆叠精巧而著名的园林。个园分为北部品竹观赏区、中部花园和南部住宅区。扬州园林，素以叠石为胜，与其他著名园林相比，个园的精髓在于以四季为题的假山叠石艺术。园林区以宜雨轩为中心，造园工匠们选用褐黄石、太湖石、宜石、雪石和状如竹笋的石笋等不同石料，堆叠成“春、夏、秋、冬”各具特色的四季假山，融造园法则与山水画理于一体，被园林泰斗陈从周先生誉为“国内孤例”。除了四季叠石，在园中的北部遍植绿意盎然的青竹。,https://gs.ctrip.com/html5/you/comment/detail/1896/11/165485443.html,https://dimg04.c-ctrip.com/images/Z8030z000000mko2x2E95_C_180_180.jpg,晚霞风车,5分,2021-01-06
"扬州3
何园2
·何园有四个“天下第一”，“天下第一廊”、“天下第一山”、“天下第一窗”、“天下第一亭”。
·何园还是国内影视剧取景的天然基地，新版《红楼梦》、《还珠格格》续集等近百部影视剧在此取景。",https://gs.ctrip.com/html5/you/comment/detail/1896/11/165359895.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,倩宝嘻嘻,5分,2020-12-21
跟山西的大院相比，房子显得有点小气，毕竟大城市寸土寸金。但是对园林留下深刻的印象。相比之下大院真的是土财主了。设计非常精巧。,https://gs.ctrip.com/html5/you/comment/detail/1896/11/166000979.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g6/M0A/7D/95/CggYs1b72iKAc5wDAAT_bla-XrA675_C_180_180.jpg,xintian111,5分,2021-03-19
个园是清嘉庆年间两淮盐业商总黄至筠的私人园林，是典型的盐帮建筑。分为北部品竹观赏区、中部花园和南部住宅区。个园的旅游团特别多，尤其集中在南部住宅区和中部花园，北部品竹观赏区人会少很多,https://gs.ctrip.com/html5/you/comment/detail/1896/11/165453038.html,https://dimg04.c-ctrip.com/images/Z80p0j000000ad7py56F0_C_180_180.jpg,阿尔布斯肖恩,5分,2021-01-02
景色不错，周末去人比较多，园林景观不错,https://gs.ctrip.com/html5/you/comment/detail/1896/11/165985342.html,https://dimg04.c-ctrip.com/images/headphoto/676/442/826/4ea44d74b3cb40e79eff814438225909_C_180_180.jpg,haha0146a,5分,2021-03-17
大户人家的院子就是漂亮，春夏秋冬四座山，满院子的竹林无一不透着“个”性，如果时光倒流，可能这些也不怎么稀奇了，但是放在现代，感觉是穿越了时光隧道，值得一看。,https://gs.ctrip.com/html5/you/comment/detail/1896/11/165413591.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g4/M08/0D/F6/CggYHFYBK6eACv7VAAAj5-6TN9E044_C_180_180.jpg,白雪,5分,2020-12-29
