标题,标题链接,头像,user-detail__name,resource_date
"何园 ～ 又名“寄啸山庄”，号称“晚清第一院”，既有亭台楼阁，又有电灯壁炉，既有雕梁画栋，又有地毯沙发，中西合璧，精致异常。复道迴廊、“石涛”叠石、片石山房，为园中三绝，世间孤本。
何园位于东关街东南两公里处，交通便利。
买套票更便宜。",https://gs.ctrip.com/html5/you/comment/detail/1897/11/165845776.html,https://dimg04.c-ctrip.com/images/0Z82g120008gy153mE9FC_C_180_180.jpg,走遍天下XZ,2021-02-27
何园，又名“寄啸山庄”，坐落于江苏扬州城内的徐凝门街66号，由道清光绪年间何芷舠在双槐园旧址上改建，作为何宅的后花园使用，故称“何园”。何园将廊道建筑的功能和魅力发挥到极至，虽是平地起筑，但却独具特色，其间回廊曲折、假山贴墙、鸟栖庭树等无一不令人慨叹，素来有“城市山林”之说，更被誉为“晚清第一园”，为扬州住宅园林的典型，是国家AAAA级旅游景区，全国首批20个重点公园之一，1988年被列为第三批全国重点文物保护单位。,https://gs.ctrip.com/html5/you/comment/detail/1897/11/165929261.html,https://dimg04.c-ctrip.com/images/t1/headphoto/207/494/838/fa687736cf3f484480526cfc0eb6c073_C_180_180.jpg,M22****4422,2021-03-10
景色不错，有趣好玩，性价比高，在园内转了两个多小时，清末时期的园林建筑，提现了园主人何芷舠的园林品位特点，长达1500米的长廊将整个建筑群很好地联系起来，移步换景，且融入部分西洋生活用品，是当时的时代弄潮尔。园内有石涛介绍馆，何家历朝历代的家谱介绍等等，值得一看。总体超赞，,https://gs.ctrip.com/html5/you/comment/detail/1897/11/165852418.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,巴特舒森里德赵孟頫,2021-02-28
何园又名寄啸山庄是一处始建于清代中期的中国古典园林建筑，由清光绪九年（公元1883年）何芷舠在双槐园旧址上改建，作为何宅的后花园使用，故称“何园”。整个园林布局以池水为中心，沿水有桂花亭、赏月楼等楼阁台榭，可以从不同角度俯瞰园林美景。建筑分布又突破了中国古典园林的对称样式，中西合璧，并由复道回廊串联，布局富有层次感，别具匠心，素有“晚清第一名园”的美誉。全园分为后花园、园居院落、片石山房几个部分组成；各部分之间通过复道回廊连成一体。,https://gs.ctrip.com/html5/you/comment/detail/1897/11/165573387.html,https://dimg04.c-ctrip.com/images/Z8030z000000mko2x2E95_C_180_180.jpg,晚霞风车,2021-01-19
"何园也叫寄啸山庄，被称为晚清第一园，它是一座私家园林。
何园分为东园、西园、园居院落、片石山房四个部分

东园的主要建筑是船厅；厅北有假山贴墙而筑，参差蜿蜒，妙趣横生。西园空间开阔，中央有一个大水池，楼厅廊房环池而建

与何园紧相毗邻的是片石山房，是明末清初画坛巨匠石涛叠石的人间孤本。何家祠堂内陈设容像为原祠堂的真迹复制品。何园是扬州住宅园林的典型。

何园很大，建议游玩起来请一个导游，导游会为你讲解这个园林的精妙之处，否则自己看真是看不出个道道来。",https://gs.ctrip.com/html5/you/comment/detail/1897/11/165751536.html,https://dimg04.c-ctrip.com/images/0Z816120008dyrcyz6689_C_180_180.jpg,小熊穷游攻略,2021-02-16
"扬州3
何园5
何园，坐落于徐凝门街66号，又名“寄啸山庄”，是一处始建于清代中期的中国古典园林建筑，被誉为“晚清第一园“，面积1.4万余平方米，建筑面积7000余平方米。
1883年）何芷舠购得吴氏片石山房旧址，后扩为园林，在扬州建造寄啸山庄，前后历时13年之久。
曾在何园寓居过的名人有很多。著名国画大师黄宾虹（也是何家姻亲），著名作家朱千华先生",https://gs.ctrip.com/html5/you/comment/detail/1897/11/165380758.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,倩宝嘻嘻,2020-12-24
"名场阅历莽无涯，心史纵横自一家。
秋气不惊堂内燕，夕阳还恋路旁鸦。
东邻嫠老难为妾，古木根深不似花。
何日冥鸿踪迹遂，美人经卷葬年华。",https://gs.ctrip.com/html5/you/comment/detail/1897/11/165806390.html,https://dimg04.c-ctrip.com/images/zc05170000011gffv6AD5_C_180_180.jpg,芫荽味滴猪,2021-02-21
值得一去，我们两人出行，正巧赶上一个导游在讲解，顺带一起听了下关于何家的故事！棒棒哒,https://gs.ctrip.com/html5/you/comment/detail/1897/11/165953631.html,https://dimg04.c-ctrip.com/images/Z80l170000011gzu97C7A_C_180_180.jpg,任性小白兔z,2021-03-13
"扬州1
瘦西湖2
园区内桥很多，各有姿态。五亭桥上的风亭极具南方特色，满月之夜，十五个桥洞中每个都含着一个月亮，而二十四桥却沿展出长虹卧波的美景。
每到夏季，瘦西湖开放夜游时，可以欣赏亮了灯的亭台楼阁，和倒映在湖中的月影。",https://gs.ctrip.com/html5/you/comment/detail/1897/11/164949966.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,倩宝嘻嘻,2020-10-31
"何园，扬州除了瘦西湖和个园第三个去的地方。医师证在身，免门票。感觉何园比个园大，何家祠堂，建筑比个园更气派，中西合璧。
特别是阁楼，非常漂亮，其中水中庭那里非常漂亮，中间的湖水，假山，亭子，还有一个小木船，而且那里二楼走廊是可以直通阁楼的，非常漂亮。",https://gs.ctrip.com/html5/you/comment/detail/1897/11/164624522.html,https://dimg04.c-ctrip.com/images/Z805080000003jr1l4945_C_180_180.jpg,Viktor_Lee,2020-10-04
