标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
无锡蠡园是无锡最美的园林，这里不但有绝美的景色，同时还有美丽的爱情故事，园林的风格与苏州不同，但是搭配的错落有致，很值得欣赏。,https://gs.ctrip.com/html5/you/comment/detail/1769/11/165902194.html,https://dimg04.c-ctrip.com/images/t1/headphoto/757/757/889/3b86691007a54fe684f07e198432d09b_C_180_180.jpg,wind3757,5分,2021-03-06
蠡园位于风景秀丽的蠡湖之滨，是国家重点名胜区“ 太湖 ”的主要景点之一。该园初为东西两座相邻的私家别墅园林，分别为1927-1937年建的蠡园和1930-1937年建的渔庄。里面非常大，逛了两个小时一半都没转完，西施岛上还有《烟雨 江南 西施情》的表演，表演一般，风景还是很美滴，不愧为美女西施当年泛舟之处！,https://gs.ctrip.com/html5/you/comment/detail/1769/11/165372086.html,https://dimg04.c-ctrip.com/images/t1/headphoto/463/352/613/9d877effaa3d4bd0b951bb4c60209b3b_C_180_180.jpg,M18****916,5分,2020-12-23
多次在携程订票，真的是方便快捷，值得信任。景区有停车场，自驾也很方便。景区工作人员服务很好，一进入景区看到景区干净整洁，景区不是很大游览下来不太累，景色也很漂亮，门票含西施庄往返船票，游船每一小时一班。蠡园的景色很美，美丽的景色倒映在湖水中，美的像一幅画，让我们流连忘返，看了这么美的风景，心情很愉悦，总之是一次愉快之旅！,https://gs.ctrip.com/html5/you/comment/detail/1769/11/165395473.html,https://dimg04.c-ctrip.com/images/Z80o180000013ulo9C34A_C_180_180.jpg,M40****5936,5分,2020-12-26
在无锡称得上水中园林之盛景。水中游览风光无限、视线通透，冬天去清爽自然。最喜欢的是那个爬上去的小假山游览步道，有远景有近景,https://gs.ctrip.com/html5/you/comment/detail/1769/11/165526633.html,https://dimg04.c-ctrip.com/images/t1/headphoto/057/777/943/0b93f8268d5546308915f4f9fcaa9483_C_180_180.jpg,之之零,5分,2021-01-12
蠡园位于无锡市风光秀美的蠡湖之滨，是国家重点名胜区“太湖”的主要景点之一。它占地123亩，其中水域面积约五分之二，以水景见长。蠡湖，原名漆湖、五里湖，相传春秋时越国大夫范蠡偕美人西施泛舟于此，湖因人而得名，园因湖而得名。,https://gs.ctrip.com/html5/you/comment/detail/1769/11/165963446.html,https://dimg04.c-ctrip.com/images/Z80r0z000000mislf3091_C_180_180.jpg,changxiaxia,5分,2021-03-14
风景宜人，因为是国庆长假期间，我们住在湖滨饭店，出门左拐就是蠡园，我们一家特意挑了下午四点以后入园游览，这个时间段游客很少，除了拍照光线不太理想，其他一切都OK，在出口处不远有个卖酥饼和炸小鱼的饭店，味道很好，值得一试哦,https://gs.ctrip.com/html5/you/comment/detail/1769/11/164845519.html,https://dimg04.c-ctrip.com/images/Z80h1e000001frmqa473E_C_180_180.jpg,小铃铛1972,5分,2020-10-21
"参考用时3小时
门票60元（含仿古船游太蠡湖，船程7mins，游船回程时间平日有固定班次，周末则有多趟不定时返回）。
进入后往左是假山群，如已吃早餐建议先逛一圈出来再去假山群，走百花山房方向，向南到四季亭-南堤春晓-望湖亭的月波平眺-游船码头-西施庄（有表演）-南堤春晓-千步长廊-往东到湖心亭的晴红烟绿-往西北到春秋阁-假山群。
未吃早餐从左边假山群开始参观，桃源居在景区内的左边，这里的早餐味道不错价格实惠。",https://gs.ctrip.com/html5/you/comment/detail/1769/11/158886506.html,https://dimg04.c-ctrip.com/images/Z80314000000wkrkmEE25_C_180_180.jpg,爱旅行的猪仔,5分,2019-05-20
"传说春秋时期，越国大夫范蠡和西施曾经在这里泛舟，所以湖因人而得名，园因湖而得名。它占地123亩，其中水域面积约五分之二，以水景见长。
西施庄并不大，在西施庄里有一处戏台，来到以后刚好有一场关于范蠡和西施的情景剧正在演绎着。这场短短的几十分钟时间，就将范蠡与西施精彩的人生展现给了众多的游客。   
和雄鹰一样，在场的游客们看的都如痴如醉。看过演出以后，搭乘游船离开西施庄，便抵达了蠡园码头。因为打算从蠡园离开，再加上，雄鹰与朋友们都是头一次来蠡园玩，所以索性就一路边走便玩，彻底逛一逛这个园子了。
地址信息：无锡市滨湖区环湖路  门票信息：景区分淡旺两季，门票含往返西施庄的游船票。  雄鹰的推荐游览时长：2-3小时  注意事项：景区规模并不算很大，大约2-3小时就逛完了，所以建议和附近的景区连在一起玩。",https://gs.ctrip.com/html5/you/comment/detail/1769/11/164853137.html,https://dimg04.c-ctrip.com/images/Z8050h0000008rdwn6EA3_C_180_180.jpg,雄鹰王浚,5分,2020-10-21
蠡园面积为30472㎡ 大岛面积27442㎡ 小岛面积3030㎡ 建筑面积1750㎡ 水域面积6075㎡ 绿地面积22647㎡ 岛上有船舫、陶朱公馆、展示表演厅、绣楼、夷光茶楼，游船码头,https://gs.ctrip.com/html5/you/comment/detail/1769/11/165891331.html,https://dimg04.c-ctrip.com/images/0Z81y12000810p210C3F4_C_180_180.jpg,QE-77,5分,2021-03-05
蠡园位于太湖之滨。被称作为水上园林。整个蠡园不算太大。却是风景绝佳的地方。这里有西施和范蠡的故事。三四月这里 的 风景 最美。,https://gs.ctrip.com/html5/you/comment/detail/1769/11/165700659.html,https://dimg04.c-ctrip.com/images/t1/headphoto/164/424/952/04eab99bd26f47acadef4fd3f95b9f37_C_180_180.jpg,殷姨,5分,2021-02-09
江南的冬是温暖的，戏水游乐也是暖暖的！童趣童真也吸引了成年人，欢乐的设施，欢乐的心，笑声笑语更加给冬增加了春暖的意味儿！,https://gs.ctrip.com/html5/you/comment/detail/1769/11/165650621.html,https://dimg04.c-ctrip.com/images/Z80e0g0000007qn8k7257_C_180_180.jpg,潇洒1哥,5分,2021-02-01
不知为何游船没有了，去西施岛。改成了在湖里转一圈。蠡园还是不错的，买票是给亲戚用的。里面的饭店味道不错，面条和豆腐脑蛮好吃，还不贵。无锡景点的吃的一般都不贵的，这个比其他地方确实良心。,https://gs.ctrip.com/html5/you/comment/detail/1769/11/165775384.html,https://dimg04.c-ctrip.com/images/t1/headphoto/258/512/704/6bce7506eecc48f8a4a6d3177e0acf24_C_180_180.jpg,M16****744,5分,2021-02-18
价格不贵，网上购票凭身份证进场。大约两三个小时就能玩一遍了。里面景点不少，有阁楼有石桥有木廊有山石有花草树木，一派秀丽细腻的南方园林景象。不仅自然景观漂亮，而且历史底蕴浓厚，值得多花一点时间细细品味。,https://gs.ctrip.com/html5/you/comment/detail/1769/11/165001784.html,https://dimg04.c-ctrip.com/images/Z80n0x000000l030z5F38_C_180_180.jpg,屋顶听风,5分,2020-11-06
"接近傍晚的蠡园很美，微风拂面，夕阳映湖水，精致的好画面很多，加上游人也少，拍了不少照。天气好，走在湖边还有长廊里很是舒服。
一个很大气的园子，对于一个私人花园来说，太大了。民国的富豪得多有钱才能圈这么大块地修这么大又奢华的园子？",https://gs.ctrip.com/html5/you/comment/detail/1769/11/164521501.html,https://dimg04.c-ctrip.com/images/0Z845120008d2fssa1AC9_C_180_180.jpg,138****8336,4分,2020-09-24
