标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
春节里携老人游览古镇，在携程上购买了电子门票，70岁以上老人凭身份证即可进入收费景点，最推荐严家花园。太精致了！可惜榜眼府第未见开放，稍有遗憾！总体超赞，有趣好玩，景色不错，,https://gs.ctrip.com/html5/you/comment/detail/48809/11/165731748.html,https://dimg04.c-ctrip.com/images/0Z824120008h5s2vnD360_C_180_180.jpg,qf3456792,5分,2021-02-14
苏州木渎古镇离上海比较近，和大多数苏浙古镇相似，小桥，流水，各类美食。严家花园的景观不错，值得一看。逛逛古镇，吃吃小吃，悠闲自得。,https://gs.ctrip.com/html5/you/comment/detail/48809/11/165861854.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,金111,4分,2021-03-01
木渎古镇，被称为“吴中第一镇”。小桥流水、深宅古木，在一众古镇中别有一番情调。镇上木光河等河道纵横，和绵延的石驳岸组成了苍古的水上风景。老街纵横，古巷中深宅大院荟萃。,https://gs.ctrip.com/html5/you/comment/detail/48809/11/165295184.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,vivienvivien,5分,2020-12-13
去天平山赏枫，顺道来到木渎古镇一游。古镇位于苏州西郊城西南灵岩山麓，依山傍水，有独特的江南古镇之韵味。这里有严家花园，古松园……  说是乾坤六下江南必到之处。我们在古镇走走逛逛还蛮享受的。,https://gs.ctrip.com/html5/you/comment/detail/48809/11/165472183.html,https://dimg04.c-ctrip.com/images/Z80m0r000000hnyrk93E5_C_180_180.jpg,Jjp金,5分,2021-01-04
木渎位于苏州城西，太湖之滨，是江南著名古镇。境内风光秀丽，物产丰饶，又恰在天平、灵岩、狮山、七子等吴中名山环抱之中，故有“聚宝盆”之称。木渎是与苏州城同龄的水乡古镇。作为沟通苏州城和浩淼太湖的交通枢纽，木渎是名副其实的太湖门户，因而在明清时期，木渎即是苏州城西最繁华的商埠。清代乾隆南巡六下江南，六次来到木渎，其中有乾隆亲题的御码头，乾隆与他的老师沈德潜吟诗唱和，与他的好友徐士元茶棋相娱，留下了一个个脍炙人口的传说,https://gs.ctrip.com/html5/you/comment/detail/48809/11/164487940.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g6/M08/5B/FF/CggYs1cVfzyAKoNLAAAopIKpXFQ052_C_180_180.jpg,88top,5分,2020-09-20
水巷  特别古朴的一处水乡  小桥流水古朴悠长,https://gs.ctrip.com/html5/you/comment/detail/48809/11/165924396.html,https://dimg04.c-ctrip.com/images/Z804160000010ipim3A31_C_180_180.jpg,M25****5843,5分,2021-03-09
超美的古镇，严家花园，古松园，各色传统苏州园林。若干影视剧拍摄地，严家淦、冯桂芬等名人故居地。物华天宝，人杰地灵，古迹众多，趣味悠远。,https://gs.ctrip.com/html5/you/comment/detail/48809/11/165548664.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,Sammy0618,5分,2021-01-15
"疫情没有结束，生活仍要继续。
匆忙紧凑的节奏，让我想要找寻一处静逸。
选择了周末，买上一张高铁票，24分钟便到达了这座古色古香的姑苏小城。
山塘街，周庄古镇，木渎古镇的小桥流水，粉墙黛瓦，石板小路最适合度假消磨时间了。
木渎古镇拥有私家园林、名人故居等众多的人文古迹，观赏了严家花园，是木渎首富严国馨园林府邸。园中真山真水，荷花池塘，各处都显示大气富贵。堪称为苏州当地园林之“翘楚”。
听听小曲，赏赏风景，微风吹松下，积压的烦躁和焦灼渐渐释放…..",https://gs.ctrip.com/html5/you/comment/detail/48809/11/165313447.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g1/M0A/0A/97/CghzfFVI30mABnvIAAAgjkkYBuo347_C_180_180.jpg,tokibo_jiejie,5分,2020-12-15
木渎古镇，别名渎川，胥江，雅称香溪，位于江苏省东南部，苏州古城西部，地处太湖流域，是江南著名的风景名胜区，素有“吴中第一镇”、“秀绝冠江南”之誉。木渎古镇是与苏州城同龄的汉族水乡文化古镇，已有2500多年历史。2008年08月，评为国家级AAAA景区，也是太湖风景区十三个景区之一。 木渎是汉族传统手工艺品之乡。历史上有泥塑名家袁遇昌、银器高手朱碧山、琢玉名家陆子冈、绣圣沈寿等名家高手，他们的作品都是国家级收藏的珍品。有严家花园、虹饮山房、古松园、灵岩山、天平山等著名文物景点。,https://gs.ctrip.com/html5/you/comment/detail/48809/11/165205469.html,https://dimg04.c-ctrip.com/images/t1/headphoto/207/494/838/fa687736cf3f484480526cfc0eb6c073_C_180_180.jpg,M22****4422,5分,2020-12-01
木渎古镇本身不需要门票，里面的单个景点需要门票，严家花园又名羡园很值得一逛，园子大，而且可看的东西不少，景区没有特别特别大，一天或者半天逛逛挺好，下面是我家老托在古镇的游客照,https://gs.ctrip.com/html5/you/comment/detail/48809/11/165361222.html,https://dimg04.c-ctrip.com/images/t1/headphoto/699/910/854/683dab66bb374136af9930ea204dfc7e_C_180_180.jpg,浅乡月,5分,2020-12-22
