标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
西津古渡，历史上著名的渡口，从三国时期就有了。文化历史很丰富的景区，可以看到各个时代的地层和变迁。元代的古塔，过街形式很独特。现在保留下来的大部分是清末民初的建筑，还有一些中西合璧的风格，很独特。后面有小山，登高远眺，长江美景尽收眼底。,https://gs.ctrip.com/html5/you/comment/detail/1937/11/165991245.html,https://dimg04.c-ctrip.com/images/headphoto/509/116/560/79ccbbbeb5df4c76821d4f532ddca5e6_C_180_180.jpg,Calvin在路上,5分,2021-03-18
"景区门口少量停车位，对面有地下停车场🅿️
进古镇不需要门票🎫，到云台阁和观音洞需要购票，20元。
上云台阁的路需要爬山路台阶，有点小累，比较陡，部分路段没有护栏，云台阁进去有电梯，二楼是动画介绍镇江历史的，上去后可以看到四周的镇江全景，很震撼。",https://gs.ctrip.com/html5/you/comment/detail/1937/11/165785014.html,https://dimg04.c-ctrip.com/images/0Z826120008al7pai8D4A_C_180_180.jpg,糯米爱游泳,5分,2021-02-19
"西津渡古街位于镇江城西云台山麓，是依附于破山栈道而建的一处历史遗迹。始创于六朝时期，历代便是长江渡口码头。随着长江江滩淤积，江岸遂渐北移，渡口早已不在，当年的西津渡口现成为西津渡文化街区。
这条古街全长1000米，古街的样貌保存非常好，随处可见历史遗迹，虽然西津渡作为渡口功能已经消失，但却保留了它的风貌、文化、宗教。
逛古街免门票，部分小景点观音洞、救生会需要购买联票30元，里面也没有什么好看，我认为没必要化这个钱。逛逛古街很有意境，一步跨千年，穿越回古代。",https://gs.ctrip.com/html5/you/comment/detail/1937/11/165242418.html,https://dimg04.c-ctrip.com/images/Z80k0k000000cm37n7C0A_C_180_180.jpg,游侠KK,5分,2020-12-07
"之前只在白天来过，所以这次特地晚上过来瞧瞧。
也是很不错的风光夜景。入口处有个很大的新年大灯，宝船造型，符合老码头气质。
亭台楼阁的灯光造型都很美，小塘里的荷花灯好漂亮的。
只是一些古建晚上都不开门，逛一圈下来所需时间倒比白天少了许多呢。",https://gs.ctrip.com/html5/you/comment/detail/1937/11/165887707.html,https://dimg04.c-ctrip.com/images/headphoto/100/121/960/a68d1513699a46c78692af9f098c7d45_C_180_180.jpg,海洋主义,5分,2021-03-04
西津渡古街全长约 1000 米 ，始创于六朝时期，历经唐宋元明清五个朝代的建设，留下了如今的规模，因此，整条街随处可见六朝至清代的历史踪迹。西津渡，三国时叫“蒜山渡”，唐代曾名“金陵渡”，宋代以后才称为“西津渡”。这里原先紧临长江，滚滚江水就从脚下流过。清代以后，由于江滩淤涨，江岸逐渐北移，渡口遂下移到玉山脚下的超岸寺旁。当年的西津古渡离长江江岸已有 300 多米距离。,https://gs.ctrip.com/html5/you/comment/detail/1937/11/165863044.html,https://dimg04.c-ctrip.com/images/Z80815000000xr1wy2778_C_180_180.jpg,蕙质兰心蕙质兰心,5分,2021-03-01
西津渡古街位于镇江城西的云台山麓，是依附于破山栈道而建的一处历史遗迹，是镇江文物古迹保存最多、最集中、最完好的地区，是镇江历史文化名城的“文脉”所在，共有文物保护单位12处，其中国家级1处、省级2处。,https://gs.ctrip.com/html5/you/comment/detail/1937/11/165805212.html,https://dimg04.c-ctrip.com/images/0Z80p120008b4k9aj9362_C_180_180.jpg,钱旋勒,5分,2021-02-21
"🎼🎼镇江古镇🎼🎼
镇江的古镇位于镇江市润州区西津渡街25号。
西津渡古街位于镇江城西的云台山麓，是依附于破山栈道而建的一处历史遗迹。西津渡古街是镇江文物古迹保存最多、最集中、最完好的地区，是镇江历史文化名城的“文脉”所在。西津渡承载着自唐朝以来1300多年的历史遗存，不仅被称为一部“活着的历史”，更是镇江的历史文化博览区。",https://gs.ctrip.com/html5/you/comment/detail/1937/11/165667246.html,https://dimg04.c-ctrip.com/images/Z80i0x000000laffyCBEB_C_180_180.jpg,什么叫昵称369369,5分,2021-02-04
一场说走就走的旅行，第一站就去了镇江 ，西津渡是我们游览的第一个景点 ，古朴典雅的老街 ，熙熙攘攘的人群 ，虽然下着雨结了冰 ，但是一点也不影响游人的热情 ，作为长江古渡口 ，西津渡的历史与地位十分重要 ，非常值得一看 。,https://gs.ctrip.com/html5/you/comment/detail/1937/11/165615075.html,https://dimg04.c-ctrip.com/images/Z80612000000tdcjh2DAB_C_180_180.jpg,LY3V1,5分,2021-01-26
镇江市区不大，西津渡景区离市区挺近的，以前是个古渡口，废弃之后修成现在的古街模样，晚上来别有一番风味。景区内的几个景点很小众，背后的山上还有云台阁，可以登高俯瞰镇江全貌，很不错。,https://gs.ctrip.com/html5/you/comment/detail/1937/11/165966146.html,https://dimg04.c-ctrip.com/images/Z80u0d0000006ujchE8AE_C_180_180.jpg,爱到喝完可乐,5分,2021-03-15
镇江西津渡位于镇江城西的云台山麓，是依附于破山栈道而建的一处历史遗迹。西津渡古街是镇江文物古迹保存数量最多，保存最集中且最完好的地区。古街全长约 1000 米 ，始创于六朝时期，历经唐宋元明清五个朝代的建设，留下了如今的规模，因此，整条街随处可见六朝至清代的历史踪迹。,https://gs.ctrip.com/html5/you/comment/detail/1937/11/165621788.html,https://dimg04.c-ctrip.com/images/Z8030z000000mko2x2E95_C_180_180.jpg,晚霞风车,5分,2021-01-27
