标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
玄武湖公园：是江南地区最大的城内公园，也是中国最大的皇家园林湖泊，被誉为“金陵明珠”。门票免费，开放时间6:00-21:00。玄武湖公园很大，公园有多个入口，由于时间关系，我们这次来主要是想看金黄色的银杏树，乘坐地铁直接在玄武门进入后，直走，穿过湖水，向左手边再一直走，走到路的尽头穿过小桥终于到达了玄武湖的银杏大道，路的两旁种满了银杏树，高大挺拔的银杏树被金黄的叶片装扮得无比华丽，在夕阳的照耀下发出夺目的金光，满地的落叶，像是铺上了一层金色的毯子，片片落叶簇拥在一起。一阵微风吹过，扇形的银杏叶飘洒而下，如漫天飞舞的金色蝴蝶，仿佛进入了秋天的童话世界里。,https://gs.ctrip.com/html5/you/comment/detail/1674/11/165700310.html,https://dimg04.c-ctrip.com/images/Z80j180000013tywe9612_C_180_180.jpg,魔女三号babykikilee,4分,2021-02-09
"南京玄武湖风景区（Xuanwu Lake）位于江苏省南京市玄武区，是紫金山脚下的国家级风景区，江南最大的城内公园，被誉为“金陵明珠”，与杭州西湖、嘉兴南湖并称“江南三大名湖”。
国庆前期来玄武湖，秋叶已红、荷叶仍绿，湖光山色尽收眼帘。",https://gs.ctrip.com/html5/you/comment/detail/1674/11/165871204.html,https://dimg04.c-ctrip.com/images/Z80p170000012mo34FEDD_C_180_180.jpg,黄海大智若愚,5分,2021-03-02
"超值得推荐！景色秀丽，四季宜人，而且免费
春有百花争艳，大面积多种类梅花，樱花，还有挺多不知道名字的😀。
夏有万亩荷花竞相开放，接天莲叶无穷碧，映日荷花别样红。
秋有片片银杏林，秋霜一至，遍地金黄。
冬有大批越冬候鸟，游船观鸟，甚是惬意。",https://gs.ctrip.com/html5/you/comment/detail/1674/11/165831419.html,https://dimg04.c-ctrip.com/images/t1/headphoto/293/406/308/22631089f44a497495c005fce85f6a6f_C_180_180.jpg,逍遥浪子laborc,5分,2021-02-25
没做任何攻略，就是来南京鸡鸣寺玄武湖看樱花的。3月12号去的，雨天，鸡鸣寺道旁的樱花零星的开了几棵，但可以看出盛开时一定很美，花了十元门票进鸡鸣寺，拜了财神(⁎⁍̴̛ᴗ⁍̴̛⁎)，想去看看白娘子的取景地（雷锋塔），周围在扩建中，塔门对面又作商用，期待的完全没有。出寺往前走就是玄武湖了。免门票，预约就行，由于非周末，又下雨，人不是很多，玄武湖很大很大，越往里走就只有我一人了，没有脚步声没有吵杂声，有的只是雨落下的声音和鸟儿们欢快的歌声，湖面烟雾渺渺，相当有意境，没想到还有一个种满樱花的樱花州，盛开时节还想来。樱花州里还有一个种满大量月季的月季园，在南京的朋友可以期待一下。,https://gs.ctrip.com/html5/you/comment/detail/1674/11/165949556.html,https://dimg04.c-ctrip.com/images/0Z831120008h84vr92596_C_180_180.jpg,E11****77,5分,2021-03-13
玄武湖中有五个小岛，是为“五洲”。玄武湖四季都有不同美景。其是春来的时候，花红柳绿，万物复苏，近观600余年的明城墙，远眺巍巍钟山。或泛舟湖上，微风荡漾，微动涟漪，或在湖边走一走，呼吸春天的味道，身心愉悦。往年会去樱洲赏樱花，这次的时间看樱花略早了些，但环洲、梁洲上有许多花开了，煞是好看。,https://gs.ctrip.com/html5/you/comment/detail/1674/11/165910328.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g2/M06/BF/AF/CghzgFSYAgKAfqPhAAURAewEaR8507_C_180_180.jpg,fcy911,5分,2021-03-07
玄武湖，南京人很喜欢去逛逛看看的休闲好去处。是中国最大的皇家园林湖泊。与嘉兴南湖，杭州西湖并称“江南三大名湖”。如今是南京最大的文化休闲公园。,https://gs.ctrip.com/html5/you/comment/detail/1674/11/165872377.html,https://dimg04.c-ctrip.com/images/Z80i1900000180gbn6245_C_180_180.jpg,云柳飞扬_666,5分,2021-03-02
"玄武湖是免費參觀的景點，範圍很大，裏面分成幾個區塊，光是走完一圈就需要兩個小時以上。疫情期間要出示健康碼才能參觀。

玄武湖位置很好，距離南京火車站很近，也有地鐵直達，景區門口還有古城墻的“玄武門”登城牆的入口。城牆、玄武湖、總統府、1912景區、南京博物院，整個南京市知名景點都不遠。玄武湖附近有很多百貨公司，生活機能很方便。",https://gs.ctrip.com/html5/you/comment/detail/1674/11/165657916.html,https://dimg04.c-ctrip.com/images/Z80b1c000001di8ai4A3D_C_180_180.jpg,茉香奶青,5分,2021-02-02
玄武湖，春天很美，特别是梅花，樱花，海棠花，杜鹃，梨花各式花开的时候，美不胜收呀，最重要的是，免费，免费，湖边就是著名的明城墙哦,https://gs.ctrip.com/html5/you/comment/detail/1674/11/165902280.html,https://dimg04.c-ctrip.com/images/zc0l170000011e3741A91_C_180_180.jpg,石头乐,5分,2021-03-06
"玄武湖可好玩啦，从小到大没事就来，学校一稿什么春游秋游的什么活动就来这里。不费事，又安全，不容易出危险。
【景色】好
【趣味】强
【性价比】高",https://gs.ctrip.com/html5/you/comment/detail/1674/11/165942143.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,马马乎乎168,5分,2021-03-12
玄武湖不管是白天，景色还是夜晚的夜景都非常的美丽。人少景好。属于南京市民经常来散步的地方，景点感较少。来这里顺便也看了南京古城墙。,https://gs.ctrip.com/html5/you/comment/detail/1674/11/165865138.html,https://dimg04.c-ctrip.com/images/Z80n1800000150aet63E0_C_180_180.jpg,幸福的小仙女,5分,2021-03-01
