标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
说来惭愧，这么多年，竟然没去过阅江楼！这次住在滨江希尔顿，顺便去了一趟阅江楼风景区，自南大门进入景区，拾阶而上，渐入佳境，气势雄伟，非常壮观。阅江楼内部有电梯，不过每层都有看点。最上面的迴廊可以挑望整个南京城，还可以看到标志性的长江大桥。,https://gs.ctrip.com/html5/you/comment/detail/57058/11/165781822.html,https://dimg04.c-ctrip.com/images/0Z82g120008gy153mE9FC_C_180_180.jpg,走遍天下XZ,5分,2021-02-19
阅江楼位于南京市鼓楼区狮子山巅，屹立在扬子江畔，饮霞吞雾，是中国十大文化名楼之一，也是江南四大名楼之一，也是南京阅江楼景区的主要景点、国家AAAA级旅游景区、新金陵四十八景之一，有“江南第一楼”之称。,https://gs.ctrip.com/html5/you/comment/detail/57058/11/165941813.html,https://dimg04.c-ctrip.com/images/0Z83f120008aty8cbF48D_C_180_180.jpg,Joey-Xie,5分,2021-03-12
阅江楼位于江苏省南京市鼓楼区狮子山巅 屹立在扬子江畔 中国十大文化名楼之一 江南第一楼之称 阅江楼喻阅江揽胜之意 楼高五十二米多 外四层暗三层 共七层 碧瓦朱楹 檐牙磨空 朱帘凤飞 彤蜚彩盈 具有鲜明的古典皇家气派 为典型的明代皇家建筑风格,https://gs.ctrip.com/html5/you/comment/detail/57058/11/165552278.html,https://dimg04.c-ctrip.com/images/t1/headphoto/982/089/752/f8c7b21182c94524ac4df328fdc7b3dc_C_180_180.jpg,ncyygo,5分,2021-01-16
"阅江楼位于南京市鼓楼区狮子山巅，屹立在扬子江畔，饮霞吞雾，是中国十大文化名楼之一，也是江南四大名楼之一，有“江南第一楼”之称。
阅江楼喻阅江揽胜之意，楼高五十二米多，外四层暗三层，共七层，碧瓦朱楹、檐牙摩空、朱帘凤飞、彤扉彩盈，具有鲜明的古典的皇家气派，为典型的明代皇家建筑风格。总建筑面积五千余平方米。
阅江楼是明洪武七年（1374年）春建造，明太祖朱元璋下诏在国都南京城西北狮子山开始建一楼阁，亲自撰写《阅江楼记》，又命朝廷众文臣职事每人写一篇《阅江楼记》，其中大学士宋濂所写一文最佳，后入选《古文观止》。
阅江楼在建楼工程所用地基平砥完工后，明太祖朱元璋突然决定停建，直至上世纪末决议复建“阅江楼”的动议，得到社会各界的响应。1997年，南京市人民政府正式批准建造阅江楼，直到2001年9月阅江楼正式竣工建成。从此结束了六百年来“有记无楼”的历史。",https://gs.ctrip.com/html5/you/comment/detail/57058/11/164550106.html,https://dimg04.c-ctrip.com/images/0Z83f120008aela0w8145_C_180_180.jpg,yjw2000,5分,2020-09-27
巜阅江楼》(通韵)有记无楼六百秋，今朝遂愿阅江楼。銮妆宝殿狮山矗，佛寺金汤扬子俦。楼鼎浮雕瓷画展，唾狮碑记炮台留。三军将士伏击地，七下西洋起码头。远眺钟山腾霸气，近观浩水荡鲸舟。千秋风雨卢龙渡，桥跨长江眼底游。(祖国山水1068),https://gs.ctrip.com/html5/you/comment/detail/57058/11/165325578.html,https://dimg04.c-ctrip.com/images/Z80k160000010afnx696D_C_180_180.jpg,古言新语,5分,2020-12-17
"体验很好，景色不错，值得推荐，有趣好玩，
和公司同事一起去，也不是第一次了，先是在下面的小城墙转了半圈看看景区周边，绕到楼后上去，然后上楼，个人觉得这里是看江景最好的地方，毕竟人家叫阅江楼，给古人一个面子嘛！你看这江，你看那桥，真好看！(｡･ω･｡)ﾉ♡",https://gs.ctrip.com/html5/you/comment/detail/57058/11/164808108.html,https://dimg04.c-ctrip.com/images/t1/headphoto/491/056/464/eb3c7472323e4c3598f58ffa8a6fce99_C_180_180.jpg,M51****076,5分,2020-10-17
"阅江楼登上山顶的亭子，四周每个角度都各有特色，长江大桥，南京市区，各角度有各自的美
【景色】赞👍🏻一级
【趣味】一般
【性价比】中等偏上",https://gs.ctrip.com/html5/you/comment/detail/57058/11/165668811.html,https://dimg04.c-ctrip.com/images/Z80i14000000wt4u20D96_C_180_180.jpg,KevinTsui,4分,2021-02-04
这个属于意外中的景点。10.2一早去的，人不多，上楼后，视野开阔。景色很美。而且内部还可以游览的很仔细。还有长廊和步道，由于时间有限，没有去。总之景色很不错！,https://gs.ctrip.com/html5/you/comment/detail/57058/11/164645438.html,https://dimg04.c-ctrip.com/images/t1/headphoto/646/318/109/a865fe5f5465407d8befd5dc487a8554_C_180_180.jpg,M17****806,5分,2020-10-05
南京城西北角狮子山巅的阅江楼，是中国十大文化名楼之一，2003年被评为国家AAAA级旅游景区、江苏省创建文明风景旅游区示范点。南京阅江楼与武汉黄鹤楼、岳阳岳阳楼、南昌滕王阁合称江南四大名楼。而鹳雀楼（一说是蓬莱阁）与后三楼并称中国四大名楼。,https://gs.ctrip.com/html5/you/comment/detail/57058/11/164574235.html,https://dimg04.c-ctrip.com/images/t1/headphoto/297/153/459/8cf4cb7ad36e4984be00782f499866e1_C_180_180.jpg,1361130****,4分,2020-10-01
景色不错，总体超赞，长江边狮子山阅江楼的特别之处在于有名无楼。6百年后的2001年，终于帮古人完成心愿，古书上江南四大名楼之一的阅江楼落建而成。出差间隙时去游玩，登高眺望，俯瞰南京城。,https://gs.ctrip.com/html5/you/comment/detail/57058/11/165046534.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,amanda_zz,5分,2020-11-12
