标题,标题链接,头像,user-detail__name,resource_date
"瘦西湖风景区的北面，有一座远近闻名的古寺，大明寺，里面更加有看点的是“平山堂”，买了双人“七景点”的套票，停好车，便拾阶而上，细细品味起来。
里面真的好大，足足用了两个小时才逛完，还在素斋馆用了素面。",https://gs.ctrip.com/html5/you/comment/detail/1894/11/165792291.html,https://dimg04.c-ctrip.com/images/0Z82g120008gy153mE9FC_C_180_180.jpg,走遍天下XZ,2021-02-20
"我们游过瘦西湖，坐公交车来到大明寺。
大明寺，因初建于南朝宋孝武帝大明年间（457—464年）而得名。寺内香火非常旺盛，许多善男信女前来烧香拜佛。有一座大殿是纪念鉴真和尚的，还有一座宝塔，巍峨壮观。",https://gs.ctrip.com/html5/you/comment/detail/1894/11/165763644.html,https://dimg04.c-ctrip.com/images/Z80u0v000000jk6beA359_C_180_180.jpg,M27****3169,2021-02-17
"游玩瘦西湖，是扬州古城必去的地方。瘦西湖的游船码头，在最北侧出去，就有一座很大的寺院，这就是大明寺。
大明寺，是国务院批准列入第六批全国重点文物保护单位名单，初建于南朝宋孝武帝大明年间而得名。1500多年来，如隋代称“栖灵寺”、“西寺”，唐末称“秤平”等。清代，因讳“大明”二字，一度沿称“栖灵寺”，乾隆三十年皇帝亲笔题书“敕题法净寺”。1980年大明寺恢复原名，2002年被评为国家4A级景区。
寺内高塔很巍峨，一定要攀登而上，方可饱览瘦西湖美景。煞是好看。总体超赞，",https://gs.ctrip.com/html5/you/comment/detail/1894/11/166018680.html,https://dimg04.c-ctrip.com/images/0Z83c120008gexooa1A07_C_180_180.jpg,Ryan816,6小时前
大明寺，因初建于南朝宋孝武帝大明年间（457—464年）而得名。1500余年来，寺名多有变化，如隋代称“栖灵寺”、“西寺”，唐末称“秤平”等。清代，因讳“大明”二字，一度沿称“栖灵寺”，乾隆三十年皇帝亲笔题书“敕题法净寺”。1980年，大明寺恢复原名。,https://gs.ctrip.com/html5/you/comment/detail/1894/11/165898711.html,https://dimg04.c-ctrip.com/images/Z80815000000xr1wy2778_C_180_180.jpg,蕙质兰心蕙质兰心,2021-03-06
清晨进去拜拜佛心情特别舒畅，沿途有很多观光团队的导游讲解，偷听了一下。扬州是个诗情画意的地方，很喜欢。,https://gs.ctrip.com/html5/you/comment/detail/1894/11/165957742.html,https://dimg04.c-ctrip.com/images/t1/headphoto/136/299/437/649eb217e3e54746b7a53b8665e14b00_C_180_180.jpg,M56****417,2021-03-14
千年古刹大明寺因初建于南朝宋孝武帝大明年间（457-464年）而得名，是扬州现有历史最早的寺庙，也是淮东第一观。唐代名僧鉴真东渡日本前，即在大明寺传经授戒，该寺因此出名。整个大明寺分三个部分，中部是主体寺庙建筑，东部是栖灵塔，西部是园林式的后花园---西园。主要景点:大雄宝殿、鉴真纪念堂、欧阳祠、西园、平山堂等。,https://gs.ctrip.com/html5/you/comment/detail/1894/11/165554574.html,https://dimg04.c-ctrip.com/images/Z8030z000000mko2x2E95_C_180_180.jpg,晚霞风车,2021-01-16
就是喜欢扬州，但是三月是第一次，本来以为有点早，没想到很好，虽然花未全开，但气候宜人，游客也少，景色不错，总体超赞，精致的园林，厚重的文化。携程订票非常便利，还有优惠。,https://gs.ctrip.com/html5/you/comment/detail/1894/11/165960396.html,https://dimg04.c-ctrip.com/images/Z80j10000000pst2p990B_C_180_180.jpg,M29****9016,2021-03-14
"扬州2
大明寺9
40元的门票，进去后蹭个旅行团听听讲解还是值的。人不算多，慢慢逛2个小时足矣，基本走遍了每个角落。20块钱登上栖灵塔顶，尽揽扬州风光，一定要登上去看看，不然白来了。",https://gs.ctrip.com/html5/you/comment/detail/1894/11/165345164.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,倩宝嘻嘻,2020-12-20
大明寺因扬州而著名，扬州却因大明寺而更具古城特色，大明寺因与后来不断增加的附属建筑至寺庙范围不断扩大，使其“成为了一个集佛教庙宇、文物古迹、园林风光于一体的综合性佛教场所”。,https://gs.ctrip.com/html5/you/comment/detail/1894/11/165712642.html,https://dimg04.c-ctrip.com/images/0Z816120008dyrcyz6689_C_180_180.jpg,小熊穷游攻略,2021-02-11
挺大的禅寺，有花园有湖，好看的塔。出口不远还有樱花大道，感觉比鼋头渚更集中。禅寺的园林风格有置身奈良和京都的感觉，挺不错的。总体超赞，性价比高，有趣好玩，景色不错，,https://gs.ctrip.com/html5/you/comment/detail/1894/11/166014488.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g4/M02/26/71/CggYHVZVvz6AXtcvAACOv7S2_yk825_C_180_180.jpg,dephee,20小时前
