标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
景色不错，总体超赞，有趣好玩，三国比水浒城有意思，也许孩子更喜欢这个吧，去之前建议还是让孩子对电视或者原著熟悉一下，那样会更有兴趣。演出特别是三英战吕布，和斗杀西门庆，特别要看。很赞,https://gs.ctrip.com/html5/you/comment/detail/109917/11/165961303.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g3/M01/A2/04/CggYG1X6gb-ANM94AADZGvcUnMI568_C_180_180.jpg,小俞鱼,5分,2021-03-14
拍《三国演义》的影视基地，四大名著之一，中央电视台的经典之作，🉑️惜来之前功课没做足，所以看的有点迷糊，准备回去后再看一遍电视剧，补习,https://gs.ctrip.com/html5/you/comment/detail/109917/11/165924021.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,七月四月,5分,2021-03-09
"三国城去了两次，第一次孩子小时候去的，看了一场三英点战吕布的表演，人非常多，演出很震撼人心，都是在马上打斗，孩子看的很是过瘾。
第二次是孩子听了三国演义的故事，我们是追寻故事情节去的，如桃园结义、卧龙岗、火烧赤壁等地方。
总体来说，适合小孩子去，如果知道故事情节更好。",https://gs.ctrip.com/html5/you/comment/detail/109917/11/165464981.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,_JS628****129659,5分,2021-01-03
当地政府蛮卖力的，搞得像模像样，三国城占地500余亩，气势恢宏、古朴凝重，建筑风格雄浑刚劲，“吴王宫”、“七星坛”都是著名景点。我们来到三国城，大门前站着两位身披盔甲，手拿长矛的士兵。一进门，我们便登上了木头制成的战船。门票太贵。,https://gs.ctrip.com/html5/you/comment/detail/109917/11/165123514.html,https://dimg04.c-ctrip.com/images/headphoto/628/254/330/b0dd97ed081b4e1c91ba26311570ff67_C_180_180.jpg,无目的闲逛,5分,2020-11-21
三国城和水浒城联票，也比较实惠，一大早去的，进去后先速度打卡景点，不要要是想往返的话可以在联票后盖章，这样可以无限往返，三国城比较大，而且节目多，《三英战吕布》、《洛神赋》、《出师表》、《刘备招亲》、《连环计》节目都非常精彩，人也很多，水浒城就斗杀西门庆不错，必看节目，还有有时间的话也可以去徽宗赐婚，还有可以体验古装照，当然价位不低，一两百一套，带化妆穿衣需要时间，有钱有时间的可以去体验下，两城距离不远，还有不需要景点导览图，微信关注*****公众号，里面地图和每天的节目，或者你可以用高德导航，非常方便，时间关系就没有去古船，因为节目看完就比较晚了，不过里面吃的啥的不贵，还好,https://gs.ctrip.com/html5/you/comment/detail/109917/11/158534808.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,旅游达人000001,5分,2019-04-25
"雄鹰小时候就很喜欢看八十四集电视连续剧《三国演义》，所以这次能够到中国首创的大规模影视拍摄和旅游基地，始建于1987年的三国水浒景区参观游览，心情还是非常激动的。三国城景区规模非常大，景区里面有根据根据《三国演义》剧情需要而修建的“吴王宫”、“甘露寺”、“曹营水旱寨”、“吴营”、“七星坛”、“跑马场”、“点将台”等几十处大型景点。地址信息：无锡市滨湖区山水西路
门票信息：三国城门票90元，水浒城门票85元，可购买联票（三国＋水浒）150元。
雄鹰的推荐游览时长：5-6小时
注意事项：除了风景以外，景区里还有各种各样精彩的实景演出可以欣赏，建议把握好时间，不要错过演出。",https://gs.ctrip.com/html5/you/comment/detail/109917/11/164853536.html,https://dimg04.c-ctrip.com/images/Z8050h0000008rdwn6EA3_C_180_180.jpg,雄鹰王浚,5分,2020-10-22
联票还是挺划算的，看到节目就还可以，得和老阿姨抢票抢位置，毕竟年轻人身体弱，没老阿姨能挤，三国城显得人多，水浒城可以好好走走,https://gs.ctrip.com/html5/you/comment/detail/109917/11/165765426.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g4/M05/00/7B/CggYHFaXNH-ASDyaAACXMUOHUUA103_C_180_180.jpg,M31****757,4分,2021-02-17
可以，古战场那场场面宏伟，壮阔的场面值得一去。另外，太湖边看着白浪追风，鸭鸟在风波畅快的飞翔，一切的烦恼你会在此释放与轻松。,https://gs.ctrip.com/html5/you/comment/detail/109917/11/165360356.html,https://dimg04.c-ctrip.com/images/t1/headphoto/441/333/730/ffac788ed0594b848a0771564fe6a2ee_C_180_180.jpg,阿克陶周瑜,5分,2020-12-21
三国城最不能错过的是《三英战吕布》《出师表》等表演，不过几场表演时间离得很近如果靠步行很赶，尽量买张浏览车的票。虽然基本都是人工建筑，但是值得仔细游玩观看，景区不是太大，两个小时足够看完三国城所有景点了。,https://gs.ctrip.com/html5/you/comment/detail/109917/11/165019844.html,https://dimg04.c-ctrip.com/images/Z80n0x000000l030z5F38_C_180_180.jpg,屋顶听风,5分,2020-11-08
总体超赞，性价比高，有趣好玩，景色不错，,https://gs.ctrip.com/html5/you/comment/detail/109917/11/165783182.html,https://dimg04.c-ctrip.com/images/0Z86j120000zalhkcE0CA_C_180_180.jpg,138****5381,5分,2021-02-19
"三国城因电视剧《三国演义》而名扬四海，
景色秀美，山水相得益彰，东吴战船形象逼真，以三国演义中的著名人物命名，如“周瑜号”、“诸葛亮号”等等，融娱乐性、趣味性、文化性、纪念性于一体，乐在其中。性价比很高，真是不错的景点！",https://gs.ctrip.com/html5/you/comment/detail/109917/11/165508347.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g2/M06/26/BF/CghzgFWsrmqAP9WxAAAvpvPY4Us569_C_180_180.jpg,gz20,5分,2021-01-09
三国水浒城可以用通票，手上盖个章，在汉宋门之间来往的时候查验，人造景点并不影响游玩心情，在水浒城里还遇到拍广告的剧组，紫石街宋太公宅里有一位穿汉服的工作人员，每天上班的时候就姓“宋”成了太公，除了梁山水寨只走了一点，其余的都看了一遍，水浒城比三国城小，也没有什么表演，三国城那边表演项目挺多的,https://gs.ctrip.com/html5/you/comment/detail/109917/11/165024791.html,https://dimg04.c-ctrip.com/images/t1/headphoto/293/406/308/22631089f44a497495c005fce85f6a6f_C_180_180.jpg,M32****4676,5分,2020-11-09
"无锡的三国城，旁边就是水浒城，都是著名的影视基地。
这次国庆节过来，还好人不算太多。里面景点也比较多，第一个就是表演三英战吕布。然后有桃园，吴王宫殿，吴莹水寨。可以坐大船游览太湖。三国城如果不看表演，差不多1个半小时就能逛完。",https://gs.ctrip.com/html5/you/comment/detail/109917/11/164598352.html,https://dimg04.c-ctrip.com/images/Z805080000003jr1l4945_C_180_180.jpg,Viktor_Lee,4分,2020-10-02
相比三国城的喧嚣，我更喜欢水浒城的宁静，就像置身于画面中一般，各种出色的表演，让你看个不停，玩累了还可以到孙尚香酒家或三碗不过岗小憩一会叫上一份特色菜便可以开始享受美食,https://gs.ctrip.com/html5/you/comment/detail/109917/11/165735131.html,https://dimg04.c-ctrip.com/images/Z80o180000013ulo9C34A_C_180_180.jpg,m45****3573,5分,2021-02-14
