标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
"传统上无锡最著名的景点。从很久以前，无锡太湖边上鼋头渚这个地方，就因为风景秀丽而成为著名的景点。
如今的鼋头渚以及附近太湖上的三山岛经过了多年的开发，已经是很成熟的景点了。如果有兴趣，逛一天都是可以的。春夏秋冬，不同季节，同一个景点的风景也是不同。这里有小巧精致的日式樱花园，身处园中，就好像在传统的日式园林中。这里还有传统别致的江南水乡园林。坐船还可以到太湖上的三山岛，感受岛上的风光。时间不急的话，即使是坐在太湖边看看风景发发呆，也是很好的。",https://gs.ctrip.com/html5/you/comment/detail/1775/11/165465216.html,https://dimg04.c-ctrip.com/images/Z80d0j0000009y2td60A1_C_180_180.jpg,201****891,5分,2021-01-03
"清晨5点从江苏扬州出发开往江苏无锡，导航显示2个小时左右到达，实际到达时间为6:59.，了解到景区为应对庞大客流，充山犊山两个大门约在6点左右即可检票进入。我们最终选择将车停在渔人码头停车场（共游玩6个半小时，未收费！），滴滴打车到犊山门口，7点左右汽车尚可进入（下午出大门时发现已实行交通管制）。
饮食：园内举办樱花小镇等美食节活动，但由于美食节内并无“美食”又贵，因此我们制作了三明治🥪作为午餐，建议自行携带方便储存的饮食，如三明治，寿司，玉米等。
准备：保温壶，防晒霜，自拍杆，水果，充电宝，面包（投喂海鸟）等。
行程：犊山大门方便之处在于距离核心景区较近。
第一站：立马找游船码头⛵️，做客渡船登上最难排队的太湖仙岛，幸运的我们应该是赶上了第一班船。仙岛美就美在航程中的海鸟，要拍照的朋友建议抢占二楼船尾的位置，抢不到的话就一点点挤过去拍照📷吧。湖水并不清澈，后期滤镜很重要！处理完就是大片啊！（建议返航时拍，因为返航时海鸟比启航时多，且旅游团人群大多已疲倦）早上鸟鸣清脆悦耳，旅游团右侧小岛“洞天福地”大都不去，有兴趣的朋友可以去散个步，大岛的桥洞和月老庙前的红墙可作拍摄背景。
第二站：太湖佳绝处，长春桥旁满是盛开的樱花树，古风建筑，青山绿水与樱花相得益彰，但是游人如织！ 之后的长春花漪，在大风吹拂下的樱花雨🌸真的很美！“惊艳”“绛雪轩”“太湖佳绝处”的文字配上樱花和蓝天，简直了！
第三站：沿着湖边，走过震泽神鼋，霞绮亭，湖山歌碑，万方楼，向北至樱花邮局处。此处树上挂满风铃🎐。后沿路至友谊亭，期间观赏樱花大道🐾。登鹿顶迎晖（和赏樱楼都是能俯瞰樱花林的地方，楼梯很陡，右上左下，注意安全！爬山爬楼均累，但坚持就是胜利呀），我们是西侧上山东侧下山的，建议直接从范蠡堂侧上山，衔云亭处下山，可直接通往樱花谷。
第四站：樱花谷是最美的景点🤩 成片的樱花树，仿佛人间仙境，一侧的树下满是黄油油的油菜花，对比鲜明！ 人多和车多会使观感大打折扣，大家要做好心理准备吼！赏樱阁是必打卡的地点了！答应我哪怕是不登顶也要在阁楼下拍一张全景照啊！ 一路上穿汉服的小哥哥小姐姐们真的很好看，有条件的一定要穿着去逛啊。同时建议穿浅色系的衣服配合樱花的色彩。",https://gs.ctrip.com/html5/you/comment/detail/1775/11/165988385.html,https://dimg04.c-ctrip.com/images/0Z872120008eho1xqD786_C_180_180.jpg,夏吹夏夜风,5分,2021-03-18
"这是看过最美的一次樱花🌸，这是之前去的时候拍的，很想再去一次，特别发条点评，大力推荐
去的时候刚好赶上樱花雨，特别建议一定要穿古装，一定要穿古装，不管怎么拍照都特别应景",https://gs.ctrip.com/html5/you/comment/detail/1775/11/165967784.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,_WeCh****29543,5分,2021-03-15
在鼋头渚景区的游船码头不远处找到一家老字号的本地餐厅叫做横云饭店，据说始建于上世纪30年代初，里面的船菜是正宗的无锡味道。点的几个菜虽然有些甜，但真的很好吃。饭店的环境也很好，坐在窗边的话就可以看见太湖。以前一直觉得景区饭店都是敷衍游客，这家店真的算是改变了我的印象。人均在60元左右，这个价格在无锡是可以接受的。,https://gs.ctrip.com/html5/you/comment/detail/1775/11/165697646.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g4/M03/FD/D5/CggYHlYAKg-AMIuWAAAljfcbSkQ738_C_180_180.jpg,风子红,5分,2021-02-09
鼋头渚不愧是5A级景区，里面真的好大，如果全部走一遍真的需要一天。我是直接坐车到了太湖边的核心区域，疫情在家宅久了，在这么好的户外环境里走一走是真的不错。在里面的灯塔处观景可以看到太湖特色的帆船，不愧是太湖第一名胜。还发现那边有很多的猫，拿手机撸了半天，哈哈。,https://gs.ctrip.com/html5/you/comment/detail/1775/11/165682369.html,https://dimg04.c-ctrip.com/images/Z80u0d0000006rkywCF64_C_180_180.jpg,背包客李小波,5分,2021-02-06
"这次来无锡旅游，首先打卡的就是【鼋头渚】，作为无锡旅游的地标景点，这个地方真心是美得让人难以忘怀。特别是落日时分才是鼋头渚最美的时候，太湖佳绝处搭配着美美的夕阳，湖光山色间，美不胜收，难怪这里被称为无锡看日落最佳地点，水天一线，帆船点点，大爱这里，此时悠闲的在湖边散散步，非常惬意，静静地享受这里的美景，给忙碌的自己放个假，棒棒的～
对了，冬季还有候鸟也很好看呢！绝对是意外的惊喜了",https://gs.ctrip.com/html5/you/comment/detail/1775/11/165659983.html,https://dimg04.c-ctrip.com/images/t1/headphoto/293/406/308/22631089f44a497495c005fce85f6a6f_C_180_180.jpg,在路上的小羊,5分,2021-02-03
2/28去樱花谷看早樱，7:30里面已经有阿姨团在拍照了。赏樱阁和十里花芳堤的樱花估计还有二周可以开。一定很美，可惜人多，下午的时候几乎每棵樱花树下都有人。还是可以去看看的。,https://gs.ctrip.com/html5/you/comment/detail/1775/11/165861327.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,amywang111,5分,2021-03-01
"登上轮渡，徜徉在蔚蓝的天空与碧波万顷之间，赏湖光山色，与轻盈舞动的红嘴鸥来一场浪漫的邂逅。看红嘴鸥一路环绕追逐，轻歌曼舞，仿佛在拥簇欢迎这湖上的旅人。
鼋头渚看日落也是非常有诗意，太湖佳绝处搭配着美美的夕阳，一幅悠然的湖光山色画卷映入眼前，秀色可餐，美不胜收。
【景色】",https://gs.ctrip.com/html5/you/comment/detail/1775/11/165777114.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g3/M00/EF/F7/CggYGVXImp6ASTikAAUa65abnmQ107_C_180_180.jpg,a简安然,5分,2021-02-18
🚘🚣🏻‍♀️在鼋头渚喂红嘴鸥实在是太治愈了，提前带了一包吐司，开船以后红嘴鸥好像上班一样的就把船围上了，🍞然后把面包撕成小块来喂特别好玩。去的时候几乎没有人愿意坐进船舱，都在喂红嘴鸥或者拍照。回程很多人没有食物了就进船舱了，还好我带的多，来回都喂了，而且拍了很多喜欢的照片，真的太好玩了。,https://gs.ctrip.com/html5/you/comment/detail/1775/11/165682238.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g3/M01/71/D3/CggYGlXoFweAVzU4AADgovdm8BQ449_C_180_180.jpg,钥匙找锁的旅行,5分,2021-02-06
无锡的鼋头渚素有“太湖第一名胜，中华赏樱胜地”的美誉，又到阳春三月，沿着樱花道向前可以走到赏樱楼，登楼可以俯瞰整个樱花谷看樱谷全景，假装在日本看樱花了。,https://gs.ctrip.com/html5/you/comment/detail/1775/11/165997664.html,https://dimg04.c-ctrip.com/images/Z80t1g000001h30d7D8F4_C_180_180.jpg,202****751,5分,2021-03-19
