标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
寒山寺属于禅宗中的临济宗。唐代贞观年间，当时的名僧寒山、希迁两位高僧创建寒山寺。1000多年内寒山寺先后5次遭到火毁(一说是7次)，最后一次重建是清代光绪年间。历史上寒山寺曾是中国十大名寺之一，寺内古迹甚多，有张继诗的石刻碑文，寒山、拾得的石刻像。,https://gs.ctrip.com/html5/you/comment/detail/3765/11/165347559.html,https://dimg04.c-ctrip.com/images/Z80813000000tuiq21A55_C_180_180.jpg,勇猛十温柔,5分,2020/12/20
"去年腊八节，
老父亲带回寒山寺的粥，
希望保佑外婆平安健康，
不知不觉一年过去了，
长大以后，
遗憾慢慢积累多了，
就全都不是遗憾了。
节日也不用来庆祝，
用来怀念。

过完腊八就是年，
能料想到今后的每一年，
都不会像先前那样欢聚一堂，
外婆走了以后，
仿佛奔赴团聚这件事失去了意义。
我想大家的亲情关系，
都会随着老人的离逝，
变得支离破碎。

偶尔我在院子里晒太阳的时候，
听到有老人说话，
恍惚间会以为是外婆，
一瞬间欢呼雀跃的心情又冒出来了。
我有些期待那样的时刻，
除了梦里，
很难在清醒的时刻再尝到拥有的快乐。

我一直都坚信不移的，
她一定在平行世界，
带着祝福和爱，
等待我们有天和她团聚，
我甚至觉得，
只有萌生这样的念头，
才能聊以慰藉，
才能苟且偷生。",https://gs.ctrip.com/html5/you/comment/detail/3765/11/165615181.html,https://dimg04.c-ctrip.com/images/0Z80k120008d39lht25E8_C_180_180.jpg,sinkpj,5分,2021/1/26
"唐太宗贞观初(627--649)名僧寒山子，来此缚茆起居，唐玄宗时著名禅师希迁(700--790)在此创建伽蓝，题额曰寒山寺。
北宋太宗太平兴国初(976--983)节度使孙承佑重建佛塔七成(层)。.北宋仁宗嘉佑二年(1057)郇国公王珪因书张继诗，易封桥为枫桥。
南宋高宗绍兴年间(1131-1162年)称枫桥寺。
洪武年间(1368-1398年)僧昌崇僻建。寒山寺归并寺三：秀峰寺、慧庆寺、南峰寺；庵四：文殊、云皋、射渎，其一失。据此可见寒山寺在明初尚为丛林。
辛亥革命后至1949年，寒山寺亦处危境，香烟稀少，门庭冷落，收入无着，住僧星散。1941年秋，高冠吾等曾将原藏经楼略事修葺，易名为霜钟阁。日军侵占苏州时期，寒山寺殿堂房舍曾一度沦为日军仓库马厩。
1954年原常州接待寺僧演林至寺协助照管香火，寒山寺才又有僧人。同年有苏州名士宋鸿钊者，将其祖传名楼花篮楼施赠寒山寺，移建于碑廊西南隙地，易名为""枫江楼""。
1958年苏州市寺庙集中管理，部分法像被集中到西园戒幢律寺。隆庆寺龙藏经被调入寒山寺。
1966-1976年""文化大革命""期间，寒山寺一度成为造反派刑讯逼供的牢房。佛像、法器、殿阁受损，寺藏文物被查抄。性空法师事先采取保护措施，使碑刻、藏经、罗汉等得以保存。
1978年11月15日，全国政协副主席、中国佛教协会会长赵朴初，第一次到寒山寺视察并指导修复工作。寒山寺由此开始修复。",https://gs.ctrip.com/html5/you/comment/detail/3765/11/165347773.html,https://dimg04.c-ctrip.com/images/Z80413000000ttay762F0_C_180_180.jpg,恰似您的温柔,5分,2020/12/20
这个季节嫩绿明亮，桃花初开，选了一个周一的早上开始我的寒山慢游，安静、适合用心的朝拜，寒山寺是我这次苏州之行最最值得推荐之处。其实每一个地方都需要自己去观看、发现，如果介绍太多，带着期望值去欣赏，多多少少会有点带入个人想象了。所以值得去发现吧,https://gs.ctrip.com/html5/you/comment/detail/3765/11/165974664.html,https://dimg04.c-ctrip.com/images/Z80t1f000001gb8t8BF35_C_180_180.jpg,迪拉基嬴政,5分,24小时前
"寒山寺位于苏州城西阊门外的枫桥镇，始建于南朝萧梁代天监年间（公元502-519）距现在已有1400多年了，初名“妙利善明塔院。
寒山寺因唐代诗人张继《枫桥夜泊》中“姑苏城外寒山寺，夜半钟声到客船”其诗句而闻名天下。寺内的钟楼便是“夜半钟声”的来源之处，宏亮悠扬的钟声是寒山寺的象征。如今的大钟虽非张继诗中那口钟，而是晚清的古迹，但每天来寺中撞钟，祈福的信徒络绎不绝……",https://gs.ctrip.com/html5/you/comment/detail/3765/11/165811647.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,胭脂2021,5分,2021/2/22
寒山寺位于姑苏区枫桥路，始建于南朝，清朝光绪年间重修，是中国十大名寺之一。院内有一座普明宝塔，寒山寺初名“妙利普明塔院”，寺内还有脍炙人口的张继寺的时刻碑文“枫桥夜泊”。,https://gs.ctrip.com/html5/you/comment/detail/3765/11/165771429.html,https://dimg04.c-ctrip.com/images/Z80t11000000qn2bj83A0_C_180_180.jpg,黄大小姐,5分,2021/2/18
"“姑苏城外寒山寺”
那次去苏州，特意去打卡了一下诗句中曾提到的寒山寺。每次去寺庙，都感觉特别的放松，感觉内心踏实。
但是，寒山寺给我感觉也有点太商业化了，比如我们进北区的园内，必须要经过一个佛堂，里边全部是大呼小叫的卖东西的。寒山寺里边，也有好多卖东西的。曾经我去过一个寺庙，里边连公德箱都没有设，真的是没法比………
交通：交通还算便捷，苏州旅游业发达，有专门的一条公交线路是往各大景点接送人的，3元/人。淡季好像是半个多小时一趟吧，旺季的话车辆多，用不着半个多小时",https://gs.ctrip.com/html5/you/comment/detail/3765/11/165956387.html,https://dimg04.c-ctrip.com/images/0Z851120003eawmwa50CF_C_180_180.jpg,徐徐霞客Rr,5分,2021/3/14
寒山寺以唐朝诗人张继的诗句“姑苏城外寒山寺，夜半钟声到客船”而闻名，但在以前的苏州，寒山寺并不算标志性景区。这几年寒山寺被修葺一新，又与周边枫桥地区以及铁铃关一起组成枫桥景区，既有秀美的自然风光，也有精彩的历史故事。值得走走逛逛,https://gs.ctrip.com/html5/you/comment/detail/3765/11/164978062.html,https://dimg04.c-ctrip.com/images/0Z804120008g820vo33A2_C_180_180.jpg,听足音,5分,2020/11/3
唐朝诗人张继所作诗篇《枫桥夜泊》诗曰：“月落乌啼霜满天，江枫渔火对愁眠。姑苏城外寒山寺，夜半钟声到客船。”诗韵钟声千载流传，寒山古刹因此名扬天下。 现在基本来游玩的人都是冲着枫桥夜泊的名头来的。张继的枫桥夜泊保证了寒山寺上千年的旺盛香火，钟越铸越大，碑也越修越高，双双进入了吉尼斯纪录。但此钟早已不是彼钟，当年启发张继的钟早已不知去向。寒山寺始建于六朝时期的梁代天监年间（公元502-519年），距今已有1400多年。原名“妙利普明塔院”。寺院坐东朝西，寺内主要建筑有：大雄宝殿、庑殿(偏殿)藏经楼、碑廊、钟楼、枫江楼等。内部很简单，环境幽静，绿化很好，没有太多花哨，很适合佛门清净地。,https://gs.ctrip.com/html5/you/comment/detail/3765/11/164469640.html,https://dimg04.c-ctrip.com/images/Z8020i0000009bqe17BF7_C_180_180.jpg,静静de黎明,5分,2020/9/18
寒山寺位于苏州市姑苏区，始建于南朝萧梁代天监年间(公元502~519年)，初名"妙利普明塔院"。寒山寺占地面积约1.3万平方米，建筑面积三千四百余平方米。,https://gs.ctrip.com/html5/you/comment/detail/3765/11/165347557.html,https://dimg04.c-ctrip.com/images/Z8070a0000004m9t7BB14_C_180_180.jpg,周游列国,5分,2020/12/20
