标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
"阳春三月还未到，金鸡湖畔的玉兰花就应着暖阳的召唤，身披白袍款款而来。“小鸟巢”苏州文化艺术中心旁，棵棵亭亭玉立的玉兰花竞相开放，往湖面方向延伸，颇有一种天然之趣和诗意之径。累积了一整个冬天的力量，玉兰花在一汪绿意中悄然走来，含苞、初开、怒放，簇簇丛丛、层层叠叠，次第盛开铺成花路。微风拂过，花朵摇曳生姿，散出清香阵阵，沁人心脾。

赏花推荐地：苏州文化艺术中心、金鸡湖大桥下、香樟园附近",https://gs.ctrip.com/html5/you/comment/detail/63908/11/165821287.html,https://dimg04.c-ctrip.com/images/0Z872120008eho1xqD786_C_180_180.jpg,夏吹夏夜风,5分,2021-02-23
金鸡湖在苏州老城区的东北部，其周边开发建成了苏州高新工业园区，成为苏州经济发展的重要区域。金鸡湖属太湖支流，并与吴淞江相连。金鸡湖也逐渐变成休闲旅游区，有多处景观可以参观游览，如：音乐喷泉、水上摩天轮、湖滨大道等等。,https://gs.ctrip.com/html5/you/comment/detail/63908/11/165323380.html,https://dimg04.c-ctrip.com/images/Z80s160000010jwbr7246_C_180_180.jpg,野枫印象,5分,2020-12-16
金鸡湖边上已经非常热闹了，游人和鲜花交织在一起，又加上周末是个好天气，家家户户都出来透透气。希望逐渐减弱的疫情就此了结。,https://gs.ctrip.com/html5/you/comment/detail/63908/11/165965968.html,https://dimg04.c-ctrip.com/images/t1/headphoto/882/320/089/158cae5ddb6143c0b6ae18523614cf08_C_180_180.jpg,小小绿带爆米花,5分,2021-03-15
"苏州旅游不能错过的金鸡湖景区旅游攻略
    
金鸡湖景区，位于江苏省苏州市苏州工业园区，国家重点5A级景区，一个比较现代化的景点，值得一看，提供旅游攻略如下：

景点名：金鸡湖景区

交通：建议从西门进入，乘坐地铁1号线到东方之门站下车步行可以到达。

玩法：免费可以进入景区。从西门进入。可以沿着园融雕塑一直往南走，途经湖滨公园，可以到李公堤广场参观。骑个单车可以游湖一圈。也可以坐个小火车。途经有摩天轮，喜欢的游客可以玩一下。月光雕塑旁边的范仲淹码头也是很不错的。时间充足的话，可以游玩一天。

推荐理由：集文化会展区、时尚购物区、休闲美食区、城市观光区、中央水景区，五大功能区域，非常满足游客的游玩需求。非常推荐的一个漂亮景点。",https://gs.ctrip.com/html5/you/comment/detail/63908/11/165872224.html,https://dimg04.c-ctrip.com/images/0Z80x1200083724clD9E8_C_180_180.jpg,萨拉热窝的夏雨荷,5分,2021-03-02
春节期间，白天宅酒店🏨，晚上到金鸡湖李公堤看看夜景🌃。酒店位于金鸡湖边，东方之门附近，湖景很棒，“秋裤”最佳观景位置。躺在床上欣赏无敌湖景和城景！晚上来到李公堤附近走走，人不多，很幽静，花了10元钱停车，一直逛了很远，沿街都是餐厅，真希望如果多几家咖啡馆就很好了，喝着咖啡，欣赏湖景。,https://gs.ctrip.com/html5/you/comment/detail/63908/11/165821052.html,https://dimg04.c-ctrip.com/images/Z80l12000000t25g806E1_C_180_180.jpg,亲亲宝贝1234,4分,2021-02-23
金鸡湖景区是苏州这些年来全力打造的现代化景区，将苏州的主要大型的标志性建筑几乎都修建在了这里，夜景的亮化工程做的也很好，确实很漂亮。,https://gs.ctrip.com/html5/you/comment/detail/63908/11/165915931.html,https://dimg04.c-ctrip.com/images/t1/headphoto/757/757/889/3b86691007a54fe684f07e198432d09b_C_180_180.jpg,wind3757,5分,2021-03-08
天气超好，景色很美，休闲度假的好地方，网红的诚品书店就在附近，吃喝玩乐的度假胜地。可惜摩天轮🎡在改建没能饱览全景，有点遗憾。,https://gs.ctrip.com/html5/you/comment/detail/63908/11/165960677.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,微笑娟晓,5分,2021-03-14
已经来了好多次了，地方蛮大的，环境挺好的，交通也很便利，真正的城市中心绿肺，坐游船看周围的建筑也是很气派彭博的，湖边的酒店住着挺安静的！！！,https://gs.ctrip.com/html5/you/comment/detail/63908/11/165584867.html,https://dimg04.c-ctrip.com/images/Z80h0z000000niap0B56D_C_180_180.jpg,mlk_2008,5分,2021-01-21
梅花香自苦寒蓝，这苏州金鸡湖的梅花貌似也没吃那么多苦，等春天要到了，她也开花了，再晚些天就要算“春梅”了。不过在这百花凋谢的时候开在金鸡湖岸边还是很增色的。,https://gs.ctrip.com/html5/you/comment/detail/63908/11/165644368.html,https://dimg04.c-ctrip.com/images/t1/headphoto/882/320/089/158cae5ddb6143c0b6ae18523614cf08_C_180_180.jpg,小小绿带爆米花,5分,2021-02-01
金鸡湖景区是国内极少数免费对外开放的国家5A级旅游景区之一。湖西是苏州金融中心，这里有着苏州最大的音乐喷泉，苏州最大的购物中心苏州中心，苏州最奇葩的楼东方之门，还有像船一样的中茵皇冠酒店。湖的南边是金鸡湖李公堤，湖东是购物天堂和情侣约会的好地方，这里有摩天轮公园、亚洲最大的诚品书店、圆融天幕、月光码头等美轮美奂的景区。金鸡湖湖中心就是有名的桃花岛。,https://gs.ctrip.com/html5/you/comment/detail/63908/11/158690577.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,_zx518****056329,5分,2019-05-05
