标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
茅山景区位于江苏省句容市与金坛交界处，南北约长10公里，东西约宽5公里，面积50多平方公里。茅山是指中国江苏省的一座道教名山，是道教上清派的发源地，被道家称为上清宗坛。有第一福地，第八洞天之美誉。,https://gs.ctrip.com/html5/you/comment/detail/1935/11/165850417.html,https://dimg04.c-ctrip.com/images/0Z80p120008b4k9aj9362_C_180_180.jpg,钱旋勒,5分,2021-02-27
很棒的福地 非常巧再过一天山上就有庙会第二天早上就有双星伴月的天象奇景可以看那里的天气非常晴朗 万里无云 能见度非常好 每每黄昏就有彩霞 很美很美有趣好玩，总体超赞，性价比高，景色不错，,https://gs.ctrip.com/html5/you/comment/detail/1935/11/165776124.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,200****502,5分,2021-02-18
茅山是道教上清派发源地，这里远离城市喧嚣，风光秀丽，空气清新，令人身心放松，非常适合中老年人、信奉道教文化的善男信女到此一游!,https://gs.ctrip.com/html5/you/comment/detail/1935/11/165934519.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,118****147,4分,2021-03-11
句容相信很多人听着都有点陌生，它地处长江中下游南岸，素有“南京新东郊、金陵御花园”之美誉。这里山明水秀，人杰地灵，物产丰富，气候温和，山水秀丽，人文会萃，古迹众多。,https://gs.ctrip.com/html5/you/comment/detail/1935/11/165388361.html,https://dimg04.c-ctrip.com/images/Z80f0k000000bvz6sD024_C_180_180.jpg,一雨一彩虹,5分,2020-12-25
这个地方蛮好的，很大，环境很好，适合团建，也适合亲子游玩。里面太大了，以至于我们后来只能坐车回家，车票推荐一定要买，可以省不少力气呢！,https://gs.ctrip.com/html5/you/comment/detail/1935/11/165510293.html,https://dimg04.c-ctrip.com/images/Z8071f000001gkctn0EF6_C_180_180.jpg,Lucifinil forever,5分,2021-01-10
"体验很好，值得推荐，景色不错，有趣好玩，
非常不错，强烈推荐！既有自然风景，也有历史人文，门票30非常厚道了，前天港刚去了溧阳南山竹海，门票90，就个竹林，没有对比就没有伤害，来了茅山，感觉南山竹海很不值，
先在门口参观了新四军纪念馆，然后沿着健身步道登顶万寿宫，路上还看到一条青蛇，顶峰视野非常开阔，整个句容，金坛尽收眼底，非常漂亮，万寿宫也很宏伟，进去感受了一下道教文化，升仙台上拍了照！爬山上去也就一个多小时
然后沿步道下山，途径喜客泉，通过仙人洞上升就到了万正宫广场，参观老子巨像，及道宫，
我们都是走小路，没有做大巴，算上参观新四军纪念馆，全程使用5小时，登顶及下山2个多小时，再逛喜乐泉，老子像2小时，路程不远，老人小孩儿都没问题，
如果走公路，时间会更快！公路比较好走，距离登顶2.4公里
下山景区外面有家“划得来”吃的饭，红烧鱼，红烧肥肠+炒空心菜100块，分量很足，味道不错，价格很公道了",https://gs.ctrip.com/html5/you/comment/detail/1935/11/164552122.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,320****922,5分,2020-09-28
山不在高有仙则灵，就是说的茅山，道教文化的诞生之地，东方盐湖城，适合一家人游玩，感受道教文化，体验田园仙居的生活，住民宿，食农家菜，游玩山水之间，美哉,https://gs.ctrip.com/html5/you/comment/detail/1935/11/165205757.html,https://dimg04.c-ctrip.com/images/t1/headphoto/739/359/460/4aea6068bbc741c780475745772f3242_C_180_180.jpg,206****216,5分,2020-12-01
值得一去，体力好的可以逛一天，天气好的时候站在高处可以看到很多风光。建筑也都很有特色，新旧建筑各有特色。周边物价也不贵。,https://gs.ctrip.com/html5/you/comment/detail/1935/11/165414432.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,sunny_xuexue,5分,2020-12-29
一票，景点全通，也包含所有景点间的交通。游览车都有个个景点解说服务，这点不错。暑假出行，人流量不大，所以景点不算拥挤。山顶风景不错，空气清新，凉风习习。出不多大半天时间就可以全部景点逛完。茅山还是革命根据地，适合带娃红色教育。适合全家散心出游，强烈推荐。,https://gs.ctrip.com/html5/you/comment/detail/1935/11/164652474.html,https://dimg04.c-ctrip.com/images/Z80t0h0000008wwfc6E09_C_180_180.jpg,清风之影0813,4分,2020-10-05
总体超赞，有趣好玩，,https://gs.ctrip.com/html5/you/comment/detail/1935/11/166003523.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g3/M04/D0/0E/CggYGlXXGC6AODmnAAAkG_o_s0I061_C_180_180.jpg,D11****302,5分,2021-03-20
