标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
这是一处让人心情沉重的景。勿忘国耻！奋发图强！,https://gs.ctrip.com/html5/you/comment/detail/10936/11/165794214.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,燃烧脂肪君,5分,2021-02-20
整体还是很压抑，很震撼的，勿忘国耻。三年前来过，这次带爸妈来感受一下。现在需要提前预约，不过特殊证件可以随从带2个人。所有的工作人员和志愿者都很热情，而且说法一致。只有这个女的，摆着一张臭脸说只能进去一个人，整体的言谈举止配不上这个庄严且神圣的地方。,https://gs.ctrip.com/html5/you/comment/detail/10936/11/164945398.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,_WeCh****03449,4分,2020-10-31
勿忘国耻，振兴中华，爱国主义教育基地，大家都不能忘怀的过去，气氛很凝重的地方，参观时不可大声喧哗，有序参观，要珍惜现在的和平来之不易！,https://gs.ctrip.com/html5/you/comment/detail/10936/11/164822068.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,晚风轻拂面,5分,2020-10-18
非常非常非常具有教育嗯，但是去一趟过后会发现心情比较沉重，嗯，要更热爱生活。,https://gs.ctrip.com/html5/you/comment/detail/10936/11/165793907.html,https://dimg04.c-ctrip.com/images/Z804180000013uqy3DB02_C_180_180.jpg,M45****6094,5分,2021-02-20
铭记历史，缅怀先烈，不忘初心，艰苦奋斗。逼真与实景交映，教育我们，落后要挨打，吾辈降更加努力，不辜负革命先驱的流血牺牲带给我们的幸福生活，更好的守护这片土地上勤劳勇敢的同胞！,https://gs.ctrip.com/html5/you/comment/detail/10936/11/165606272.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,M37****8498,5分,2021-01-25
想要参观这里真的是太难了，因为每天放开的名额都非常少，需要提前预约好，否则根本进不去。展览的内容没有想象的丰富，介绍外国友人的内容倒是挺多。,https://gs.ctrip.com/html5/you/comment/detail/10936/11/164966611.html,https://dimg04.c-ctrip.com/images/Z8080h0000008r9w4E2A0_C_180_180.jpg,宇喜多信家1,5分,2020-11-02
铭记历史，珍爱和平，坚持三个必胜,https://gs.ctrip.com/html5/you/comment/detail/10936/11/164615909.html,https://dimg04.c-ctrip.com/images/Z80i0v000000jwd4aBAEC_C_180_180.jpg,欧式小辛,5分,2020-10-03
这是一段中华民族苦难血泪史，耻辱史。日寇铁蹄之下，中华门，中山门等南京墙门被炸开，强盗们一涌而入。到处是血，火，哭，尸，伴着这些的还有侵略者的狞笑，狂笑。中国士兵，平民，僧侣，成了他们试验刀锋的肉躯，成了他们发泄兽欲的工具。百人斩下的魂灵，如今安宁了吗？遗憾的是，如今世界还不太平，残害平民，虐杀俘虏，抢掠财富这些罪行还发生在各地，而且何等相似，无不打着睦邻，共荣，民主的名义。,https://gs.ctrip.com/html5/you/comment/detail/10936/11/163836180.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,nyx****uer,5分,2020-07-15
"这里是国内做的最好的纪念馆，没有之一。
进入馆内，仿佛自己就置身于那个战火纷飞，人间炼狱的年代。
馆里面有一座哭墙，墙是无声的，但这里面记录的苦难确是无法形容的。今天看到新闻，又有一位大屠杀幸存者过世。
南京经历了苦难，而我们，永远不要把这苦难遗忘。没有理由让南京选择原谅，现在没有，以后也不会有。",https://gs.ctrip.com/html5/you/comment/detail/10936/11/163234050.html,https://dimg04.c-ctrip.com/images/t1/headphoto/463/352/613/9d877effaa3d4bd0b951bb4c60209b3b_C_180_180.jpg,克莱奥cleo,5分,2020-04-13
历史不会忘记这段历史的罪行，弱小就要被欺凌，所以有必要去了解一下，时刻提醒自己要努力做好自己，让自己的国家更加强大，虽然悲伤和愤怒笼罩着整个展馆,https://gs.ctrip.com/html5/you/comment/detail/10936/11/165013027.html,https://dimg04.c-ctrip.com/images/Z80h14000000wsheh9852_C_180_180.jpg,真诚7577,4分,2020-11-08
