标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
需提前预约，人不多的话也可以现场预约。浏览顺序博物院都给你编号了，跟着浏览顺序来了解历史，非常赞。最后浏览的是民国馆，很惊艳，仿佛穿越了时空。安排半天甚至一天的时间都是值得的。,https://gs.ctrip.com/html5/you/comment/detail/19519/11/165949233.html,https://dimg04.c-ctrip.com/images/0Z831120008h84vr92596_C_180_180.jpg,E11****77,5分,2021-03-13
早就想去南京博物院，中国三大博物院之一。提前公众号上预约，元旦人很多，有历史馆，数字馆、民国、非遗馆等多个展馆，看了三个多小时还是不够。就结合馆内一些视频解释，了解更多历史文化知识。还有书画展厅，要仔细观看徜徉在历史的长河中，感受文化的熏陶。,https://gs.ctrip.com/html5/you/comment/detail/19519/11/165442700.html,https://dimg04.c-ctrip.com/images/Z8020u000000jaixs73AF_C_180_180.jpg,香蕉果果,5分,2021-01-01
南京博物院坐落在南京市紫金山南麓 中山门内北侧 是我国第一座由国家投资兴建的大型综合类博物馆。国家一级博物馆 现形成由大殿 历史馆 艺术馆 特展馆 数字馆 民国馆 非遗馆组成的一院六馆格局,https://gs.ctrip.com/html5/you/comment/detail/19519/11/165621317.html,https://dimg04.c-ctrip.com/images/t1/headphoto/982/089/752/f8c7b21182c94524ac4df328fdc7b3dc_C_180_180.jpg,ncyygo,5分,2021-01-27
博物馆的导览器很不错，请务必租借一台。博物馆很大，根本不是一天能够看完的。而且一定要提前预约，否则肯定没有名额了。里面卖的水很贵，提前带好。,https://gs.ctrip.com/html5/you/comment/detail/19519/11/165907217.html,https://dimg04.c-ctrip.com/images/Z8080h0000008r9w4E2A0_C_180_180.jpg,宇喜多信家1,5分,2021-03-07
"南京博物院是中国内地第二大博物馆、中国三大博物馆之一，中国最早创建的博物馆，是大型综合性的国家级博物馆、全国综合性历史艺术博物馆、国家重点博物馆。南京博物院坐落于江苏省南京市玄武区紫金山南麓、中山门内北侧，占地13万余平方米。
民国，一个离我们并不遥远的时代，它用它独有的历史标志在中华几千年的历史中占据了重要的一席。印象中的民国是军阀割据，革命起义，护国战争，所有乱世的因素在民国时代都能找到，但是在南京博物院里的民国馆，好像民国就是那个时代的另一个世界，那里好像没有战乱的影子，而是琴棋书画和小小酒馆。南京博物院的民国馆并不是像一般展厅一样的大厅，而是街道一样的展区，或者说它就是一条人造街道，所有的东西都是民国元素，参观的人在里面也成了民国时期的人，置身其中满满的历史感让参观者仿佛穿越去了民国。",https://gs.ctrip.com/html5/you/comment/detail/19519/11/165658617.html,https://dimg04.c-ctrip.com/images/t1/headphoto/295/828/780/6e6c2151ed65497c850945d5d2b702ae_C_180_180.jpg,红色利物浦1985,5分,2021-02-02
人挺多，展品非常棒。建筑古朴大气。无障碍电梯和卫生间都设计非常合理。门口上下车叫车都方便。周围也有可以搭配一起游玩的其他景点。,https://gs.ctrip.com/html5/you/comment/detail/19519/11/165865213.html,https://dimg04.c-ctrip.com/images/Z80n1800000150aet63E0_C_180_180.jpg,幸福的小仙女,5分,2021-03-01
南京博物院占地13万余平方米，为“一院六馆”格局，即历史馆、特展馆、数字馆、艺术馆、非遗馆、民国馆。,https://gs.ctrip.com/html5/you/comment/detail/19519/11/165841825.html,https://dimg04.c-ctrip.com/images/Z80m1a0000019wu9q0EC6_C_180_180.jpg,首席监理,4分,2021-02-26
中国三大博物院之一，藏品丰富，各年代藏品均有展出。还有数字展馆，民国馆紧跟时代潮流，富有趣味性，互动性，也是网红打卡地。,https://gs.ctrip.com/html5/you/comment/detail/19519/11/165443981.html,https://dimg04.c-ctrip.com/images/Z80p15000000yavvp84E1_C_180_180.jpg,fj****12,5分,2021-01-01
"景点名：南京博物院
地址：南京市玄武区中山东路321号
交通：地铁1号线到明故宫站1号口出
开放时间：
上午9：00—晚上17：00，16：00停止入场，周一闭馆
门票：免费
参观方式：
微信公众号关注“南京博物院”，分时段实名预约

南京博物院成立于1933年，是中国最早创办的博物馆，前身为国立中央博物院筹备处，是中国8个中央与地方共建的国家级博物馆之一，也是国内著名的四大博物院之一。

南京博物院由“一院六馆”的布局组成。包括了历史馆、特展馆、民国馆、数字馆、艺术馆、非遗馆六大主题展馆。其中，历史馆、特展馆、民国馆都是精华所在，来南京博物院必去。

其中，历史观展示了江苏古代文明发展史镇馆之宝有青铜卧鹿、广陵玉玺、错银饰青铜牛灯、青瓷神兽尊、唐三彩双鱼瓶、大报恩寺塔琉璃拱门等；特展馆打造了国内外精品展览和以院藏宫廷文物为主的专题展，包括了镇院之宝藏传佛像、清三代官窑瓷的盛世华彩、清宫陈设、精美钟表都是值得一看的；民国馆通过情景再现，展示了民国时期南京生活面貌；

数字馆以网络参观和现场体验相结合的方式，带领观众全新的体验中华文明的方式。里面有一段屏幕视频会播放展现在南京建都过的帝王事迹，包括了秦始皇、刘邦、孙权、明太祖朱元璋等重要朝代的当权者。

艺术馆则展示了历代雕塑、绘画、书法及4个名人馆；
非遗馆是以动态方式展示非物质文化遗产项目，去时并未开放。",https://gs.ctrip.com/html5/you/comment/detail/19519/11/164721361.html,https://dimg04.c-ctrip.com/images/Z80k10000000p8ldnAE22_C_180_180.jpg,蓝海清风1号,5分,2020-10-11
历史馆从2F走廊可通特展馆，中间有家饮吧，名为止饮轩。秋叶做景，在此饮一杯椰香小南国，甚为风雅！特展馆有购物展区“博雅汇”，败一本《南京博物院导览进阶》，编辑印刷都优秀，有收藏价值。特展馆出口，要走过一段露天地带，才到达艺术馆，这里依然是2F.四个展厅分别为：19傅抱石绘画，20大观厅，21历代绘画，22陈之佛绘画。继续下楼，23历代雕塑，24吴为山雕塑，25历代书法，26博爱馆(干什么的?)，27苏天赐油画，28珍宝馆(为什么没看到?难怪传说中的名画所见甚少)，31民俗艺苑。,https://gs.ctrip.com/html5/you/comment/detail/19519/11/165462177.html,https://dimg04.c-ctrip.com/images/Z80o180000013ulo9C34A_C_180_180.jpg,M44****4115,5分,2021-01-03
