标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
"初秋在南京明孝陵遇见🦌🦌
#假装在奈良系列#
.
🦌南京明孝陵·长生鹿苑
📍明孝陵𝟑号门
🚇𝟐号线苜蓿园𝟑号口
💰明孝陵门票𝟔𝟎/张
🦌喂鹿额外买零食 𝟑𝟎/份
⏰鹿苑开放时间𝟖:𝟑𝟎-𝟏𝟕:𝟎𝟎
———————————
▪️可以投喂梅花鹿🦌吗？
▫️在门口花𝟑𝟎买专业饲料就可以
❌禁止投喂自带食品 胡萝卜🥕饼干🍪都不可以
.
▪️什么时候可以看到🦌
🧭鹿苑开放时间每天𝟖:𝟑𝟎-𝟏𝟕:𝟎𝟎
✔️同批次参观人数控制在𝟏𝟎𝟎人
✨景区每天还在梅花谷区域放养约𝟏𝟎头梅花鹿供游客观赏
🧭梅花谷鹿群放养时间𝟖:𝟑𝟎-𝟏𝟓:𝟑𝟎
🦌温柔性格胆小
🈲️拍照闪光灯 🈲️向梅花鹿投掷异物
.
▪️明孝陵是比较著名的古代帝王陵墓
✔️站在城墙能俯瞰整个明孝陵
▪️附近也有其他景点
✔️比如美龄宫、中山陵等
✔️可以安排一起打卡
-
南京攻略 | 南京旅游 | 南京明孝陵 | 南京打卡
南京景点 | 南京网红景点 | 南京梅花鹿 | 南京鹿苑
南京中山陵 | 南京美龄宫 | 南京旅行攻略",https://gs.ctrip.com/html5/you/comment/detail/1653/11/164774338.html,https://dimg04.c-ctrip.com/images/0Z8681200086n4c9jD7C2_C_180_180.jpg,是995呀,5分,2020-10-13
"在明孝陵，腊梅是成片栽植的，从文武方门起，经孝陵殿、内红门、明楼，直到宝顶，每两座建筑之间的空地都栽上了蜡梅。一枝一朵，暗香依旧，疏密有致。尤其是在红墙掩映下的黄色腊梅，更是亮丽多姿，透着些许幽香。

地址：
南京市玄武区钟山风景名胜区明孝陵景区内

交通：

线路1 地铁2号线明孝陵-苜蓿园站1号出口转旅游观光1号线

线路2 地铁2号线明孝陵苜蓿园站2号出口转315、20路至明孝陵站",https://gs.ctrip.com/html5/you/comment/detail/1653/11/165440501.html,https://dimg04.c-ctrip.com/images/t1/headphoto/295/828/780/6e6c2151ed65497c850945d5d2b702ae_C_180_180.jpg,红色利物浦1985,5分,2021-01-01
明孝陵景区真的很超值，内有梅花山，明陵宫遗址，东吴纪念馆，还有著名的石像路了，现在还有梅花鹿可看。春有春的美，夏有夏的绿，秋有秋的色，冬有冬的魅。特别是现在入春了，梅花山梅花开的正艳，人流如织，就地过年，对住宁外地人免票，很多南京人春节后在山上享受春光和梅景啦！,https://gs.ctrip.com/html5/you/comment/detail/1653/11/165862790.html,https://dimg04.c-ctrip.com/images/Z80f0j0000009y6wk838F_C_180_180.jpg,看溪人,5分,2021-03-01
这个季节去游览，银杏树叶是金黄色，阳光照照下，仿佛来到了金色的童话般的世界。同时，明孝陵是庄严的、古朴的，沉甸旬的历史中透着厚厚一份宁静。,https://gs.ctrip.com/html5/you/comment/detail/1653/11/165948208.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,SHENG_DONG,5分,2021-03-13
"听说梅花山的梅花开了，特地开了3、4小时的车程到梅花山赏梅。正是梅花盛开期，各种梅花暗香浮动，婀娜动人，还有白玉兰绽放，非常好看。
天气好，游人也多，如果门票能再便宜点就好了。
另外，携程上买票还是非常方便，入园只要***就可进入，很便利。景色不错，总体超赞，",https://gs.ctrip.com/html5/you/comment/detail/1653/11/165812213.html,https://dimg04.c-ctrip.com/images/headphoto/040/348/920/a97f1d8640a445f38999d9e4ac7f9c5a_C_180_180.jpg,小石头和欢喜猴,5分,2021-02-22
美人梅确实分外妖娆，各个历史景点，让我们再一次见证了历朝历代的辉煌。曹雪芹像、孙权像，还有那些石像🗿，做的惟妙惟肖，一整天我都游荡在梅花山、明孝陵，花香鸟语！还想再来或多住些日子,https://gs.ctrip.com/html5/you/comment/detail/1653/11/165931180.html,https://dimg04.c-ctrip.com/images/t1/headphoto/258/512/704/6bce7506eecc48f8a4a6d3177e0acf24_C_180_180.jpg,M42****232,5分,2021-03-10
明孝陵2020年的秋天景色到了最佳观赏的时机，大家赶快来打卡吧！我强烈推荐用无人机航拍，景色真的很美，可以用“醉人”来形容这美丽动人的明孝陵，如果要拍照一定要选择好天气，光线对景色的影响很大！另外，3号门附近有个水杉也很漂亮，拍照一样漂亮！,https://gs.ctrip.com/html5/you/comment/detail/1653/11/165012307.html,https://dimg04.c-ctrip.com/images/t1/headphoto/857/872/237/edc9e981b00e436a8dcee595001d62fa_C_180_180.jpg,wengweng1978,5分,2020-11-10
看看梅花山 下点小雨人也很多 中午出来感觉人群达到高峰 现在是南京二十六届国际梅花节 很多摄影爱好者老先生专程前来  带两个宝宝熏熏历史的气息 拜谒明太祖朱元璋 真心建议去早点 人少 空气好,https://gs.ctrip.com/html5/you/comment/detail/1653/11/165849755.html,https://dimg04.c-ctrip.com/images/0Z825120008ezwwkv7123_C_180_180.jpg,老王在边上,5分,2021-02-27
我就是冲着明孝陵里面的梅花鹿去的，感觉很可爱，只要花20，就可以进去跟小鹿互动，不好的是鹿身上有很多牛氓，会叮人吸血，很痛！还有就是里面挺大的，走的人很累。拍照还不错。,https://gs.ctrip.com/html5/you/comment/detail/1653/11/164555778.html,https://dimg04.c-ctrip.com/images/zc0a170000011f8t5F2C8_C_180_180.jpg,643679jdhhdhd,5分,2020-09-28
明孝陵位于江苏省南京市玄武区紫金山南麓独龙阜玩珠峰下 是明太祖与其皇后的合葬陵寝 明孝陵作为中国明清皇陵之首 代表了明初建筑和石刻艺术的最高成就 有明清皇家第一陵的美誉,https://gs.ctrip.com/html5/you/comment/detail/1653/11/165610424.html,https://dimg04.c-ctrip.com/images/t1/headphoto/982/089/752/f8c7b21182c94524ac4df328fdc7b3dc_C_180_180.jpg,ncyygo,5分,2021-01-25
景色不错，有趣好玩，总体超赞，性价比高，建议买联票或年卡，建议秋天来，从三号门进来可以看到梅花鹿和红了的水杉。美龄宫项链值得打卡，音乐台看鸽子也很美。虽然这些都是小景点，但比明孝陵和中山陵逊色。个人觉得时间来不及的话灵谷寺可以先不去，整个景区特别大，各个景点也隔得远，特别累。,https://gs.ctrip.com/html5/you/comment/detail/1653/11/165042416.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,qiqi3745,5分,2020-11-11
可以当做一个小公园来散步。里边有非常多的花花草草，植被很多。但里边也不使帝王的严肃。往里走，里边有神道，有纪念堂，有“红建筑”，站在墙那边拍照打卡，很不错,https://gs.ctrip.com/html5/you/comment/detail/1653/11/165977571.html,https://dimg04.c-ctrip.com/images/0Z851120003eawmwa50CF_C_180_180.jpg,徐徐霞客Rr,5分,2021-03-16
