标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
"瘦西湖位于扬州市城西北，因湖面瘦长，称“瘦西湖”，六朝以来即为风景胜地，清乾隆时期盛极一时，成为扬州雍容华贵象征。
扬州的瘦西湖，以其清秀婉丽的风姿独异诸湖。窈窕曲折的湖道，串以长堤春柳、四桥烟雨、徐园、小金山、吹台、五亭桥、白塔、二十四桥、玲珑花界、熙春台、望春楼、吟月茶楼、湖滨长廊、石壁流淙、静香书屋等两岸景点，俨然一幅天然秀美的国画长卷。",https://gs.ctrip.com/html5/you/comment/detail/1891/11/165802756.html,https://dimg04.c-ctrip.com/images/0Z872120008eho1xqD786_C_180_180.jpg,夏吹夏夜风,5分,2021-02-21
瘦西湖景區說大其實不太大，說小其實也不小，認認真真走完也要兩個半小時（不包括要坐船，停下來各種拍照等等時間）。基本也是能玩大半天到一天的吧。西門對面就是大明寺，可以一起逛，揚州這邊的佛教還是挺出名的。大明寺腳下對面有家素食館，味道挺不錯的，適合吃素的人。瘦西湖景區的門票60元。園區里有電瓶車，20一個人，也有坐船。,https://gs.ctrip.com/html5/you/comment/detail/1891/11/165851013.html,https://dimg04.c-ctrip.com/images/0Z82z120008dmkj178A06_C_180_180.jpg,TaleTell,4分,2021-02-27
“两堤花柳全依水，一路楼台直到山”的瘦西湖，是著名的“湖上园林”，素有“扬州园林之盛，甲于天下”的美誉。瘦西湖以“瘦”为特征，园内水道弯曲狭长，湖面时宽时窄，桥榭相通，两岸林木扶疏，园林建筑古朴多姿。“天下西湖，三十有六”，惟扬州的西湖，以其清秀婉丽的风姿独异诸湖。瘦西湖主要分为14大景点，主要景点有：二十四桥、熙春台、玲珑花界、五亭桥、白塔、徐园、小金山、钓鱼台。,https://gs.ctrip.com/html5/you/comment/detail/1891/11/165494881.html,https://dimg04.c-ctrip.com/images/Z8030z000000mko2x2E95_C_180_180.jpg,晚霞风车,5分,2021-01-07
"瘦西湖是扬州雍容华贵的象征，有人说，不到瘦西湖就等于没来过扬州。所谓瘦西湖其实是扬州城外一条较宽的河道，它的美在于湖面瘦长纤细、蜿蜒曲折，似修长清丽的窈窕淑女。漫步于瘦西湖畔，万般诗情画意尽现其中。　　

整个景区是由湖、桥、亭、花、草、树构成，景色宜人。桥多且各有姿态，以二十四桥最为有名。景点主要集中在中部，徐园、小金山、万花园一带，其中万花园堪称最佳，是扬州赏琼花最好的去处。如果有余兴，不妨坐船，静静地欣赏瘦西湖的美景吧。",https://gs.ctrip.com/html5/you/comment/detail/1891/11/165783666.html,https://dimg04.c-ctrip.com/images/0Z816120008dyrcyz6689_C_180_180.jpg,小熊穷游攻略,5分,2021-02-19
"淮左名都，竹西佳处。中国运河第一城扬州，不仅美在烟花三月，银装素裹的她，依旧风景如画。2020年入冬以来的初雪，让扬州一夜美成了广陵。

扬州城一夜着上雪白冬装，如梦如幻。

雪后广陵，似一位清丽佳人缓缓走来，又如一幅清雅画卷徐徐展开。

雪舞梨花，洋洋洒洒。纯白的雪花犹如一面轻薄的白纱，遮盖住了扬州城每一个角落。

雪，落在树梢，落在屋檐，落在肩头，也落在心上。

珠帘漫卷，雪后最美是扬州。",https://gs.ctrip.com/html5/you/comment/detail/1891/11/165561683.html,https://dimg04.c-ctrip.com/images/0Z872120008eho1xqD786_C_180_180.jpg,夏吹夏夜风,5分,2021-01-17
"瘦西湖的闻名遐迩，离不开扬州这座古老城市的商业发展。清乾隆年间，扬州的盐业兴盛，瘦西湖由于年长日久，湖心淤塞，盐商便出资疏浚，并在东西岸兴建起许多亭台楼阁。
瘦西湖在扬州古城中心位置，坐高铁到扬州站或东站都可以，这里城市不大，打车时间不长。整个城区都是非常不错的，古朴自然，慢悠悠的生活状态。",https://gs.ctrip.com/html5/you/comment/detail/1891/11/165866096.html,https://dimg04.c-ctrip.com/images/0Z83c120008gexooa1A07_C_180_180.jpg,Ryan816,5分,2021-03-01
洛春堂 ～ 瘦西湖风景区内的一个小众景点，在盆景园的南面一些。景色秀丽宜人，人不多，即使是在春节期间，人流如织的情况下，这里依旧显得那么幽静脱俗。最后三图是盆景园的外墙，太阳偏西的时候，阳光打在白墙上，格外漂亮！,https://gs.ctrip.com/html5/you/comment/detail/1891/11/165823795.html,https://dimg04.c-ctrip.com/images/0Z82g120008gy153mE9FC_C_180_180.jpg,走遍天下XZ,5分,2021-02-24
首先要说一句，夏天去江苏是真的需要勇气的，先去了南京，然后是扬州，虽然不像南京那么闷热，但也够受的。瘦西湖景区很大，差不多要一天才能逛完，景色宜人，建筑也很有特色，值得一去,https://gs.ctrip.com/html5/you/comment/detail/1891/11/166004046.html,https://dimg04.c-ctrip.com/images/0Z84g120008g8xocb3221_C_180_180.jpg,M19****008,5分,2021-03-20
"🌟扬州    (淮左名都，竹西佳处)
       位于江苏省中部，江淮平原南部区域
       国家级的历史文化名城之一，世界级的文化遗产之一，又被叫做月亮城

🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉

📸扬州这座城市其实不大~但是交通还是非常方便的，比较适合短途游

🌟One day
      从各地前往扬州 大巴/高铁/自驾都可以，如果周边城市，☞以上海为例，座高铁还是非常方便的，基本3个小时左右就可到达
     火车下来，旁边就是公交车站，可以直到扬州中心景区关东街，住宿的也可以选择在这里，很方便

➕第一站：如果下午到达~可以直接去|个园^就在关东街内，是需要门票的哦，这是一座座清代扬州盐商宅邸私家园林，它以遍植青竹而名，以春夏秋冬四季假山而著名，一个地方可以看到四季之美，还是非常值得一看，
    晚上：直接在关东街里走走看看，这条街非常完美的保留了清代各式各样的城墙建筑，很好看，吃的也非常多~还有很多历史名人的故居在这里，也有偶然出现的一条岔路间，就有名人住在这里哦|朱自清故居^然后有时间可以去|京杭大运河(扬州段)^去坐夜船领略一下~
    最后，奔波了一天，晚上有时间的话可以去泡泡扬州著名的|瘦西湖温泉度假村^非常得舒服，洗去一天的疲劳，最后可以在关东街里随便找一个小酒吧，听听歌🎶喝一杯，★人间不值得★

🍓🍓🍓🍓🍓🍓🍓🍓🍓🍓🍓🍓🍓🍓🍓🍓🍓
     
➕第二天
扬州一直流传着一句话(早上皮包水，晚上水包皮)
✔哪这个皮包水 就是扬州桌面的早茶文化了

👣扬州早茶店很多~个人比较推荐的是|富春茶社^
(其实我就去了这一家[偷笑])，就在关东街附近

➕店里基本都是大圆桌，所以要是一个人的话是要拼桌的哦✔去的时候记得已经坐满了人~老人居多或者都是来玩的游客，都在聊天或者看报纸📰，烟火气还是很重的~
   早茶基本是以套餐为主，一杯魁龙珠茶🍵可以无限加水，还有几个特色的糕点，当然最具有特色的就还是★蟹黄汤包了，基本桌桌必点~先喝汤在吃肉，会给你一个吸管喝汤，，小心烫哦

🌟吃好早茶~可以去|瘦西湖^景区走一走，景区还是很大的，最少需要半天的时间游玩，最后直接就返程喽",https://gs.ctrip.com/html5/you/comment/detail/1891/11/166004469.html,https://dimg04.c-ctrip.com/images/Z80f190000017d3wp3D69_C_180_180.jpg,是小孟呀,4分,2021-03-20
"瘦西湖真的很漂亮，树木花草、小桥流水、假山亭台园子布置的错落有致，整体感觉搭配很美观，尤其这时柳树绿、梅花开显的更美了。
公园很大，有东西南北四个门可以进出。这次自己从南门进入走到北门再返回南门，需三个小时左右。",https://gs.ctrip.com/html5/you/comment/detail/1891/11/165856877.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,拉斯皮纳斯杨文广,5分,2021-02-28
