标题,标题链接,头像,user-detail__name,resource_date
"无锡梅园，是江南著名的赏梅胜地之一，园内植梅5500多株，品种繁多。地理位置绝佳，面朝万顷太湖，背靠龙山九峰，倚山势而植梅，山以梅而秀。亭台楼阁点缀其中，更显环境优雅。
精致的梅园现有三大景区：梅花景区、园林博览园、花溪景区。四大特色：“初春探梅、仲夏观荷、金秋赏桂、隆冬踏雪”。
园内景点众多：梅园刻石、洗心泉、米襄阳拜石、天心台、揖蠡亭、清芬轩、香海、诵豳堂、招鹤亭、小罗浮、念劬塔、豁然洞、开原寺、松鹤园、小金谷、吟风阁等等。赏花赏景兼而得之。",https://gs.ctrip.com/html5/you/comment/detail/1772/11/165862948.html,https://dimg04.c-ctrip.com/images/0Z83w120008asb2w85850_C_180_180.jpg,GY悠然游,2021-03-01
一进梅园，就被梅花的香味吸引到，第一次到梅园，真的是被这漫山遍野的梅花给惊呆了，这还是我第一次看这么多的梅花。无锡梅园的梅花如今正是盛开的旺季，看到许多摄影老法师都来这里拍照，不愧是冬季无锡最热门的景点。,https://gs.ctrip.com/html5/you/comment/detail/1772/11/165787047.html,https://dimg04.c-ctrip.com/images/Z80i0z000000mgmq1975E_C_180_180.jpg,Grace的幻境,2021-02-19
梅园以梅花驰名。梅园的梅花已有七十多年的栽培历史，现有三四十个品种，著名的有洁白素净的玉蝶梅，有花如碧玉萼如翡翠的绿萼梅，有红颜淡妆的宫粉梅，有胭脂滴滴的朱砂梅，有浓艳如墨的墨梅，更有枝干盘曲、矫若游龙的龙游梅等。并有造型幽雅、虬枝倒悬、枯树老干、疏影横斜的梅桩艺术盆景。,https://gs.ctrip.com/html5/you/comment/detail/1772/11/165795645.html,https://dimg04.c-ctrip.com/images/headphoto/689/889/350/e8fc951945ba4ef487de2e0d3933556f_C_180_180.jpg,钟鸣a,2021-02-20
无锡梅园的梅花品种非常丰富，园内展示了梅花国际登录品种280个，其中梅园公园品种52个。每个品种栽植3-5棵，独立成景，点状连贯，非常漂亮，梅园也兼具品种展示和园林造景的艺术特色氛围。,https://gs.ctrip.com/html5/you/comment/detail/1772/11/165778172.html,https://dimg04.c-ctrip.com/images/Z80o090000003o4lj7883_C_180_180.jpg,豆小蔻,2021-02-18
梅花节来到无锡梅园，门口人头攒动，游客如潮。梅园地理位置优越，交通便利。入园后，乘上观光车沿着园方确定的赏梅路线，一边听导游介绍梅园概况，一边观赏盛开的梅花。下了观光车后，我们有选择地观赏梅花，在梅艺苑观赏了古梅与奇石于一体，并与中式园林建筑相结合的古梅奇石圃；在梅文化为主题的梅花景区，观赏了千姿百态五彩斑斓的梅花。,https://gs.ctrip.com/html5/you/comment/detail/1772/11/165791569.html,https://dimg04.c-ctrip.com/images/Z80u0f0000007dc6v5744_C_180_180.jpg,晚安sky浪子,2021-02-20
"冬天渐渐过去，近期着气温回升，
无锡梅园的荣氏古迹区、古梅奇石圃、凝香道、东横山及梅品种国际登录园
万株梅花都次第开放，形成了绝美的观赏胜境。
清晨的梅园轻快闲适
日出，曲径通幽，晨曦送暖客衣轻。
被阳光叫醒，迎着清晨的霞光，
看林深郁郁，嗅花香阵阵，
一派天然风光。",https://gs.ctrip.com/html5/you/comment/detail/1772/11/165786983.html,https://dimg04.c-ctrip.com/images/Z80804000000006sp807B_C_180_180.jpg,嘿-乍暖,2021-02-19
这个春节，无锡梅园的活动可以说是非常丰富，不仅可以打卡美美的网红梅花照，🤗体验丰富多彩的民俗活动，还能享受一场文化之旅，观摩长三角“红梅赞”诗词朗诵大赛和长三角梅花小天使评选。😻中华民族崇尚红梅风骨，颂扬梅花品格，一首首咏梅诗篇流传千古，梅园就会举办长三角“红梅赞”诗词朗诵大赛。🤔,https://gs.ctrip.com/html5/you/comment/detail/1772/11/165784557.html,https://dimg04.c-ctrip.com/images/Z80n0n000000ecvoeCE66_C_180_180.jpg,流馬,2021-02-19
无锡梅园里大大小小的景点有几十个，古梅奇石圃、园林博览园、生态乐园、植物博览园、景区大门、诵豳堂、香海、 三星石、春芬轩、岁寒草堂、碑廊、秋丹阁、读书处、荷兰风车、畹芬堂、怡怡亭、小教堂、梅园石刻等，一天也很难全部走下来，可以选几个重点来走。,https://gs.ctrip.com/html5/you/comment/detail/1772/11/165778572.html,https://dimg04.c-ctrip.com/images/Z80914000000w0txu2FFC_C_180_180.jpg,胡恩泰,2021-02-18
冬天不想一直宅在家里，正好今年也鼓励原地过年，留锡人员还可以免费参观梅园，从来没去过的我果断来看一看。，第一次到梅园，真的是被这漫山遍野的梅花给惊呆了，这还是我第一次看这么多的梅花。无锡梅园的梅花如今正是盛开的旺季，看到许多摄影老法师都来这里拍照，不愧是冬季无锡最热门的景点。,https://gs.ctrip.com/html5/you/comment/detail/1772/11/165676755.html,https://dimg04.c-ctrip.com/images/Z80u0d0000006rkywCF64_C_180_180.jpg,背包客李小波,2021-02-05
【景色】🌸梅园的天心台位于太湖古峰后面，源字古诗“梅花点点皆天心”，用黄石高筑而成，这里的梅花最盛，品种犹繁，是我们赏梅、摄影的最佳处。天心台西轩有八角亭，亭前千株梅树林立，透过梅树林隙，可窥太湖和蠡湖一角，使人触景生情，追溯范蠡与西施泛舟湖上的故事。,https://gs.ctrip.com/html5/you/comment/detail/1772/11/165787093.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g4/M0A/C9/7B/CggYHVXV306ALmEwAAIm-gafz9E492_C_180_180.jpg,影画丹丹,2021-02-19
"💁‍♀️今年留在无锡过年可以免费游园。就趁着闲暇到梅园逛逛。
【景色】
古梅奇石圃的蜡梅竞相绽放，鹅黄鲜亮，远远望去，恰似一树金辉。倩影无声，惊艳了亭台楼阁；芬芳无色，浸透了来往游人。哪怕是隔着口罩，也能闻到淡淡幽香。
🌸蜡梅已经盛放，春天还会远吗？",https://gs.ctrip.com/html5/you/comment/detail/1772/11/165783239.html,https://dimg04.c-ctrip.com/images/0Z85y120008bsskpl56CC_C_180_180.jpg,马玛丽,2021-02-19
正好是碰到了过年时节，景区里洋溢着浓厚的年味，这我这种外乡人倍感亲切。比如有鞭打春牛、儿童版锡剧“红梅赞”等，梅园现场布置了很多过年的元素，比如大大的福字，挂满枝头的灯笼，以及随处可见的可爱的牛牛。,https://gs.ctrip.com/html5/you/comment/detail/1772/11/165779475.html,https://dimg04.c-ctrip.com/images/Z80r0y000000mbvb1EDF1_C_180_180.jpg,行影135,2021-02-18
前几天看公众号说无锡的梅花美爆了，中午坐了南京到无锡的动车兴冲冲就过来了，特别期待，果然还没入园就感觉暗香浮动，心旷神怡，入园后，一路蜿蜒曲折，入目皆是成片成片的梅花，穿行在花海中，竟有种置身甄嬛传倚梅园之感，可惜不像嬛嬛有段艳遇，遗憾遗憾，哈哈！,https://gs.ctrip.com/html5/you/comment/detail/1772/11/165827932.html,https://dimg04.c-ctrip.com/images/0Z810120008fzofrnA10F_C_180_180.jpg,M40****3883,2021-02-24
二月初春，终于盼来了梅园梅花的盛开。一片烂漫的春色中，梅花或娇艳明丽，欲与霞光争辉，或清秀典雅，颇有卓然独立之美。含苞待放的梅，气质同样清雅独立，有另一种娇羞动人的美。繁花锦簇，春暖人间，说的就是这样的美景吧。,https://gs.ctrip.com/html5/you/comment/detail/1772/11/165798054.html,https://dimg04.c-ctrip.com/images/Z80613000000uro5jC31D_C_180_180.jpg,花泽事务所,2021-02-21
"二月中旬的无锡春暖日和，
梅花已成为姹紫嫣红的先声，
于是去了梅园，果然感受到了花红柳绿的春意。

盛开的梅花姿态亮丽，各尽其妙，
有的娇嫩通透，有的明艳夺目，
阵阵清远的幽香令人心旷神怡。

在风光旖旎的春色中，奇石、古树更为苍劲古朴，意境幽深，念劬塔、诵豳堂之类江南古典建筑更显历史底蕴深厚悠长。",https://gs.ctrip.com/html5/you/comment/detail/1772/11/165796026.html,https://dimg04.c-ctrip.com/images/headphoto/524/548/689/97474dd9fdce4ca9bbd5c441149f411a_C_180_180.jpg,紫荆__,2021-02-20
无锡梅园是是江南著名的赏梅胜地之一，园内遍植梅树。走近梅园，处处都可见梅，即使有假山林立、有名人会馆、也有其他植被或花种，但这一切都是为衬托出梅花的独特气质。,https://gs.ctrip.com/html5/you/comment/detail/1772/11/165793915.html,https://dimg04.c-ctrip.com/images/Z80c11000000qztgj5C68_C_180_180.jpg,李瑞祥i,2021-02-20
梅园里古迹丰富，都布置上了喜庆的过年元素，虽然去的时候没有下雪，不过景区也以白色的鹅卵石来表现下雪的样子，非常有创意呢，许多小朋友都在玩这些鹅卵石。,https://gs.ctrip.com/html5/you/comment/detail/1772/11/165782229.html,https://dimg04.c-ctrip.com/images/Z80w14000000we8ps5E9B_C_180_180.jpg,沐子酱,2021-02-19
"冬天不想一直宅在家里，就出门看看梅花。

一进梅园，就被梅花的香味吸引到，第一次到梅园，真的是被这漫山遍野的梅花给惊呆了，这还是我第一次看这么多的梅花。",https://gs.ctrip.com/html5/you/comment/detail/1772/11/165778923.html,https://dimg04.c-ctrip.com/images/headphoto/475/021/923/a5287aa9daaf4bfbbd20aad277aa2e95_C_180_180.jpg,悦微小鱼,2021-02-18
天气渐暖，春风和煦，循着暖风闲游，发现最先将无锡从沉睡中唤醒的，是梅园的繁花似锦，梅花的秀美多姿。明艳的红，温润的白，柔美的粉，或是淡雅清幽，晶莹如玉，或是复瓣繁茂，生机盎然，幽香淡雅清远，沁人心脾。远观则花团锦簇，红情绿意错落有致，近看则娇嫩欲滴。无锡的初春，弥漫在梅园的幽香里。,https://gs.ctrip.com/html5/you/comment/detail/1772/11/165795886.html,https://dimg04.c-ctrip.com/images/Z80c0k000000bxzzxF78C_C_180_180.jpg,坐看闲云流水,2021-02-20
梅园虽然是一座私园，却开创了私园对公众开放的先河，梅花向来是中国古代文人最爱歌颂的花朵，以植物造园为主，以梅花的诗词典故加深园林的文化底蕴。一座石头上映着疏影横斜，既是描写梅花形态，又体现了梅花的超凡脱俗。,https://gs.ctrip.com/html5/you/comment/detail/1772/11/165788810.html,https://dimg04.c-ctrip.com/images/0Z85x120008hamg778C8F_C_180_180.jpg,小飞侠Finn,2021-02-19
