标题,标题链接,头像,user-detail__name,resource_date
"是一次不错的旅游体验呢 
       进去需要烧香 可以在外面购买 里面会有点贵  里面可以选择观光车或者步行 个人觉得步行足够了 自己走或者和朋友爱人一起走也更有感觉一点 但如果是想看到佛山全貌的话可以选择观光车 因为徒步走没有办法看到每一个景点 看个人选择
        相比于大佛 梵宫在我意料之外的吸人眼球 内饰很豪华 很壮观 里面会有表演 但是我去晚了错过了 大家可以提前看好表演时间  然后就是九龙灌浴的表演 这个不能错过 和摸佛脚一样经典 幸运的话还能看到彩虹🌈呢 我就是那个幸运儿嘿嘿",https://gs.ctrip.com/html5/you/comment/detail/1770/11/165811207.html,https://dimg04.c-ctrip.com/images/0Z83n120008as7fttB226_C_180_180.jpg,M34****7830,2021-02-22
选择这家酒店的住后感非常捧，对于每年都到灵山大佛祈福的我们来说，周边酒店太熟悉了，客观评价这个酒店的硬件设施非常完善，装修用的材料也很高档而不是像很多披着五星级酒店的外衣，装修却以烂充次。再说说软件服务，特别感谢杨杰美女，可谓全程管家级贴心服务，所有小细节都一应照料到位。酒店的免费温泉也是一大亮点。总之非常超值走心的感受，堪称完美。性价比高，总体超赞，景色不错，有趣好玩，,https://gs.ctrip.com/html5/you/comment/detail/1770/11/165886390.html,https://dimg04.c-ctrip.com/images/t1/headphoto/882/320/089/158cae5ddb6143c0b6ae18523614cf08_C_180_180.jpg,M25****8619,2021-03-04
高铁下来88路直达就是距离市区有那么一丢丢远，身份证没带的话可以去售票处人工取票，吉祥颂现在要提前预约，预约的那个小程序就是个坑，反正很久以前就看过了也无所谓吧，抱佛脚的电梯排队也是很可怕，周中去估计人会少一些,https://gs.ctrip.com/html5/you/comment/detail/1770/11/165961923.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g5/M01/8F/BF/CggYsFa_wReAIm7mAAAjL7fj2kI739_C_180_180.jpg,周梓瑞,2021-03-14
观光车非常必要，是景区内的交通工具，否则走到天荒地老。提前做好功课了解不同场馆的演出时间也很必要，方便规划观看路线，否则很浪费时间，具体时间在灵山胜境的官网上可以找到。梵宫的演出在景区大入口有发演出券，领完即止，只能看时间最近的那一场，否则无效。拍的照几乎没有人，是因为住在拈花湾，早上坐头班车到灵山景区。景色不错，,https://gs.ctrip.com/html5/you/comment/detail/1770/11/165881573.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,Clemencia,2021-03-04
多次来灵山大佛了，但每一次地心境都是不同的！随着年龄的增长，每次地心得体会也有所见长！无论是对事，还是对人，越来越看淡，越来越放宽心，不再纠结，犹豫不决！“心中有佛，佛常在嫣！心存善念，必有善行，善念善行，天必佑之！”图8是寺庙里的大师，用我的名字提笔作的诗，绝 👍🏿 图9是在寺庙里请的小叶紫檀，超级喜欢，愿菩萨保佑，平平安安，顺顺利利 🙏🏻🙏🏻🙏🏻,https://gs.ctrip.com/html5/you/comment/detail/1770/11/165860891.html,https://dimg04.c-ctrip.com/images/Z8040c0000006omvlDAFA_C_180_180.jpg,T丶t,2021-03-01
灵山大佛，也算灵山的一个地标性景点了，我也是故地重游了，这次跟几个朋友来玩的，设施体验感明显比以前好很多！推荐梵宫一定要进去看看，真的很震撼，感觉很奢华又大气，外面建筑也是比较有特色，适合拍照打卡。五印坛城里面是祈福祝愿的，供奉之类的，建筑外观也是比较有特色的。景区总体很大，步行还是会比较累的，最好买个景区交通。,https://gs.ctrip.com/html5/you/comment/detail/1770/11/165829531.html,https://dimg04.c-ctrip.com/images/Z80c1c000001e61qj6765_C_180_180.jpg,倾依落倾,2021-02-24
"灵山大佛，佛光普照，风景秀丽，人杰地灵，美食丰富，尝过不忘，春夏秋冬，四季皆宜，春暖花开，秋色烂漫，夏日炎炎，冬天萧萧，湖光山色，美不胜收！
灵山大佛非常灵。我每年都会去1-2次。这次是还愿去的。",https://gs.ctrip.com/html5/you/comment/detail/1770/11/165863920.html,https://dimg04.c-ctrip.com/images/Z80k1g000001h3cav131D_C_180_180.jpg,布丁303,2021-03-01
"不以物喜，不以己悲

湖光山色，已足揽胜，已足以怡然忘归

这是灵山才有的，出尘、静气、舒徐的气韵

站在这里，刹那间，时间的流转仿似缓慢下来

这大概便是生活中最好的状态了

无数人在悟禅的路上

寻到了心的归宁",https://gs.ctrip.com/html5/you/comment/detail/1770/11/165853456.html,https://dimg04.c-ctrip.com/images/0Z816120008dyrcyz6689_C_180_180.jpg,小熊穷游攻略,2021-02-28
灵山大佛，是国家著名的全国5A景区，坐落于无锡马山秦履峰南侧，所在位置系唐玄奘命名的小灵山，故名灵山大佛。灵山大佛是无锡的标志之一，对社会文化和经济发展具有重大意义。也是世界最大的露天青铜释迦牟尼立像。灵山大佛的佛体和莲花座全部由锡青铜板块拼装焊接，总用铜量达七百馀吨。灵山大佛反映了华东这一福泽宝地经济发展、文化繁荣、社会安定祥和，也是中国宗教信仰自由政策的重要体现，并象征和平与生命如青铜一样，亘古长青。,https://gs.ctrip.com/html5/you/comment/detail/1770/11/165003166.html,https://dimg04.c-ctrip.com/images/Z80413000000ttay762F0_C_180_180.jpg,恰似您的温柔,2020-11-07
新年来灵山[合十]福气一整年[玫瑰][玫瑰][玫瑰]吉祥平安，大佛右手指天寓意为众坐去除痛苦.灵山大佛一花一世界。一叶一如来🌹🌹🌹,https://gs.ctrip.com/html5/you/comment/detail/1770/11/165814602.html,https://dimg04.c-ctrip.com/images/0Z85j120008ftgbm5048C_C_180_180.jpg,诺尔雪平李世民,2021-02-23
