标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
"苏州同里湿地公园位于同里古镇东北部的，东以同里与周庄界河为界，西以澄湖西岸线为界，南以白蚬湖辖线为界，北以澄湖辖线为界，是苏州东部水系汇集入江的关键地带。
苏州同里湿地公园规划总面积约993.98公顷，其中水域面积925.48公顷，湿地率达93.11%。湿地公园以生态环境建设为中心，以湿地修复、生态治理、植被恢复、湿地示范区建设为重点。
苏州同里湿地公园内湿地资源丰富，北有澄湖、南有白蚬湖、西有季家荡，内部水系发达、河道纵横，湿地植被和野生动物资源丰富，是苏州及周边地区重要的鸟类繁殖、栖息地。",https://gs.ctrip.com/html5/you/comment/detail/115503/11/165738248.html,https://dimg04.c-ctrip.com/images/0Z872120008eho1xqD786_C_180_180.jpg,夏吹夏夜风,5分,2021-02-14
富庶吴地，始建于宋代的富土古镇后来改名叫同里古镇，“同里”其实是“富土”两字的变形，内有众多的花园、宅第、名人故居，是江南六大古镇之一，是中国影视摄制基地。我喜欢这里的砖雕门楼，喜欢这里的香樟树，喜欢这里的鸡爪槭，喜欢这里的亭、台、楼、阁、廊、坊、桥、榭、厅、堂、房、轩。,https://gs.ctrip.com/html5/you/comment/detail/115503/11/165727844.html,https://dimg04.c-ctrip.com/images/t1/headphoto/672/839/406/da5d539779ab40d89c7f9c2690bf121d_C_180_180.jpg,云鹤熙熙,5分,2021-02-13
同里镇，江南六大古镇之一，始建于宋代，截至2015年已有1000多年历史，是中国水乡文化古镇。同里镇位于苏州市吴江区，距苏州市市区18公里，距上海80公里 。同里面积33公顷，为五个湖泊环抱，由49座桥连接，网状河流将镇区分割成七个岛。古镇镇内家家临水，户户通舟；宋元明清桥保存完好。1982年成为江苏省最早也是唯一将全镇作为文物保护单位的古镇。1995年被列为江苏省首批历史文化名镇。1998年水乡古镇和退思园被列入世界文化遗产预备清单。,https://gs.ctrip.com/html5/you/comment/detail/115503/11/165719126.html,https://dimg04.c-ctrip.com/images/Z80m1a0000019wu9q0EC6_C_180_180.jpg,首席监理,4分,2021-02-12
"同里旧称“富土”，唐初改为“铜里”，宋时将旧名拆字为“同里”。始建于宋代，已有1000多年历史，是中国水乡文化古镇。
景区内依然保留有民居，店铺、商铺密集，人气很高，名人古宅也很多。
退思园值得慢慢细品。",https://gs.ctrip.com/html5/you/comment/detail/115503/11/165318608.html,https://dimg04.c-ctrip.com/images/0Z83m1200085c95heBAAB_C_180_180.jpg,悠悠的风103,5分,2020-12-16
【同里古镇】江南古镇中唯一的世界文化遗产，园林精华，不仅有大大小小的美丽园林，即使在古镇随便走走也是处处有惊喜。是一个让人一去再去的地方，就连余秋雨先生也对它好评有加。,https://gs.ctrip.com/html5/you/comment/detail/115503/11/165303389.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,Zy小飞侠,5分,2020-12-14
春暖花开，同里古镇的退思园和珍珠塔景园内 春意黯然，让人流连忘返～,https://gs.ctrip.com/html5/you/comment/detail/115503/11/165900018.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g4/M0B/87/0C/CggYHlXOBLqAMf15AADcRCm1At4073_C_180_180.jpg,顺齐自然之,5分,2021-03-06
同里是苏州城外的一个古镇，宋代建镇。镇区内有始建于明清两代的花园和寺观， 同里是以它的运河系统而闻名，“川”字形的15条小河把古镇区分隔成七个小岛，而49座古桥又将其连成一体，以“小桥、流水、人家”著称。,https://gs.ctrip.com/html5/you/comment/detail/115503/11/165006717.html,https://dimg04.c-ctrip.com/images/Z80nsa115131u2ywg85E3_C_180_180.jpg,sculptor,4分,2020-12-02
"暴走的的一天[衰]
交通：
🚗自驾去的，当天成人100元/人
⚠️去之前提前下载好苏城码、申领绿码，检票把控还是很严格的

推荐理由：
姑苏枕河人家，江南水乡韵味十足，各大达官贵人居住于此，买了票之后里面的小景点都可以进去，找了一个导游，阿婆是当地旅游公司的退休导游，一路上解说的很好，每个景点解说到位，很负责，价格也很便宜，50元一程，行程解说结束后付款

tips：
印象最深的还是放大50倍的珍珠塔，楼上小姐的闺房，裹小脚的三寸金莲，大门不出二门不迈，大家闺秀的典范。还有廊棚，感觉像是走在人家家的屋檐下，古镇的老房子虽然让人感觉湿气有点重，毕竟梅雨天气，但是不得不说真的很凉块

像我这样深深爱着古建筑风景的简直迈不动腿了，就想住下了。可能是疫情的原因，人比较少，但是商业气息有点重，不过大部分景区基本都一个样，嘿嘿，很喜欢吖，下次还会再来，慢慢逛",https://gs.ctrip.com/html5/you/comment/detail/115503/11/163907044.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,_瑶瑶吖,5分,2020-07-24
"同里古镇名气没那么大，但是我觉得性价比还是很高的。如果你想看美丽的江南水乡，来这里就可以了。街道，水道，都比周庄宽敞，面积也大，景点也很美，有过去有钱人住的大宅子，里面亭台水榭，游廊画舫的，非常美。光从风景上来说，值得首选哦。
同里古镇就在苏州的边上的吴江区，从市区坐车也就一个多小时就到了。应该说，不管是西塘、南浔、乌镇还是同里，江南水乡基本都是属于同一个气质的，那就是小桥流水婉约清秀。我曾经在同里住过，古镇不算大，青石板路，明清古建筑，几十座古桥连起纵横交错的水系河道。这样的水乡小镇，确实很适合来小住休闲一段时间。
打开腾讯新闻，看更多高清图片
到了水乡古镇，一定要坐船玩。同里古镇上的手摇船只要90元一趟，最多坐六个人，如果同行的人不够，可以和其他游客拼船。虽然手摇船的线路较短，但价格便宜，而且坐船在河道中滑行，穿过一座座古桥，那样看到的古镇，会是不一样的视角，感觉会很舒服。
同里古镇必去的景点-退思园，它是一座晚清私家园林，也是世界文化遗产。园林不大，却小巧、精致，在布局上也与其他的苏州园林有所不一样，其他园林都是纵向结构，这里却是横向建造，园林内的后花园是其精华所在。退思园门票包含在同里古镇门票内，网上购买门票更优惠哦。
同里古镇的明清建筑风格和苏州园林建筑是一样的，著名的古建有退思园、耕乐堂、崇本堂、嘉荫堂、环翠山庄等，著名的古桥，从宋代开始，元明清的古石桥有太平桥、吉利桥、长庆桥、富观桥、普安桥、泰来桥等。住在这里一个星期，足够你细细体会，慢慢的感受古镇的美好了。
建议游玩时间：2天",https://gs.ctrip.com/html5/you/comment/detail/115503/11/163356045.html,https://dimg04.c-ctrip.com/images/0Z872120008eho1xqD786_C_180_180.jpg,夏吹夏夜风,5分,2020-05-02
同里古镇名不虚传，江南小桥流水，风景很好，既使夜晚也人流如织，夜景不错，南园茶社边喝茶边听评弹，感受下老苏州的生活。,https://gs.ctrip.com/html5/you/comment/detail/115503/11/165785310.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,利古里亚大区康里脱脱,5分,2021-02-19
