标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
天平山风景名胜区位于苏州古城西南，太湖之滨，是太湖国家风景名胜区的核心景区，有“吴中第一山”、“江南胜境”之美誉。天平山海拔 201 米，山势峭峻奇险，古称白云山，又名赐山，系北宋名臣范仲淹先祖归葬之地。景区占地近百公顷，向以“红枫、奇石、清泉”三绝著称，有万笏朝天、高义叠翠、万丈红霞、玉泉轻吟等十八胜景。,https://gs.ctrip.com/html5/you/comment/detail/3775/11/165310047.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,vivienvivien,5分,2020-12-15
从上海开车过去需要一个多小时，特意去看枫叶🍁的，景色真是惊艳到，特别是一进园区门那里景区最美了，火红的枫叶倒映在水中让人陶醉，一切都是值得的。景色不错，性价比高，,https://gs.ctrip.com/html5/you/comment/detail/3775/11/165758969.html,https://dimg04.c-ctrip.com/images/t1/headphoto/757/757/889/3b86691007a54fe684f07e198432d09b_C_180_180.jpg,_WeCh****407928,5分,2021-02-16
"天平山风景名胜区位于苏州古城西南，太湖之滨，是太湖国家风景名胜区的核心景区，有“吴中第一山”、“江南胜境”之美誉，是中国四大赏枫胜地之一。
天平山海拔 201 米，山势峭峻奇险，古称白云山，又名赐山，系北宋名臣范仲淹先祖归葬之地。景区占地近百公顷，向以“红枫、奇石、清泉”三绝著称，有万笏朝天、高义叠翠、万丈红霞、玉泉轻吟等十八胜景。",https://gs.ctrip.com/html5/you/comment/detail/3775/11/165304927.html,https://dimg04.c-ctrip.com/images/0Z872120008eho1xqD786_C_180_180.jpg,夏吹夏夜风,5分,2020-12-14
中国的四大赏枫胜地，江苏省占了二处，苏州天平山为其中一处，由高义园牌坊入园，经接驾亭，可见山脚下一片园林宅院，池边的五色枫林，枝茂层深，色彩斑斓，走宛转石桥，进入天平山庄，由高义园处登山，山虽不高，山路崎岖，沿途有嶙峋奇石，登顶后自另一侧下山，又前往范仲淹纪念馆，了解一下北宋名臣的生平事迹。苏州天平山景区，深秋之季，选在晴日前往，赏枫叶美景，不虚此行。,https://gs.ctrip.com/html5/you/comment/detail/3775/11/165055339.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g6/M01/29/F2/CggYslcSCuOAcrF4AAAld57hQD0479_C_180_180.jpg,xiyoulinfeng,5分,2020-11-13
"秋高气爽，天平山的枫叶🍁红似火，现在去天平山赏枫正当时，这段时期天气晴朗，体感舒服，还是枫叶节呢，因此吸引了很多游客特意来赏枫。
不是说没有自驾车就不能周边自由行了，如今乘公共交通工具，同样可以玩得很尽兴。
这次去苏州天平山就是乘公共交通工具成行的：出发前买一张交通卡，这张卡平时与其他交通卡用法无异，但出差或游玩全国八十多座城市，乘公共交通也都能用这张卡刷，方便极啦！
从上海出发去天平山赏枫可以这样走：乘火车到苏州火车站，转乘地铁2号线到“胥江路站”，3号出口，转乘公交4路到终点站，就到啦！

【景色】没得话说，太美了。照片拍到手机没电为止。

【趣味】不仅赏枫，还能爬山走一线天

【性价比】门票30元，活动价还能优惠些",https://gs.ctrip.com/html5/you/comment/detail/3775/11/165013432.html,https://dimg04.c-ctrip.com/images/Z80j170000010xgt4415B_C_180_180.jpg,快乐的紫馨,5分,2020-11-08
反转片下的天平山，后来几乎每一年都会去天平山的，每一年的枫叶季，有的时候去的时候枫叶没红，那一年可能还会去几次，上天平山的路很多，私以为，有一条路没有台阶最有趣，有爬山的感觉同时也不会那么刺激，可能在过程中发现一些独有的景色，相当有趣的,https://gs.ctrip.com/html5/you/comment/detail/3775/11/165361221.html,https://dimg04.c-ctrip.com/images/t1/headphoto/699/910/854/683dab66bb374136af9930ea204dfc7e_C_180_180.jpg,浅乡月,5分,2020-12-22
"11月底去的，车很多停止路边走进去的。枫叶🍁开始红了，基本都集中在湖边的一圈，有倒影的地方更美。
拍完枫叶后爬山是体力活，一路上怪石嶙峋手脚并用，还是不是堵住，花了近1个小时才登顶，幸好下山另外有条路20分钟就下来了。",https://gs.ctrip.com/html5/you/comment/detail/3775/11/165301343.html,https://dimg04.c-ctrip.com/images/headphoto/142/943/716/c952d71e2d98475faa8af26c4ba40deb_C_180_180.jpg,开车的andy,5分,2020-12-13
天平山位于苏州灵岩山北，海拔221米。因山顶常有白云缭绕，故称白云山。又因山顶平整而名天平山。还称范坟山，因范仲淹先祖祠墓在此而得名。 自唐以来，天平山就是游览胜地，风景以怪石、清泉、红枫取胜，向有“天平三绝”之誉。山上有大量的石柱奇观，其中最著名的岩石除“忽笏朝天”，还有“龙门一线天”、“五丈石”、大小“石屋”、“飞来峰”、“卓笔锋”、“照湖镜”等。天平山泉水质地绝佳，山前有大片枫林，为明代范允临（范仲淹后裔）从福建带回种植于此，已有400多年历史。景色不错，每当秋末冬初，层林尽染，有“红霞万丈”之称，“天平观枫”也由此名传四方。,https://gs.ctrip.com/html5/you/comment/detail/3775/11/164766532.html,https://dimg04.c-ctrip.com/images/Z80n12000000sjk3aDC8C_C_180_180.jpg,仙人掌,5分,2020-10-13
性价比高，景色不错，去的时候不是旺季人很少停车方便。在山顶偶遇一只大橘，吃了我的猫粮就能被召唤了，大橘身姿矫健，在石壁间上下自如，也是不一样的风景。,https://gs.ctrip.com/html5/you/comment/detail/3775/11/165909122.html,https://dimg04.c-ctrip.com/images/t1/headphoto/293/406/308/22631089f44a497495c005fce85f6a6f_C_180_180.jpg,清君,5分,2021-03-07
吴中第一山，中国四大赏枫地之一，范仲淹家祠堂，非常值得一去，可爬山，可玩儿水，可赏枫。范仲淹的“先天下之忧而忧，后天下之乐而乐”牌匾非常漂亮。,https://gs.ctrip.com/html5/you/comment/detail/3775/11/165875828.html,https://dimg04.c-ctrip.com/images/Z80t1d000001e8ahb254F_C_180_180.jpg,七仙女儿,5分,2021-03-03
