标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
"苏州山塘街被誉为“姑苏第一名街”，自古就是姑苏城中的繁华街市，时光闪回明清时，曹雪芹笔下的“最是红尘中一二等富贵风流之地”。

据史料记载：它因山塘河而得名，是公元825年中国唐代诗人白居易任苏州刺史时募工凿河堆堤而成，是一条有1100多年历史的古街。山塘街位于苏州古城西北，东南从阊门起，西北至虎丘止，全长约3600米，约合七华里，故有“七里山塘”之称。甚至当年清朝乾隆皇帝壬午年间游江南时，于七里山塘书写“山塘寻胜”，现今碑刻在山塘桥旁御碑亭内保护着。乾隆回京后更是在颐和园后湖仿照七里山塘的模样修建了苏州街。

走在山塘街上，街河并行，河街相邻，小桥流水，枕河人家，建筑精致典雅、疏朗有致；店肆林立、会馆集聚，再现了山塘街的盛世繁华。许多人脑海中顿时都会浮现出一幅桨声灯影夜姑苏的画面，在这里，美食美景，皆让人流连。

其实要逛山塘街就得晚上来，我更喜欢夜色之下的山塘，犹如一副水墨画。当夜幕降临，红灯笼亮起来了，很漂亮；在河边漫步，微风扑面，这里灯火辉煌，水乡古镇风韵扑面而来。山塘街一半繁华，一半宁静，一半璀璨，一半淡雅，不同风格的夜景，总有一款是你喜欢的。

时光仿佛倒流，一夜笙歌的山塘街，河里轻轻划过去的花舟里，陈圆圆、董小宛们疲惫微醺的眼神深藏多少羡慕，却只能一声暗叹继续向野芳浜而去，空留船后波纹渐息......

旅游小贴士：
山塘街
交通：苏州地铁2号线【山塘街】站3号出口；
门票：街区不收费，玉涵堂、泉州会馆、绍兴会馆、古戏台、山塘阁、安泰救火会、江南成衣馆等七个景点门票联票45元；所以只游街区不游景点是不用买票的。
游玩美食攻略：
山塘街主街商业气息浓厚，如果想体验老苏州生活，可以由山塘街主入口牌坊处左转，一条巷子进去，这里都是原汁原味的老苏州。
目前山塘街内有山塘书院，通贵桥，吴一鹏故居，唐少傅白公祠，苏州南社纪念馆，玉涵堂、泉州会馆、绍兴会馆、古戏台、山塘阁、安泰救火会、江南成衣馆等景点，可以按自己喜好打卡。
来山塘街寻味，美食必不可少，推荐的特色餐馆有：2家百年老店陆稿荐和义昌福包子，老盛兴菜馆，阿国蛋糕店，龙兴记，长脚馄饨，万福兴糕团，山塘老街烧饼店，马栋佩烧麦，荣阳楼汤包店，阿坤卤菜店，新年点心店，品味坊，老山塘梅花糕海棠糕，狐狸家手工酸奶酪，百年老卤，闻其香臭豆腐，赵元章骨肉烧，朱文鑫酱骨烧，潘记藏书羊肉老店，鑫震源苏式生煎，孙盛兴奥灶面馆。",https://gs.ctrip.com/html5/you/comment/detail/25486/11/165841075.html,https://dimg04.c-ctrip.com/images/Z8090t000000ic9xd14B0_C_180_180.jpg,心灵宫殿,5分,2021-02-26
苏州是个水乡，河道多，桥多，而山塘街是最具苏州街巷特征的典型。它中间是山塘河，山塘街则紧傍河的北侧，通过一座座石桥与另一侧的街道连接。山塘街上店铺、住家鳞次栉比，这里的房屋多为前门沿街，后门临河，有的还建成特殊的过街楼，真是朱栏层楼，柳絮笙歌。,https://gs.ctrip.com/html5/you/comment/detail/25486/11/165466751.html,https://dimg04.c-ctrip.com/images/Z80813000000tuiq21A55_C_180_180.jpg,勇猛十温柔,5分,2021-01-04
"山塘街位于苏州西北，东至红尘中“一二等富贵风流之地”阊门，西至“吴中第一名胜”虎丘，全长约3600米，约合7华里，故称“七里山塘到虎丘”。

唐代，白居易任苏州刺史，对苏州城外西北河道进行疏浚，开挖成山塘河，傍河而建的古街被称为山塘街，沿街均为古建筑。古建筑大多是晚清和民国时期的建筑，为几落几进构成的建筑群体，纵向为落，横向为进。

2010年，山塘街获评“中国文化遗产保护典范单位”，被评为“中国历史文化名街”；2015年，山塘街被中国住建部、文物局评为首批“中国历史文化街区”。",https://gs.ctrip.com/html5/you/comment/detail/25486/11/165917390.html,https://dimg04.c-ctrip.com/images/t1/headphoto/672/170/677/24227789be7e4eb7ab34d2c693a5ab0f_C_180_180.jpg,悠悠星空,5分,2021-03-08
"“上有天堂，下有苏杭”，苏州是我国首批历史文化名城之一，一个有着将近2500年历史的现代化城市，园林建筑的标志性城市。在苏州的晚上，在夜色中穿梭山塘街，绝对是一段难忘的体验。山塘街全长3600米，始建于唐朝，距今已经有了上千年的历史，被评为“中国历史文化名街”。苏州是典型的江南水乡，山塘街则最具有苏州街巷特征，街道水陆并行，两旁的建筑精致典雅。山塘街是古苏州的精华所在，被称为“老苏州的缩影，吴文化的窗口”。

山塘街可以分为东西两段，东段从阊门渡僧桥起至半塘桥，西段指半塘桥至虎丘山。山塘街上河道多，桥多的特征充分体现了苏州这个水城的街巷特点。山塘河的东段民居大多都是临水构筑，水榭和水阁都是由木桩支撑着的。河的西段水面则疏朗宽阔，两岸种植花木绿树。水面上横跨的古桥或平或拱、或单孔或三孔。山塘沿街两侧的大多数古建筑，大多是晚清和民国时期的建筑，为几落几进构成的建筑群体，纵向为落，横向为进。在这里，逛逛古街是最大的乐趣，在这里可以找到苏州老字号比如：采芝斋、五芳斋等等，特色糕点和手工艺品的店铺真的超多。这里的民居基本上都是前门沿街，后门临河，是典型的水乡人家。山塘河从这些民居中缓缓流过，乌篷船停靠在岸边，两边的建筑红灯笼从高处垂下，非常的静谧，一瞬间就让你穿越回了古代。

我是顺时针，一个爱旅行爱摄影爱打卡的大龄青年，虽不是职业旅行人士，但旅行已是我生命中的必修课，也是我生活不可或缺的一部分，我爱随性随意的随拍，也爱分享我的旅程心得和体验，如果你觉得我的笔记有帮助到你，请随手给个赞鼓励哦。",https://gs.ctrip.com/html5/you/comment/detail/25486/11/164939638.html,https://dimg04.c-ctrip.com/images/Z80o0k000000boicv1497_C_180_180.jpg,顺时针1986,5分,2020-10-30
"去到苏州那当然是山塘街，逛逛观前街走走大裤衩下面拍拍照啦。
    反正我之苏州旅游就是这么干的，从上海到苏州安排了三天两夜，足够把苏州好好逛逛走走，好多店吃一吃喝一喝了。
   旅游不能停，吃喝不能停。",https://gs.ctrip.com/html5/you/comment/detail/25486/11/165865796.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,yoyolove7788,5分,2021-03-01
"山塘街始建于唐代宝历年间，公元825年白居易奉命到苏州任刺史。上任不久，他坐了轿子到虎丘去，看 到附近的河道淤塞，水路不通，回衙后，立即找来有关官吏商量，决定在虎丘山环山开河筑路，并着手开凿一条山塘河。它东起阊门渡僧桥附近，西至虎丘望山桥，长约7里，故俗称""七里山塘到虎丘""。这条河在阊门与运河相接。在河塘旁筑堤，即山塘街。山塘河的开凿和山塘街的修建，大大便利了灌溉和交通，这一带成了热闹繁华的市井。苏州百姓非常感激白居易，他离任后，百姓即把山塘街称之为白公堤，还修建了白公祠，以作纪念。",https://gs.ctrip.com/html5/you/comment/detail/25486/11/165466649.html,https://dimg04.c-ctrip.com/images/Z8070a0000004m9t7BB14_C_180_180.jpg,周游列国,5分,2021-01-04
"在这里感受年味🎉🎉# 1,2,3,4 for 2021 #
心无一丝尘，福禄双临门。
三餐香甜味，四季平安人。年味正浓时！",https://gs.ctrip.com/html5/you/comment/detail/25486/11/165706671.html,https://dimg04.c-ctrip.com/images/Z80s0u000000j2gtc4892_C_180_180.jpg,elsashen0529,5分,2021-02-10
山塘街位于江苏省苏州古城西北，东至阊门，西至“吴中第一名胜”虎丘，唐代白居易任苏州刺史时对疏浚河道开挖而成山塘河，傍河而建的古街被称为山塘街，沿街均为古建筑。全长约3600米，约合7华里，故称“七里山塘到虎丘”。,https://gs.ctrip.com/html5/you/comment/detail/25486/11/165853034.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g3/M02/95/E9/CggYGlZdJCuAJyQRAADkY4Wvzug356_C_180_180.jpg,格格,5分,2021-02-28
去山塘街是不需要门票的，不过你需要出示一下健康码 如果老年没有健康码的，可以局社区开一张证明给安保看一下就可以了 开放式的环境嘛，所以说戴不戴口罩随便你 不天的，如果觉得是人流太密集，那你要带也可以 但我现在大中国已经安全了 。,https://gs.ctrip.com/html5/you/comment/detail/25486/11/165871251.html,https://dimg04.c-ctrip.com/images/t1/headphoto/699/910/854/683dab66bb374136af9930ea204dfc7e_C_180_180.jpg,深蓝色的紫007,4分,2021-03-02
"免费景点，还是很值得去的地方，山塘街。
    山塘街的夜景其实我反而觉得就这样，可能因为去过太多的古镇水乡，实在觉得千篇一律。
    我反而喜欢山塘街白天的样子，生活化里掺杂一些些商业化，依旧接地气的让我喜欢。
    走走看看吃吃极好。",https://gs.ctrip.com/html5/you/comment/detail/25486/11/165454677.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,yoyolove7788,5分,2021-01-03
