标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
"当你进入风貌独特、古色古香的平江路，一股清新典雅的气氛顿然扑面而来。一步一景，步步赏景。整洁透亮的石板路，清澈见底的小河水，小巧玲珑的园拱桥，造型不一的古建筑，赏不完的古井、古树、古牌坊、古民居、古城墙遗址等等。
非常值得打卡的还有“世界文化遗产耦园”，文物保护单位：戏曲博物馆、评弹博物馆、潘宅、名人唐纳故居等。",https://gs.ctrip.com/html5/you/comment/detail/64456/11/165863935.html,https://dimg04.c-ctrip.com/images/0Z83w120008asb2w85850_C_180_180.jpg,GY悠然游,5分,2021-03-01
一年四季，春华秋实，夏蝉冬雪。在很多人的心里都会有一种对江南的向往，那里是很多人的梦里水乡。苏州平江路，是保存最完整的苏州古城区域，是曾经姑苏城的缩影。君到姑苏见，人家尽枕河。这里是小桥流水人家的江南典范。江南一直是一个温润如水的地方。如果你想去江南看看，想看一个小桥流水人家的江南，请你一定到苏州的平江路上走走。,https://gs.ctrip.com/html5/you/comment/detail/64456/11/165913822.html,https://dimg04.c-ctrip.com/images/0Z8441200085chlq0E563_C_180_180.jpg,红糖泡泡,5分,2021-03-08
"当姑苏城的粉墙黛瓦邂逅新潮明艳的艺术涂鸦，是现代艺术与古典江南文化的碰撞，中西文化元素的融合，自又不一样的故事发生。东升里文化艺术长廊，藏匿在苏州平江路里，一个偏僻的弄堂里，区域不大，贯穿东升里那条小巷，所以格外小众，依然吸引了很多文艺青年前来打卡。
        斑驳的外墙上是一幅幅主题各异鲜艳夺目的图画，使年代感厚重的小巷焕了新颜，去的时候人极少，非常安静和近在咫尺的平江路形成了鲜明的对比。浓浓的文创风+淡淡的小清新，网红潜质呼之欲出。
        色彩丰富的涂鸦墙，在巷子里曲折绵延，每个转角处都有不一样的惊喜，漫步其中即可感受到浓浓的艺术气息，很有异域风情。约上闺蜜姐妹们，就可以拍摄出高端大气上档次的艺术照片。",https://gs.ctrip.com/html5/you/comment/detail/64456/11/165774659.html,https://dimg04.c-ctrip.com/images/Z80l12000000t25g806E1_C_180_180.jpg,亲亲宝贝1234,5分,2021-02-18
苏州建城2500年就从这里开始的，浓浓的姑苏气息，这个历史街区可能是江南水乡的鼻祖了，小运河纵横交错，各种小食不失时机地出现，游累了，可以坐下来买点小食，休息休息，挺不错的一个历史街区。,https://gs.ctrip.com/html5/you/comment/detail/64456/11/165885923.html,https://dimg04.c-ctrip.com/images/Z8060z000000mhm925A61_C_180_180.jpg,锴kai10,4分,2021-03-04
"《一条平江路，半个姑苏城》

如果说为一条路倾心而爱上苏州这座城市，这条路便是平江路。

平江路是苏州的一条历史文化老街，一条沿河的小路，全长仅1600米，苏州古城迄今为止保存最为完整的一个街区。早在南宋时期，这里就是当时苏州城最热闹繁华的商区。白墙灰瓦的古宅与运河平行而筑，随处可见柳枝垂落，家家户户挂着的红灯笼衬着碧绿的河水，见到如此如诗如画的美景，才想起古人的那句话：“上有天堂，下有苏杭！”。

距今已有2500多年的历史，让平江路依然在原址保留了河路并行的格局、肌理和长度，小桥流水、粉墙黛瓦，房屋的体量、街道的宽度和河道，比例恰当，显示出疏朗淡雅的风格；东西两侧有悬桥巷、大儒巷、中张家巷、大新桥巷等小巷，尤其东边还保留了多条水巷，水陆并行、河街相邻，很有江南水城的特色。 街区留住了街巷的旧貌，哪怕是现在改造而成的酒吧、纪念品店、咖啡馆，书店也不张扬，看起来好似民居。

平江路的味道是谁都不能替代的，即使沿街商铺林立却依旧带不走街坊邻里的生活气息。在如今经济飞速发展的苏州，平江路仿佛与世隔绝般的宁静。这条不过一千多米的街道，组成了大家对苏州所有的记忆。跟外面喧闹现代的城市比起来，平江路是一个另类的存在。当你走在平江路上，清静的河流，借着粉壁瓦屋、楼阁、小桥、花与木之间，宛如一幅长卷画，它有江南的古韵文风，正是这种舒适感，让很多游客觉得平江路真的是骨子里都舒服，平江路虽然不长，或许一天也能忘记，但它是苏州最值得来打卡的地方，仅一千多米就有11座桥，被称为苏州古城的缩影。

平江路上还有一些古宅、古桥、博物馆、小园林可以游览，小小的街区融汇的是千百年来人们点点滴滴的生活影像。没有摩天大厦的气派，不食山珍海味，每日清晨的小桥流水，豆浆小笼和傍晚清酒一壶都是生活有滋有味的真谛。除此之外，别忘了那些仍旧在平江路生活的人，他们的起居日常正是整个苏城的缩影。

有空了记得再走一遍平江路，品品每个人眼中，不一样的苏州老街！",https://gs.ctrip.com/html5/you/comment/detail/64456/11/165642924.html,https://dimg04.c-ctrip.com/images/Z8090t000000ic9xd14B0_C_180_180.jpg,心灵宫殿,5分,2021-01-31
平江路历史街区是苏州保存较为完好的一处历史古城，平江路的历史可以追溯到2500多年前，这里有很多古迹遗址，耦园已被纳入世界文化遗产，更有众多的名人故居。,https://gs.ctrip.com/html5/you/comment/detail/64456/11/165111163.html,https://dimg04.c-ctrip.com/images/Z80s160000010jwbr7246_C_180_180.jpg,野枫印象,5分,2020-11-19
平江历史街区是苏州迄今为止保存最完整、规模最大的历史街区。她以平江河为中心，遍布河道、城墙、桥梁、街巷、民居、园林、寺观、古井、会馆、古树、牌坊等。耦园在这里，拙政园、观前街都在附近。在这里，你需要慢下来，细细体验和品味拥有2500余年历史的文化遗产。,https://gs.ctrip.com/html5/you/comment/detail/64456/11/165671085.html,https://dimg04.c-ctrip.com/images/t1/headphoto/672/839/406/da5d539779ab40d89c7f9c2690bf121d_C_180_180.jpg,云鹤熙熙,5分,2021-02-04
"平江路歷史街區算是蘇州的特色，景點名稱已經很明顯告知這裏充滿歷史文化。裏面有著博物館、名人故居、評彈文化等蘇州故事。不分晴雨，步行在江南秀麗風景中充滿意境。

平江路離觀前街很近，距離蘇州博物館、獅子林、拙政園都不遠。漫步兩個知名步行街至少需要半天以上，我個人是悠閒逛了整整一天。

地鐵有兩站可以到達平江路歷史街區，步行距離都不遠(大約十幾分鍾)。遊客眾多，很有蘇州特色，推薦參觀。",https://gs.ctrip.com/html5/you/comment/detail/64456/11/165657696.html,https://dimg04.c-ctrip.com/images/Z80b1c000001di8ai4A3D_C_180_180.jpg,茉香奶青,5分,2021-02-02
平江路还是挺长的，免费景区，这一片属于苏州的历史街区，保留着成片的老建筑老宅子。虽然也商业化了，沿河建筑都开了商店，茶馆，餐馆等，但还是有不少本地居民在此居住，至少保留着一些人间烟火气。平江路历史街区，还有七里山塘是我个人认为苏州少数真正值得一游的地方。,https://gs.ctrip.com/html5/you/comment/detail/64456/11/165401742.html,https://dimg04.c-ctrip.com/images/Z80n170000012xxthD72C_C_180_180.jpg,风随心动1976,5分,2020-12-27
二刷苏州，遇见平江路，其实都挺好。平江路，是苏州著名的历史文化老街，沿河道而建，古文化遗迹保存完整，堪称姑苏老城的缩影。一千个人眼中，就有一千条平江路。她像一个打着油纸伞，穿着旗袍的婉约女子，又如同有奶茶、鸡脚、糕点、馄饨等各种香味的大厨房，也是领略昆曲评弹、枕河人家等姑苏文化最该去的地方。,https://gs.ctrip.com/html5/you/comment/detail/64456/11/165329255.html,https://dimg04.c-ctrip.com/images/t1/headphoto/295/828/780/6e6c2151ed65497c850945d5d2b702ae_C_180_180.jpg,红色利物浦1985,5分,2020-12-17
