标题,标题链接,头像,user-detail__name,resource_date
留园，是苏州古典园林，位于苏州阊门外留园路338号，始建于明代。清代时称“寒碧山庄”，俗称“刘园”，后改为“留园”。 以园内建筑布置精巧、奇石众多而知名，与苏州拙政园、北京颐和园、承德避暑山庄并称中国四大名园。,https://gs.ctrip.com/html5/you/comment/detail/1830/11/165935327.html,https://dimg04.c-ctrip.com/images/Z80815000000xr1wy2778_C_180_180.jpg,蕙质兰心蕙质兰心,2021/3/11
2020年前后去了多次苏州园林，留园去了三次。对于喜欢园林的我特别感谢苏州政府的惠民政策，2020年，只要提前3到7天在携程上预定，就可抢到1元门票。阴天晴天，随着季节的变化，园内的景致也会不同，这就是园林的魅力、古人的智慧所在。留园相对拙政园来说更精致，最让我惊喜的是一处山坡上种满了枫树，那天是个阴天，看了百年银杏，走过之前走过的路，不经意爬上一个山坡，突然眼前一片红，那种惊喜至今难忘。景色不错，有趣好玩，性价比高，总体超赞，,https://gs.ctrip.com/html5/you/comment/detail/1830/11/165951406.html,https://dimg04.c-ctrip.com/images/0Z831120008h84vr92596_C_180_180.jpg,E11****77,2021/3/13
"留园一进去看似很小，其实挺大的，像一个圈。
一进去就会看到一个亭子，四周水环绕，里面有很多好看的金鱼；
因为过年，河上还有个漂亮的小船；
假山很多，小朋友们行走要注意哦～
我还发现地上还有个凤凰，好漂亮
最喜欢松树盆栽林里面的一棵花树，和蓝蓝的天空衔接的真美???",https://gs.ctrip.com/html5/you/comment/detail/1830/11/165901758.html,https://dimg04.c-ctrip.com/images/0Z86b120008faom522AE9_C_180_180.jpg,M45****1097,2021/3/6
"苏州旅游不能错过的留园旅游攻略
????
留园，中国四大名园之一，位于苏州阊门外留园路338号，大型古典私家园林，不得不说这是苏州旅游的必游景点，提供旅游攻略如下：

景点名：留园

交通：旅游1、3路公交车都可以到达，也可以打个的士前往。

玩法：门票分淡旺季，大概50。购票进园参观。园内比较错综复杂的小路，按个人的偏好进行游走参观。洞天一碧很不错。整体的园林结构空间感很强，厅堂比较宏伟精美。游客在留园能够领略到山水、田园、山林、庭园四种不同的景色。可以说是设计得非常巧妙。建议游园时间为3个小时。出口处也有较大的展示厅。

推荐理由：留园被称为世界闻名的建筑空间艺术处理的范例，园内建筑布置精巧、奇石众多。广大拍摄爱好者非常喜欢游玩的一个点，可以说是值得推荐的一个必看景点。",https://gs.ctrip.com/html5/you/comment/detail/1830/11/165762311.html,https://dimg04.c-ctrip.com/images/0Z80x1200083724clD9E8_C_180_180.jpg,萨拉热窝的夏雨荷,2021/2/17
俗话说：上有天堂，下有苏杭。的确，苏州和杭州的园林是最美的。先说说苏州吧，仅苏州就有拙政园、留园、虎丘、网师园、寒山寺、狮子林、木渎古镇、甪直古镇、七里山塘等许多全国闻名的旅游景点。留园虽然不及拙政园名气大，但它也是中国四大古典园林之一。它小巧精致，一步一景。尤其是它的园林建筑和假山奇石是颇有名气的。,https://gs.ctrip.com/html5/you/comment/detail/1830/11/165754453.html,https://dimg04.c-ctrip.com/images/Z80u0v000000jk6beA359_C_180_180.jpg,M27****3169,2021/2/16
留园始建于明代，清代时称“寒碧山庄”，俗称“刘园”，后改为“留园”，位于苏州阊门外留园路338号，与苏州拙政园、北京颐和园、承德避暑山庄并称中国四大名园，园内建筑布置精巧、奇石众多而知名。,https://gs.ctrip.com/html5/you/comment/detail/1830/11/165815851.html,https://dimg04.c-ctrip.com/images/Z803160000010g2bq615E_C_180_180.jpg,M22****5222,2021/2/23
留园位于苏州阊门外留园路338号，与苏州拙政园、北京颐和园、承德避暑山庄并称中国四大名园，始建于明代，清代时称“寒碧山庄”，俗称“刘园”，后改为“留园”，园内建筑布置精巧、奇石众多而知名。,https://gs.ctrip.com/html5/you/comment/detail/1830/11/165815704.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g3/M02/95/E9/CggYGlZdJCuAJyQRAADkY4Wvzug356_C_180_180.jpg,格格,2021/2/23
留园，中国四大名园之一。宁可食无肉，不可居无竹。留园因竹色寒碧，故被称作寒碧山庄。我喜爱她的长廊，喜爱她的漏窗，喜爱她的建筑，喜爱她的太湖石。原只知道米芾爱石，访过留园才知道，园主人徐泰时也是爱石之人。相传“瘦、漏、皱、透”的冠云峰是北宋末年花石纲的遗存。不出城郭而获山林之趣，留园真的是千姿百态，诗情画意，赏心悦目，境界无穷。,https://gs.ctrip.com/html5/you/comment/detail/1830/11/165681664.html,https://dimg04.c-ctrip.com/images/t1/headphoto/672/839/406/da5d539779ab40d89c7f9c2690bf121d_C_180_180.jpg,云鹤熙熙,2021/2/6
留园是四大园林中最有江南园林特色的，基本上是现代的江南园林发展到的顶峰了，面积算不上多大，景色和分区都是错落有致，来这里基本上2小时就可以逛很仔细了，建议还是请一个导游比较好。,https://gs.ctrip.com/html5/you/comment/detail/1830/11/165951536.html,https://dimg04.c-ctrip.com/images/zc02170000011l03o44C7_C_180_180.jpg,E44****27,2021/3/13
"谢谢老天爷在12月18~20号都给了好天气，让我在苏州度过愉快的三周了。
    付费景点三天安排了三个，周五拙政园周六虎丘周日留园，其实苏州的园林不必必去拙政园看，留园很好，钱多想全部打卡的请无视我。
    进入留园可以不戴口罩的，是户外而且人群并不密集，再而且苏州挺安全的，大家放心在日光的光合作用下呼吸新鲜空气吧。",https://gs.ctrip.com/html5/you/comment/detail/1830/11/165381339.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,yoyolove7788,2020/12/24
