标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
网师园始建于宋淳熙初年(公元1174年)始称“渔隐”，几经沧桑变更，至清乾隆年间(公元1765年前后)，定名为“网师园”，并形成现状布局。至今几易其主，围主多为文人雅士，且各有诗文碑刻遗于园内，历经修葺整理，最终形成了这一古典园林中的精品杰作。网师园为典型的宅园合一的私家园林。住宅部分共三进，自大门至轿厅、万卷堂、撷秀楼，沿中轴线依次展开，主厅“万卷堂”屋宇高敞，装饰雅致。位于堂前的砖工门楼雕刻精致，做工考究，为江南一绝，具有极高的文物艺术价值。,https://gs.ctrip.com/html5/you/comment/detail/1826/11/165495255.html,https://dimg04.c-ctrip.com/images/Z80413000000ttay762F0_C_180_180.jpg,恰似您的温柔,5分,2021-01-15
网师园始建于宋朝，民国时，大军阀张作霖曾经花30万两白银买下网师园，送给他的恩师。著名画家张大千也曾在此居住，这里有苏州市最小的石拱桥。,https://gs.ctrip.com/html5/you/comment/detail/1826/11/165495199.html,https://dimg04.c-ctrip.com/images/Z80813000000tuiq21A55_C_180_180.jpg,勇猛十温柔,5分,2021-01-08
"1940年文物收藏家何亚农(日本陆军士官学校毕业，收藏文物书画甚富)购得此园，费时3年，对此进行全面整修，悉从旧规，并充实古玩书画。复用""网师园""旧名。何氏一家另在南园有住宅，此园平时闭门不纳游人。
1946年何病故，园由妻王季珊继承。1950年王暴卒，其子女何怡贞、何泽明等将园献交国家。",https://gs.ctrip.com/html5/you/comment/detail/1826/11/165488749.html,https://dimg04.c-ctrip.com/images/Z80413000000ttay762F0_C_180_180.jpg,恰似您的温柔,5分,2021-01-07
网师园，位于江苏省苏州市城区东南部带城桥路阔家头巷11号，是苏州园林中型古典山水宅园代表作品。网师园始建于南宋时期（公元1127～1279年），旧为宋代藏书家、官至侍郎的扬州文人史正志的“万卷堂”故址，花园名为“渔隐”，后废。,https://gs.ctrip.com/html5/you/comment/detail/1826/11/165906482.html,https://dimg04.c-ctrip.com/images/Z80815000000xr1wy2778_C_180_180.jpg,蕙质兰心蕙质兰心,5分,2021-03-07
"苏州必玩景点之网师园旅游攻略                                      网师园，位于江苏省苏州市姑苏区阔家头巷11号，苏州园林中山水宅园的代表作品，靠近市中心，不错的一个景点，提供旅游攻略如下：

景点名：网师园

交通：乘坐公车汽车到网师园站下车步行即可到达，打个滴滴也可以。

玩法：白天门票40元。要购票进园参观。白天和晚上都可以开放。步行就可以参观，这个园林算是苏州园林中比较小的。主要的参观点有殿春簃、集虚斋等。可以在园内驻足拍照。园内假山、凉亭和水池交错分布，非常有古典美，更像在一座宅府深院，让游客们感到非常愉悦。

推荐理由：江南中小古典园林的代表作品，网师园是苏州典型的府宅园林。值得一看的另有风味的一座必看建筑。",https://gs.ctrip.com/html5/you/comment/detail/1826/11/165872188.html,https://dimg04.c-ctrip.com/images/0Z80x1200083724clD9E8_C_180_180.jpg,萨拉热窝的夏雨荷,5分,2021-03-02
网师园东部为宅第，中部为主园，西部为内园。宅第规模中等，为苏州典型的清代官僚住宅。大门南向临巷，前有照壁，东西二侧筑墙，跨巷处设辕门，围成门前广场。场南对植盘槐，东西墙置拴马环。大门两边置抱鼓石，饰以狮子滚绣球浮雕，额枋上有阀阅3只，正门东侧设便门。,https://gs.ctrip.com/html5/you/comment/detail/1826/11/165488815.html,https://dimg04.c-ctrip.com/images/Z8070a0000004m9t7BB14_C_180_180.jpg,周游列国,5分,2021-01-07
网师园始建于南宋，初名“万卷堂”。清代更名“网师园”。占地面积仅八亩多，建筑约占园地三分之一，保持着旧时世家一组完整的住宅群。此园布局，亭台轩榭与池水相衬托，园内路径处处贯通，曲折自然，精巧幽深。,https://gs.ctrip.com/html5/you/comment/detail/1826/11/165319366.html,https://dimg04.c-ctrip.com/images/0Z83m1200085c95heBAAB_C_180_180.jpg,悠悠的风103,5分,2020-12-16
"[爱心][玫瑰][加油]夜游网师园，绝对推荐，满分！一定要选择夜游，夜晚的灯光和景色很有味道[吐]
感觉园区管理做得很好，有免费导游，凑齐一定人数就开始讲解，按每个不同的楼阁或者偏厅一边带你走，一边还有不同的地道节目。
🎭花园的凉亭安排了一小出的折子戏，忘记了是牡丹亭还是西厢记了[吐舌][笑哭]
内室的不同花厅还有不同表演，有戏剧，有苏州评弹，还有小姐姐古风舞蹈，非常值回票价🥁😘",https://gs.ctrip.com/html5/you/comment/detail/1826/11/163281475.html,https://dimg04.c-ctrip.com/images/t1/headphoto/062/938/215/f5f05c77006946428867e3c0dae6f4eb_C_180_180.jpg,祖迪不是杀手,5分,2020-04-21
"网师园，是苏州典型的府宅园林。它地处苏州旧城东南隅葑门内阔家头巷，后门可达十全街，地方志记载为带城桥阔家头巷11号。现为市内友谊路南侧。

全园布局紧凑，建筑精巧，空间尺度比例协调，以精致的造园布局，深蕴的文化内涵，典雅的园林气息，当之无愧地成为江南中小古典园林的代表作品。",https://gs.ctrip.com/html5/you/comment/detail/1826/11/165398611.html,https://dimg04.c-ctrip.com/images/Z80v1f000001gmq9l8A4C_C_180_180.jpg,鲨鱼辣椒T1000,5分,2020-12-27
网师园，墙角数枝梅，凌寒独自开，不经一番寒彻骨，怎得梅花扑鼻香[强][强][强]。冬至日的太阳，倍感温暖，洒一园斑驳，温馨时光，静享岁月🎉🎉🎉,https://gs.ctrip.com/html5/you/comment/detail/1826/11/165418837.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g2/M09/A3/F4/Cghzf1VkORaAX0uIAAAolL_H5mE765_C_180_180.jpg,M11****647,5分,2020-12-29
