标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
"锦溪古镇，让时光静下来
十一假期周庄同里乌镇等必将人满为患，如果想来古镇，推荐小众的锦溪古镇～没有闹哄哄的酒吧，小桥流水人家，都是安安静静的样子。
(交通)交通攻略：苏州过去比较麻烦，我们是坐高铁到昆山南站，然后叫了顺风车到锦溪古镇不到50块～返程直接锦溪古镇顺风车回苏州，约1小时，66元。
实用tips：进古镇不用门票，如果要去里面的一些博物馆需要买联票（65元）；划船每条船150元，最多乘坐6个人。
古镇不大，大概两三个小时就能逛完，如果有时间，住一晚可能会有更多美好的收获吧",https://gs.ctrip.com/html5/you/comment/detail/3922/11/164715742.html,https://dimg04.c-ctrip.com/images/0Z872120008eho1xqD786_C_180_180.jpg,夏吹夏夜风,5分,2020-10-09
"位于昆山市南的淀山湖畔，是一座有千年历史的江南水乡。古镇不大，中国山水画般的古莲桥，神秘的陈妃水冢吸引着游客前来一探究竟，各种民间藏馆也值得参观，老街上还有各种小吃店。
老街免费，各藏馆售套票参观。",https://gs.ctrip.com/html5/you/comment/detail/3922/11/165917126.html,https://dimg04.c-ctrip.com/images/Z80o1f000001fzrfsCBCD_C_180_180.jpg,游侠半仙,5分,2021-03-09
2021年2月17日，年初六。气温-3～8度。从常熟开车74公里到达，11点。早上太冷了，太阳公公不出来，越走越冷，都没有心思看风景。游客不多，三三两两。和一般的古镇都一样，路两边都是小商贩，袜子酥味道蛮好。豆沙饼4块钱一个，赶上肉的价格了。小游船上卖鱼的老夫，10块钱8条，现杀的。如果阳春三月去的话应该是不错的选择。,https://gs.ctrip.com/html5/you/comment/detail/3922/11/165767681.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g2/M0B/9B/2F/CghzgVSiiUGAZ6baAADOHMmoFi8941_C_180_180.jpg,桔梗-小洁洁,4分,2021-02-17
锦溪古镇应该有两千年左右的历史，因为陈妃墓，曾被称为“陈墓”后改名“锦溪”。锦溪桥梁众多，密度比苏州更甚。古镇免费进入只是景点需要买票。,https://gs.ctrip.com/html5/you/comment/detail/3922/11/165824285.html,https://dimg04.c-ctrip.com/images/t1/headphoto/164/424/952/04eab99bd26f47acadef4fd3f95b9f37_C_180_180.jpg,新-云,5分,2021-02-24
心心念念的十眼长桥（之前只知长桥不知锦溪），相比较周庄，锦溪更加的静谧，没有熙熙攘攘的人群，也少有噪杂的商铺，除了几处景点，古镇并没有门票。,https://gs.ctrip.com/html5/you/comment/detail/3922/11/165824204.html,https://dimg04.c-ctrip.com/images/Z80n0l000000d8r2j8536_C_180_180.jpg,紅氿,5分,2021-02-24
风景如画走乡村，碧水蓝天映山河。楼亭小巷仙人画，小船悠悠醉蓝天。微风细雨情绵绵，伞下倩影俩相依。相思悠悠忆江南，梦里水乡惜情缘。,https://gs.ctrip.com/html5/you/comment/detail/3922/11/165824148.html,https://dimg04.c-ctrip.com/images/Z8090q000000gagjjF679_C_180_180.jpg,M15****345,5分,2021-02-24
位于昆山南郊的淀山湖畔，是一座有千年历史的江南水乡。历史人文，自然景观这里都有。古镇的民间藏馆包括古砖瓦博物馆、紫砂馆、壶具馆，供游客回味一下历史的文革藏品陈列馆。,https://gs.ctrip.com/html5/you/comment/detail/3922/11/165302934.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,vivienvivien,5分,2020-12-14
"距离上海80分钟车程的昆山市，就有如此美好的古镇~锦溪古镇名字好听，古迹颇多，像莲池禅院、文昌阁、陈妃水冢、古石拱桥等被列为市级文物。古镇里面湖荡密布河巷纵横，也就形成了特有的桥文化[调皮]
        古镇停车场很小，需要排队（我去的时候是周末下午，排了近30分钟），停车第一个小时4元，之后没每小时1 元。
        
tips：
       古镇免费进入，门口有售票处，古镇古镇内景点联票65元，携程40元可当场买。
        但是，没有买票的必要🤣🤣古砖瓦博物馆/紫砂博物馆/泥禅坊等等……都像是为了卖票而开的……也可能是我不识货，不懂艺术🤣🤣到了锦溪不如多走走桥，看看水乡。
           
        古镇内关门时间很早，下午5点游客都散了，店也开始关门了~~去游玩的话建议上午到！",https://gs.ctrip.com/html5/you/comment/detail/3922/11/164514914.html,https://dimg04.c-ctrip.com/images/t1/headphoto/903/173/918/eb4b7bea9720440dac09eab89328ab00_C_180_180.jpg,M55****097,5分,2020-09-23
离淀山湖和周庄都挺近的锦溪古镇，游客不太多、不用门票，美景美食兼得。值得到此一游👍景区中的天猫咖啡装修舒适、老街泡泡馄饨美味...,https://gs.ctrip.com/html5/you/comment/detail/3922/11/165777259.html,https://dimg04.c-ctrip.com/images/fd/headphoto/g1/M04/BE/46/CghzflWSEDaAG0leAACJbCnwBt0880_C_180_180.jpg,陶锋,5分,2021-02-18
还不错哦，和全家人一起去了。感觉拍照也很好看哦。,https://gs.ctrip.com/html5/you/comment/detail/3922/11/165740046.html,https://dimg04.c-ctrip.com/images/t1/headphoto/177/080/529/285e9abeede347d9a7c1cc5e1b4c9287_C_180_180.jpg,M25****6774,5分,2021-02-15
