标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
"镇江3
焦山28
金山原是扬子江中的唯一岛屿，以金山寺和法海洞著名，重的是佛教文化；
北固山与金山和焦山并称京口三山，山上景点多与三国演义有关，其中甘露寺相传为刘备结识孙尚香之处，重的是历史文化；",https://gs.ctrip.com/html5/you/comment/detail/1933/11/165796339.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,倩宝嘻嘻,5分,2021-02-20
"镇江5
镇江南山风景名胜区10
南山自然生态，山峦叠翠、茂林修竹、山深水秀、泉涌溪流，有万亩原始森林、千亩果园、百亩茶园，树木、花卉有360余种，飞禽走兽80多种，居沪宁线之首。南山古迹密布，有增华阁、读书台、济祖殿、听鹂山房、虎跑泉、鹿跑泉、林公泉、挹江亭、玉蕊亭、如斯亭、万古常清亭、鸟外亭、文心阁、学林轩、狮窟探幽等古迹，游人到此有茶可饮、有泉可品、有花可赏、有果可摘、有洞可探、有鸟可听，是一处修学、旅游、休闲、度假、健身的好去处。",https://gs.ctrip.com/html5/you/comment/detail/1933/11/166008576.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,倩宝嘻嘻,5分,2021-03-20
"镇江5
镇江南山风景名胜区8

    “烟雨南山开画本”，这是北宋著名书画家米芾对南山风景名胜区的评价。镇江南山风景名胜区确实是个好去处，她是国家AAAA级旅游区、国家森林公园，是自然景观优美、人文景观丰富的著名省级风景名胜区，距市中心2公里，总面积13.2平方公里，包括文苑——竹林、招隐、黄鹤山、磨笄山、莲花洞、北部景区等，兼具幽深、古朴、素雅与明朗秀丽的特色，素有“烟雨南山”、“城市山林”之美誉。",https://gs.ctrip.com/html5/you/comment/detail/1933/11/165986740.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,倩宝嘻嘻,5分,2021-03-17
焦山是长江中四面环水的岛屿，山高70.7米，周长2000余米，因东汉焦光隐居山中而得名。碧波环抱，林木蓊郁，绿草如茵，满山苍翠，宛然碧玉浮江。与对岸象山夹江对峙，正所谓“万川东注，一岛中立”，有江南“水上公园”之喻，被誉为“江中浮玉”。身临其境，确有“砥柱中流”之感，好似登上普陀仙岛，游人慕名而至。,https://gs.ctrip.com/html5/you/comment/detail/1933/11/165787286.html,https://dimg04.c-ctrip.com/images/0Z80p120008b4k9aj9362_C_180_180.jpg,钱旋勒,5分,2021-02-19
今天细雨蒙蒙，再次游览全国5A景区镇江三山之一的焦山，定慧寺、御碑亭、江南第一碑林、古炮台、栈道、摩崖石刻逐个参观，吸江楼登高望远一览无余，只是万佛塔暂不开放，稍有遗憾。江中浮玉，中流砥柱，山水美景，留恋不舍！,https://gs.ctrip.com/html5/you/comment/detail/1933/11/165850756.html,https://dimg04.c-ctrip.com/images/t1/headphoto/293/406/308/22631089f44a497495c005fce85f6a6f_C_180_180.jpg,甘棠汇锦,5分,2021-02-27
焦山和北固山都位于镇江东，名冠江苏，焦山是在一个岛上，需要坐渡船过去，上岛后一进大门便是定慧寺，从此处拍全景最佳，另外在碑林拍山顶的宝塔角度也很不错，门票大概45元,https://gs.ctrip.com/html5/you/comment/detail/1933/11/165915417.html,https://dimg04.c-ctrip.com/images/Z801070000002fi1b1898_C_180_180.jpg,232****453,5分,2021-03-08
"镇江3
焦山20
焦山碑林也是很有名气的，历代书法家的碑刻甚多，其中不少是珍品，最著名的是被誉为“碑中之王”的《瘗鹤铭》， 相传是东晋大书法家王羲之所书。传说此铭是王羲之悼念他死去的两只仙鹤而作。碑文存字虽少，但气势宏逸。",https://gs.ctrip.com/html5/you/comment/detail/1933/11/165720727.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,倩宝嘻嘻,5分,2021-02-12
"镇江3
焦山16
八月携父同游。网上九点前订票只要九元，附赠镇江醋文化博物馆。普通票六十元，有免费游轮过江，亦有快艇，两人起行、可加费游览大坝、摩崖石刻。焦山是镇江5A级三山景区之一，也是唯一悬江之山。山顶有万佛塔，山下碑林有《瘗鹤铭》真迹！不远处还留有炮台遗址。",https://gs.ctrip.com/html5/you/comment/detail/1933/11/165696108.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,倩宝嘻嘻,5分,2021-02-08
"镇江3
焦山10
景点不多介绍 寺庙是十多年前修复的 整体建筑较新 角落位置的古炮台可以看看 桂花园适合中秋节前后开花时候去 大门票截止销售时间是下午四点四十五 去岛上的船十分钟一班 最晚一班是下午六点 希望对大家有用 周末和国家法定节假日镇江有旅游专线公交 ，一元钱。",https://gs.ctrip.com/html5/you/comment/detail/1933/11/165659343.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,倩宝嘻嘻,5分,2021-02-02
"镇江3
焦山4
镇江三山景区之一，需要坐船才能到达，整个景区比较大，爬山也稍微费一点体力，感觉来闲游半天比较合适，门票价格比较合理。
幽静的竹林和灵动的江水，太值得好好体味了。中华文化之美，需要一颗更安静的心。",https://gs.ctrip.com/html5/you/comment/detail/1933/11/165628655.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,倩宝嘻嘻,5分,2021-01-28
