标题,标题链接,头像,user-detail__name,totalStarIcon1,resource_date
“江心一朵美芙蓉”，镇江金山，原为长江中的一个岛屿。由于地势变迁，清朝末年，才与陆地连成一片。金山景区名胜古迹众多，有中泠泉、芙蓉楼、郭璞墓、百花洲、金山寺、白龙洞等。芙蓉楼虽为现代重建，但也基本展现了其历史风貌。众所周知的《白蛇传》中的水漫金山，就发生在这里。金山景区有很多香樟树，是我所喜爱的。,https://gs.ctrip.com/html5/you/comment/detail/142298/11/166011692.html,https://dimg04.c-ctrip.com/images/1h666120008hhvqsj784F_C_180_180.jpg,熈,5分,2021-03-21
"镇江5
镇江南山风景名胜区11
南山风景名胜区，在镇江“城市绿肺”的美誉。新规划定南山风景名胜区总面积13.14平方公里，其中核心景区范围面积3.57平方公里。

批复指出，南山风景名胜区以城市山林、古寺名泉为资源特色，以名人文化、宗教文化、地质文化为内涵，是具有风景游赏、生态休闲和文化体验等功能的省级风景名胜区。",https://gs.ctrip.com/html5/you/comment/detail/142298/11/166008593.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,倩宝嘻嘻,5分,2021-03-20
金山公园不小 有三个功能区 之间离的也比较远 我们带着两老的 走不远 所以就主要逛了金山寺 很不好意思的蹭了别人的导游 听导游讲了些岳飞 寺的等级等等的故事 建议有钱可以请个导游 否则就光看外表了 金山寺修的很金碧辉煌 皇家寺庙应有的样子 爬到顶 孝慈塔挺好看的 法海洞关闭 也明白了水漫金山的由来 好地方,https://gs.ctrip.com/html5/you/comment/detail/142298/11/165457922.html,https://dimg04.c-ctrip.com/images/Z80e180000014a9694955_C_180_180.jpg,pipi_9,5分,2021-01-03
金山寺，寺门面西，只见寺不见山，已是奇特。拾阶而上，翘檐重叠，看去肃穆静谧。大雄宝殿背面屋顶中心的宝镜从哪个角度看都能照见金山全景，令人叹为观止。天下第一泉封闭了，将几年前的照片补一张解渴。还有苏东坡的名句加持，金山之行圆满，生欢喜心，心生欢喜！,https://gs.ctrip.com/html5/you/comment/detail/142298/11/164677922.html,https://dimg04.c-ctrip.com/images/t1/headphoto/424/398/503/0386f569fd0d4b488ff41b64bbc5743b_C_180_180.jpg,M31****265,5分,2020-10-06
金山公园很大，但去的主要还是游览金山寺，寺庙建筑还是比较雄伟壮观，在镇江也是最知名的地方。这里也是法海水漫金山神话的地方，今天进去也是整个上午都在下雨啊！游览完寺庙，有时间也可以去外围湖边走走，风光也不错。也可以坐船游览，唯有不足一点，现在慈寿塔关闭上不去。,https://gs.ctrip.com/html5/you/comment/detail/142298/11/165856811.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,拉斯皮纳斯杨文广,4分,2021-02-28
"镇江1
金山江天禅寺2
金山寺又名江天禅寺，始建于东晋。镇江风景既有山裹寺，也有寺裹山。金山寺就是寺裹山，见寺，见塔（慈寿塔），不见山。还有不少神话和传说，白娘子水漫金山，梁红玉击鼓抗金兵。岳飞金山寺详梦等等。金山寺外有中泠泉，被陆羽评为天下第一。到镇江必游金山寺，已成网红打卡地。",https://gs.ctrip.com/html5/you/comment/detail/142298/11/164568649.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,倩宝嘻嘻,5分,2020-09-29
"金山风景区

1）地理位置：位于镇江市区西北部，开放时间6：00—18：00 ，门票价格旺季：65.00元 淡季：50.00元 ，网上购票在景区入口处刷取票人二代身份证即可快速入园。

2）值得打卡的景点：

一、江天禅寺（原名“金山寺”、龙游寺）：位于金山公园风景区内，寺门朝西，依山而建。
里面天王殿、大雄宝殿、夕照阁、观音阁(陈列着金山的镇山四宝玉带、周鼎、金山图、铜鼓）、四大名洞（法海洞、白龙洞、朝阳洞、仙人洞）、慈寿塔、江天一览亭等。
寺门口左手边有个香火处，请香免费，功德随喜。

二、天下第一泉（中泠泉）：中泠泉与济南趵突泉、杭州虎跑泉和无锡惠山泉并称为“中国四大名泉”，位于金山公园内的一个小岛上的一个10米见方的水池，四周砌有石栏杆。在水池一侧的石壁上，题着“天下第一泉”五个大字。
因唐代名士刘伯刍品尝了全国各地沏茶的水质后，将水分为七等，中泠泉依其水味和煮茶味佳为第一等，因此被誉为天下第一泉。

三、王仁堪纪念馆：位于镇江市金山景区内中泠泉畔的中泠阁二楼王公祠旧址，免费对外开放。展示了王仁堪上任镇江知府三年间保民安、修水利、赈灾荒、倡慈善、兴教育、种林木，重建扩建中泠泉的斐然政绩。
被列为金山景区的一个廉政文化景点。

四、佛教广场：大红色中国结形象的建筑物的所在地，广场内包括水天桥、照壁、佛教文化柱、转经轮、撞钟架、宝相花地刻、因缘石、三福桥等景观。
每年12月在此会举办盛大的撞钟祈福活动；每年6月-8月，这里会举办荷花展。

五、金山湖：主要景点有月亮湾广场、古塔新读、观荷长廊、白娘子岛、许仙堤等。

六、百花洲：有水月轩、亲水漂台、紫薇花架及曲折长廊等园林景观建筑。

七、七峰亭：为纪念爱国忠臣岳飞和爱国僧人道悦而建。
 
八、塔影湖：小径蜿蜒曲折,湖畔水榭、曲桥、码头、方亭、虹桥错落有致。

九、御码头：在山北有十三级台阶，据介绍说清康熙、乾隆两帝南巡时，先后几次来金山都是由这个码头上岸的，故称为“御码头”。",https://gs.ctrip.com/html5/you/comment/detail/142298/11/158829613.html,https://dimg04.c-ctrip.com/images/Z80h180000013xc9e3F64_C_180_180.jpg,LIMUH,5分,2019-05-16
金山，是“京口三山”中最具名气的一个，也是景区面积最大的一个。金山景区中最著名的当然就是传说中“水漫金山”的金山寺了，真是历史悠久传说众多的古刹，金山顶上有乾隆御书的“江天一览”。总之这里无论看历史还是听故事都非常值得体验。,https://gs.ctrip.com/html5/you/comment/detail/142298/11/165048524.html,https://dimg04.c-ctrip.com/images/Z80l0n000000eebl3A6E6_C_180_180.jpg,西单大叔,5分,2020-11-12
金山位于镇江市润州区金山路62号，是镇江市最著名的景区之一，典故水漫金山的历史故事就是发生在这里的，金山景区面积比较大，分为三大块区域，集风景与趣味于一身，游玩时间需要半天左右。,https://gs.ctrip.com/html5/you/comment/detail/142298/11/165583778.html,https://dimg04.c-ctrip.com/images/Z80w090000003wikbDA9F_C_180_180.jpg,牛奶海,4分,2021-01-24
"镇江1
金山景区17
金山在镇江西北，海拔并不算高，早年是江上的岛屿，清末与陆地连为一体．这个景区主要分金山寺和中冷泉两部分．其中金山寺是主要的景点，里面故事传说很多．中冷泉虽然号称天下第一泉，但水已经不能直接喝了．",https://gs.ctrip.com/html5/you/comment/detail/142298/11/164804600.html,https://dimg04.c-ctrip.com/images/Z80p180000013uw9yF21F_C_180_180.jpg,倩宝嘻嘻,5分,2020-10-16
